
[0057]  [070]  []  []

-Z/11/250/t1	{ΓΑΛΗΝΟΥ ΠΕΡΙ ΦΛΕΒΟΤΟΜΙΑΣ ΘΕΡΑ-
-Z/11/275/3	ἐστιν, εἰωθότων τῶν κυρίων αὐτοῦ μορίων βαρύνεσθαι, κᾂν 
-Z/11/275/4	ὀλίγον ἐν αὐτοῖς ἐστὶ τὸ αἷμα, διωθούμενόν τε τοῦτο πρὸς 
-Z/11/275/5	τὰ κατὰ τὸ δέρμα μέρη τὰ σαρκώδη, καὶ μᾶλλόν γε εἰς τοὺς 
-Z/11/275/6	ἀδένας ἐπιτηδείους ὄντας ὑποδέχεσθαι τὸ περιττὸν, διά τε 
-Z/11/275/7	τὸ χαῦνον τῆς οὐσίας καὶ ὅτι τῶν ἄλλων μορίων ἀσθενεστά-
-Z/11/275/8	τας ἔχουσι τὰς φυσικὰς δυνάμεις, ὥσπερ γε καὶ ἡ πιμελή. 
-Z/11/275/9	τεττάρων γὰρ αὐτῶν οὐσῶν, ὡς ἐδείχθη, πρώτης μὲν τῆς 
-Z/11/275/10	ἑλκτικῆς, δευτέρας δὲ καθεκτικῆς καὶ τρίτης τῆς ἀποκριτικῆς, 
-Z/11/275/11	καὶ τετάρτης τῆς ἀλλοιωτικῆς, τὰς μὲν ἄλλας τρεῖς ἀσθενε-
-Z/11/275/12	στάτας ἔχουσιν οἱ ἀδένες καὶ αἱ σάρκες, τὴν ἀλλοιωτικὴν δὲ 
-Z/11/275/13	μόνην οὐ πολλῷ μείω τῶν ἄλλων μορίων. ἐφεξῆς δὲ τοῖς 
-Z/11/275/14	ἀδένεσιν ὁ πνεύμων ἐστὶν ἑτοιμότατος δέξασθαι ῥεῦμα. καὶ 
-Z/11/275/15	γὰρ οὗτος ἀσθενεῖς τε τὰς τρεῖς ἔχει δυνάμεις καὶ τὸ σῶμα 
-Z/11/275/16	χαῦνον. εἶθ' ἑξῆς ὁ σπλήν. ὁ δ' ἐγκέφαλος ὅμοιος μὲν τού-
-Z/11/275/17	τοις ἢ καὶ μᾶλλον ἐπιτήδειος δέξασθαι ῥεῦμα. πλεονεκτεῖ 
-Z/11/275/18	δ' αὐτῶν ἐκ τῆς κατασκευῆς εἰς ἀπόκρισιν ἑτοίμης οὔσης ὧν  
-Z/11/276/1	ὑπεδέξατο. κοιλίας μὲν γὰρ ἔχει μεγάλας κατάντεσι πόροις 
-Z/11/276/2	ἐκκενουμένας. οἷς ἂν οὖν φύσει ῥωμαλεώτερος ᾖ τοῦ σαρ-
-Z/11/276/3	κώδους γένους ὁ πνεύμων τε καὶ ὁ σπλὴν καὶ ὁ ἐγκέφαλος, 
-Z/11/276/4	ἐπὶ τούτων εἰς τοὺς ἀδένας καὶ τὰς σάρκας ἀφικνεῖται τὰ 
-Z/11/276/5	ῥεύματα καὶ τοῦ σώματος ἕξεως ὅλης ἀσθενούσης, ὡς ἐπὶ 
-Z/11/276/6	τῶν ῥευματικῶν ἐστι διαθέσεων. εἰκότως τοιγαροῦν ἡ θε-
-Z/11/276/7	ραπεία τούτων οὐ κένωσιν ἔχει τὸν σκοπὸν, ἀλλὰ τοῦ 
-Z/11/276/8	παντὸς σώματος τὴν ῥῶσιν. ἥ γε μὴν ἀρχὴ τῆς θεραπείας 
-Z/11/276/9	ἀπὸ φλεβοτομίας αὐτοῖς γίγνεται. μοχθηρῶν δὲ τῇ ποιότητι 
-Z/11/276/10	τῶν περιττωμάτων ὄντων καὶ κάθαρσιν παραλαμβάνομεν 
-Z/11/276/11	ἐφ' ὧν μάλιστα σωμάτων οὐδετέρου πλήθους ἀναμένειν 
-Z/11/276/12	χρὴ τὸ οἰκεῖον σύμπτωμα, βάρος μὲν τοῦ πρὸς τὴν δύνα-
-Z/11/276/13	μιν, τάσιν δὲ τοῦ κατὰ τὸ ἔγχυμα. κατὰ δὲ τὸν αὐτὸν 
-Z/11/276/14	λόγον ἐπὶ τῶν πληγέντων τι μορίων ἀξιολόγως, ἤτε ἄλλως 
-Z/11/276/15	ὁπωσοῦν ἀρχομένην ἐχόντων φλεγμονὴν, ἐπειδὰν μεγάλην 
-Z/11/276/16	αὐτὴν ἔσεσθαι προσδοκήσωμεν, ἀπὸ κενώσεως ἀρχόμεθα τῆς 
-Z/11/276/17	θεραπείας ἢ καθαίροντες ἢ φλεβοτομοῦντες ὁποτέραν 
-Z/11/276/18	κρίνομεν ἀμείνω κένωσιν ἔσεσθαι.  
-Z/11/277/1	  Καλῶς οὖν ἐν τοῖς προκειμένοις τῶν περὶ 
-Z/11/277/2	διαίτης ὀξέων παρῄνηται φλεβοτομεῖν ἡμᾶς, ὅταν ᾖ μέγα τὸ 
-Z/11/277/3	νόσημα καὶ ἀκμάζῃ [ἡ νόσος, ἢ] ὁ νοσῶν καὶ ῥώμη παρῇ. καὶ 
-Z/11/277/4	κακῶς ὁ Μηνόδοτος ἐπὶ τῇ καλουμένῃ πληθωρικῇ συνδρομῇ 
-Z/11/277/5	μόνῃ τὰς φλεβοτομίας λέγει τετηρῆσθαι. τοὐναντίον 
-Z/11/277/6	γὰρ ἅπαν οἱ σκοποὶ τῆς φλεβοτομίας οὐ περιλαμβάνουσι, 
-Z/11/277/7	πρῶτον ἐν αὐτοῖς τὸ πλῆθος, ἀλλὰ τὴν ὑποψίαν τοῦ γενομέ-
-Z/11/277/8	νου πάθους. εἰ γὰρ ἔσεσθαι φαίνοιτο μέγα, φλεβοτομήσομεν 
-Z/11/277/9	πάντως, κᾂν μηδὲν ᾖ τῶν τοῦ πλήθους γνωρισμάτων, ἐπισκο-
-Z/11/277/10	ποῦντες ἡλικίαν τε καὶ χώραν καὶ δύναμιν, ἃ μόνα φαίνεται 
-Z/11/277/11	κᾀν τοῖς προκειμένοις τῶν περὶ διαίτης εἰρημένα. τὸν μὲν 
-Z/11/277/12	γὰρ ἀκμάζοντα διὰ τὰ παιδία καὶ τοὺς γέροντας εἰς διορι-
-Z/11/277/13	σμὸν παρέλαβεν. οἱ πρῶτοι δ' εἰσὶ καὶ κυριώτατοι σκοποὶ 
-Z/11/277/14	τῆς φλεβοτομίας μέγεθος νοσήματος καὶ ῥώμη τοῦ κάμνοντος, 
-Z/11/277/15	καὶ ταύτην χρὴ πρώτην λέγειν εἶναι συνδρομὴν, οὐ τὴν 
-Z/11/277/16	πληθωρικὴν, ἐφ' ᾗ τετήρηται φλεβοτομία. περιέχεται γὰρ ἐν 
-Z/11/277/17	αὐτῇ κᾀκείνη τὸ μέγεθος αὐξάνουσα τοῦ νοσήματος. οὐ 
-Z/11/277/18	μόνον γὰρ ὅταν ἤδη παρῇ τὸ μέγα νόσημα, φλεβοτομίας και- 
-Z/11/278/1	ρὸς, ἀλλὰ κᾀπειδὰν ἐπίδοξον ἔσεσθαι. φθάνει γὰρ ἡ παίδευ-
-Z/11/278/2	σις ἣν Ἱπποκράτης εἶπε διδάσκων ἡμᾶς, ὅσα παρόντων ἤδη 
-Z/11/278/3	τῶν νοσημάτων ὀρθῶς ἂν πράξαιμεν, ἄμεινον εἶναι ταῦτα 
-Z/11/278/4	κατὰ τὰς ἀρχὰς αὐτῶν ἢ μελλόντων ἄρχεσθαι φθάνειν 
-Z/11/278/5	ποιοῦντας. ὥστε τοὺς εἰρημένους σκοποὺς ἐπὶ τοὺς ὑγιαίνον-
-Z/11/278/6	τας ἔστι μεταφέρεσθαι. καὶ γὰρ καὶ τούτους φλεβοτομήσεις 
-Z/11/278/7	ἐπιδόξους γενομένους ἁλώσεσθαι μεγάλῳ νοσήματι, πρός τε 
-Z/11/278/8	τὴν ἡλικίαν ἀποβλέπων καὶ τὴν ῥώμην. εἰ γὰρ ἐπιτήδειός τις 
-Z/11/278/9	ἐν νοσήματι γενέσθαι μεγάλῳ, κᾂν μηδὲν μηδέπω κατὰ τὸ 
-Z/11/278/10	σῶμα παρῇ σύμπτωμα, φλεβοτομεῖν ἀξιοῦμεν. ἀρκεῖ γὰρ τὴν 
-Z/11/278/11	ἡλικίαν ἐπισκέψασθαι μετὰ τῆς δυνάμεως, ὥστε τρία τὰ 
-Z/11/278/12	συνέχοντα τὴν διάγνωσιν εἶναι, μέγεθος νοσήματος, ἤτοι 
-Z/11/278/13	παρὸν ἢ προσδοκώμενον, καὶ ἡλικίαν ἀκμάζοντος καὶ ῥώμην 
-Z/11/278/14	δυνάμεως. ἴσως δὲ μόνον ἀμελέστερον ἑρμηνεύεσθαι δόξει τὸ 
-Z/11/278/15	τῆς ἡλικίας ἐν τοῖς προκειμένοις, ἐν τῷ περὶ διαίτης ὀξέων. 
-Z/11/278/16	οὐ γὰρ τὴν τῶν ἀκμαζόντων εἰρῆσθαι μόνον ὀρθῶς ἔχει, 
[0057]  [070]  []  []

-Z/11/278/17	ἀλλὰ καὶ τὴν πρὸ αὐτῆς καὶ μετ' αὐτὴν, ὡς δύο μόνας ἐξαι-
-Z/11/278/18	ρεῖσθαι τοῦ διορισμοῦ, τήν τε τῶν παίδων καὶ τὴν τῶν γε- 
-Z/11/279/1	ρόντων. ἀλλ' ἡ μὲν τῶν γερόντων ἐν τῷ τῆς δυνάμεως 
-Z/11/279/2	λόγῳ περιέχεσθαι δύναται. ῥώμη γὰρ οὐδενὶ τῶν κατ' αὐ-
-Z/11/279/3	τὴν τὴν ἡλικίαν ἐστίν. ἐνίοις δὲ τῶν ἰατρῶν οὐδὲ τοῖς 
-Z/11/279/4	παισὶν ἔδοξεν ὑπάρχειν ῥώμην κακῶς ἐγνωκόσιν, ὡς ἐν ἑτέ-
-Z/11/279/5	ροις ἐπιδέδεικταί μοι. φλεβοτομήσομεν οὖν, εἰ μέγα τὸ 
-Z/11/279/6	νόσημα προσδοκοίημεν εἶναι, ἢ παρὸν ἤδη θεωροίημεν ἢ ἀρ-
-Z/11/279/7	χόμενον, ἐπισκεψάμενοι τὴν ῥώμην τῆς δυνάμεως, ἐξελοῦντες 
-Z/11/279/8	τοῦ λόγου μόνα τὰ παιδία, καὶ φήσομεν ἐλλειπέστερον εἰρῆ-
-Z/11/279/9	σθαι τὴν ἀπὸ τῆς ἡλικίας διάγνωσιν ὑπὸ τοῦ γράψαντος τὰ 
-Z/11/279/10	προκείμενα τῷ περὶ διαίτης ὀξέων. ἀρκοῦσι γὰρ οὗτοι μόνοι 
-Z/11/279/11	σκοποὶ πρὸς φλεβοτομίαν. οὐδὲ γὰρ ὁπότε πλῆθος ὠμῶν 
-Z/11/279/12	χυμῶν ἤθροισται τοιοῦτον, ὡς κελεύεσθαι φλεβοτομεῖν, ὁ 
-Z/11/279/13	λόγος ἐλέγχεται. ῥώμη γὰρ τούτοις δυνάμεως οὐ πάρεστι. 
-Z/11/279/14	καὶ αὐτό γε τοῦτ' ἐστὶ γνώρισμα τοῦ μὴ δύνασθαι φλεβοτο-
-Z/11/279/15	μίαν ἐνεγκεῖν αὐτοὺς, ὅταν ἅμα τῷ χρώματι τοῦ παντὸς 
-Z/11/279/16	σώματος ἐμπεπτωκότι τοῦ δηλοῦντος αἷμα πλεονάζειν, ὁ 
-Z/11/279/17	σφυγμὸς ἀνώμαλος ᾖ κατὰ σφοδρότητα καὶ μέγεθος ἐπικρα-
-Z/11/279/18	τούντων κατὰ τὴν ἀνωμαλίαν αὐτοῦ τῶν ἀμυδρῶν τε καὶ  
-Z/11/280/1	μικρῶν. ὡρισμένων οὖν τριῶν σκοπῶν φλεβοτομίας, μεγέ-
-Z/11/280/2	θους νοσήματος, ἤτοι παρόντος ἢ προσδοκωμένου ἢ ἀρχομέ-
-Z/11/280/3	νου, ἡλικίας ἀκμάζοντος, ῥώμης δυνάμεως ἔξω τῆς τῶν παίδων 
-Z/11/280/4	ἡλικίας, ἐπὶ τὰ ἄλλα τὰ πρόσθεν εἰρημένα γνωρίσματα φλε-
-Z/11/280/5	βοτομίας, ἃ προσέθηκαν οὐκ ὀλίγοι τῶν ἰατρῶν ἀφίξομεν, 
-Z/11/280/6	συνενδεικνύμενοι τὸ ποσὸν τῆς ἀφαιρέσεως, οὐκ αὐτὴν 
-Z/11/280/7	τὴν φλεβοτομίαν, ὥστε ἐκ μὲν τοῦ νοσήματος καὶ τῆς ἡλικίας 
-Z/11/280/8	καὶ τῆς δυνάμεως ὅτι φλεβοτομητέον γνωρίζεσθαι, τὸ ποσὸν 
-Z/11/280/9	δὲ τῆς κενώσεως οὐκ ἐκ τούτων μόνων, ἀλλὰ καὶ τῶν ἄλλων 
-Z/11/280/10	λαμβάνεσθαι. ταῦτα δέ ἐστιν ἥ τε πληθωρικὴ καλουμένη συν-
-Z/11/280/11	δρομὴ καὶ ἡ τοῦ περιέχοντος ἡμᾶς ἀέρος κρᾶσις, εἰς ὥραν 
-Z/11/280/12	καὶ χώραν τεμνομένη καὶ τὰ κατὰ τὸν προηγούμενον βίον 
-Z/11/280/13	γεγονότα περί τε ποιότητα καὶ ποσότητα τῶν ἐδηδεσμένων, 
-Z/11/280/14	ἐκκρίσεις τε καὶ κινήσεις ἤτοι γεγονυίας ἢ μή. περὶ μὲν οὖν τῆς 
-Z/11/280/15	ἐν τούτοις διαφορᾶς ὀλίγον ὕστερον ὀψόμεθα. 
-Z/11/280/16	  Περὶ δὲ τῶν ἑκατέρου τοῦ πλήθους γνωρι-
-Z/11/280/17	σμάτων ἐν τῷ παρόντι σκεψόμεθα, πότερον ἐπὶ φλεβοτομίαν 
-Z/11/280/18	ἀφιξόμεθα πάντως ὅταν φαίνηται ταῦτα περί τινα τῶν ἔτι  
-Z/11/281/1	τὰ συνήθη πραττόντων, ἢ οὐκ ἀναγκαῖον, ὅταν μηδεμία 
-Z/11/281/2	προσδοκία μεγάλου νοσήματος. ἥντινα τοίνυν ἔχωμεν γνώ-
-Z/11/281/3	μην καὶ περὶ τούτου ἴστε πολλάκις αὐτοὶ παραγεγονότες μοι 
-Z/11/281/4	συμβουλεύοντι, ἤτοι ποδαγρικοῖς ἢ ἀθριτικοῖς ἢ ἐπιληπτικοῖς 
-Z/11/281/5	ἢ μελαγχολικοῖς, ἢ αἷμα πρόσθεν ἐπτυκόσιν, ἢ κατὰ θώρακα 
-Z/11/281/6	πρὸς τοιοῦτον πάθημα κατασκευὴν ἐπιτηδείων ἔχουσιν, ἢ 
-Z/11/281/7	σκοτοματικοῖς, ἢ συνεχῶς ἁλισκομένοις συνάγχῃ ἢ περιπνευ-
-Z/11/281/8	μονίᾳ, ἢ πλευρίτισιν, ἢ ἡπατίτισιν, ἢ ὀφθαλμίαις σφοδραῖς, 
-Z/11/281/9	ἢ καθόλου φάναι μεγάλῳ νοσήματι. φλεβοτομίαν γὰρ ἐπὶ 
-Z/11/281/10	τῶν τοιούτων ἁπάντων ἀναγκαῖον εἶναι φημὶ βοήθημα παρα-
-Z/11/281/11	χρῆμα προσαγόμενον, ἐπιδιωρισμένῃ τῇ δυνάμει τε καὶ ἡλικίᾳ. 
-Z/11/281/12	ταῦτα εἰ μὴ λεχθείη ποτὲ, προσυπακούεσθαι χρή. τοῖς δὲ 
-Z/11/281/13	μηδὲν τοιοῦτον πεπονθόσιν ἔμπροσθεν ἁπάντων τε τῶν μο-
-Z/11/281/14	ρίων τοῦ σώματος ἄμεμπτον ἔχουσι κατασκευὴν, ἴστε δήπου 
-Z/11/281/15	διττὴν ὁδὸν τῆς κενώσεως ὑποτιθέμενόν με, διὰ φλεβοτομίας 
-Z/11/281/16	μὲν εἰ ἀκρατεῖς εἶεν τῇ διαίτῃ, χωρὶς δὲ ταύτης εἰ ἐγκρατεῖς. 
-Z/11/281/17	ἔνεστι γὰρ καὶ τρίψει πολλῇ καὶ λουτροῖς καὶ περιπάτοις καὶ 
-Z/11/281/18	ταῖς ἄλλαις κινήσεσι, ἔτι χρίσμασι διαφορητικοῖς, ταχέως ἐκκε- 
-Z/11/282/1	νῶσαι τὸ πλῆθος, εἰ μὴ ἄρα σοι δόξει ποτὲ παχέος αἵματος 
-Z/11/282/2	εἶναι πλεονεξίαν. τοιοῦτον δέ ἐστι μάλιστα τὸ μελαγχολικὸν 
-Z/11/282/3	ὡς τὰ πολλά. σπανίως δέ που καὶ τὸ τῶν ὠμῶν καλουμένων 
-Z/11/282/4	χυμῶν. ἀλλ' ἐπὶ μὲν τῆς μελαγχολικῆς καλουμένης περιουσίας 
-Z/11/282/5	φλεβοτομεῖν ἄμεινον, ἢ πάντως γε φαρμάκῳ χρῆσθαι μελάνων 
-Z/11/282/6	καθαρτικῷ, τῶν δ' ὠμῶν χυμῶν ἐπικρατούντων, πρὶν μὲν 
-Z/11/282/7	ἄρξασθαι νοσεῖν, εὐλαβῶς ἀποκενώσεις, ἤδη δὲ πυρεττόντων, 
-Z/11/282/8	ὡς ἔμπροσθεν εἶπον, οὐδ' ὅλως. ἕξεις δὲ αὐτῶν γνώρισμα 
-Z/11/282/9	τό τε τῆς χροιᾶς μολιβδῶδες ἢ ὀχρώλευκον ἅπαντά τε μᾶλλον 
-Z/11/282/10	ἢ ἐρυθρὸν, καὶ τὴν τῶν σφυγμῶν ἀνωμαλίαν. εἰ δὲ ἱκανῶς 
-Z/11/282/11	ηὐξημένον εἴη τὸ τοιοῦτον πλῆθος, καὶ τὸ βάρος τοῦ σώματος 
-Z/11/282/12	αὐτοῖς σύνεστι καὶ πρὸς τὰς κινήσεις ὄκνος καὶ γνώμης νω-
-Z/11/282/13	θρότης καὶ αἰσθήσεων ἀμαυρότης. ἔμπαλιν δὲ τούτοις τοὺς 
-Z/11/282/14	ἐξ ἐπισχέσεως αἱμοῤῥοΐδων ἠθροικότας αἷμα φλεβοτομήσεις 
-Z/11/282/15	θαῤῥῶν, κᾂν μὴ πρότερον ὦσι πεπειραμένοι μεγάλου νοσήμα-
-Z/11/282/16	τος. ἐνδέχεται μὲν γὰρ αὐτοὺς ἐπιτηδείους μὲν εἶναι πρός 
-Z/11/282/17	τι τῶν τοιούτων, οὐδέπω δὲ πεπονθέναι διὰ τὴν ὑπὸ τῶν  
-Z/11/283/1	αἱμοῤῥοΐδων κένωσιν. ἐὰν δὲ καὶ φαίνωνται τινὰ μόρια 
-Z/11/283/2	κατεσκευασμένοι μοχθηρῶς, καὶ μάλιστα τὸ κατὰ θώρακα, 
-Z/11/283/3	πάντως αὐτοὺς φλεβοτομήσεις ἐν τάχει. 
-Z/11/283/4	  Τὴν αὐτὴν δὲ γνώμην ἴστε με καὶ περὶ 
-Z/11/283/5	γυναικῶν ἔχοντα τῶν ἐπεσχημένων τὴν ἔμμηνον κάθαρσιν. 
-Z/11/283/6	οὐδὲ γὰρ οὐδ' ἐπὶ τούτων ἀναβάλλεσθαι χρὴ τὴν κένωσιν. 
-Z/11/283/7	οὐ μὴν ἀναγκαῖόν γε σχάσαι τὴν φλέβα. καὶ γὰρ αἱ τῶν σφυ-
-Z/11/283/8	ρῶν ἀποχαράξεις ἱκαναὶ κενῶσαι τὸ περιττὸν, ἔχουσαί τι καὶ 
-Z/11/283/9	ἄλλο προτρεπτικὸν εἰς τὴν τῶν ἐμμήνων κίνησιν, ὥσπερ γε 
-Z/11/283/10	καὶ αἱ κατὰ τὰ σφυρὰ καὶ τὰς ἰγνύας φλεβοτομίαι. τὰς γὰρ 
-Z/11/283/11	ἐξ ἐπισχέσεως καταμηνίων ἀπὸ τῶν σκελῶν πάντως κενώσεις, 
-Z/11/283/12	εἴτε φλέβα χρὴ τέμνειν, εἴτ' ἀποσχάζειν. ἀντισπᾶν γὰρ εἴωθεν 
-Z/11/283/13	ἡ ἐξ ἀγκῶνος φλεβοτομία τὰς τῶν γυναικῶν καθάρσεις, 
-Z/11/283/14	ἀθροίζουσι δὲ καὶ τούτων αὐτῶν ὅσαι μὲν λευκότεραι λεπτό-
-Z/11/283/15	τερον αἷμα, καὶ διὰ τοῦτο ταῖς ἀπὸ τῶν σφυρῶν ἀμυχαῖς 
-Z/11/283/16	ὀνίνανται μάλιστα. τὰς μελαντέρας δὲ φλέβας τέμνων θερά-
-Z/11/283/17	πευε. παχύτερον γὰρ ἀθροίζουσιν αἷμα καὶ μελαγχολικώτερον, 
-Z/11/283/18	ἔτι δὲ μᾶλλον ἂν μεγάλας ἔχειν φαίνωνται τὰς φλέβας. ὑπάρ- 
-Z/11/284/1	χει δὲ τοῦτο ἰσχνοτέραις τε καὶ μελαντέραις. εὐσάρκοις δὲ 
-Z/11/284/2	καὶ λευκαῖς σμικρότης τῶν φλεβῶν, ἐφ' ὧν ἀποσχάζειν 
-Z/11/284/3	ἄμεινον τὰ σφυρὰ τοῦ τέμνειν τὴν φλέβα. καὶ γὰρ καὶ μι-
-Z/11/284/4	κρὰς αὗται τὰς ἐν τοῖς σκέλεσι φλέβας ἔχουσιν, ὥστε οὐδὲ 
-Z/11/284/5	ῥεῖ τὸ σύμμετρον, εἰ καὶ καλῶς τμηθείη. οὐ χρὴ δὲ ὑμᾶς 
-Z/11/284/6	καταφρονεῖν φλεβοτομίας ὡς οὐκ ἀντισπαστικοῦ βοηθήμα-
-Z/11/284/7	τος, ἑωρακότας ἐμὲ πολλάκις ἐπὶ τῆς ἐκ ῥινῶν αἱμοῤῥα-
-Z/11/284/8	γίας, ὅταν ᾖ σφοδρὰ, χρώμενον τῷ βοηθήματι καὶ παύοντα 
-Z/11/284/9	τὴν ῥύσιν αὐτίκα. προσήκει δ', ὡς ἐθεάσασθε, μὴ περιμέ-
-Z/11/284/10	νειν εἰς ἔσχατον ἀφικέσθαι καταπτώσεως τὴν δύναμιν, ἀλλ' 
-Z/11/284/11	ὅταν ἤδη δοκῇ κεκενῶσθαι μὲν τὸ σύμμετρον, ἡ δ' ὁρμὴ 
-Z/11/284/12	τῆς φορᾶς τοῦ αἵματος ἰσχυρὰ διαμένῃ, τέμνειν ἐν ἀγκῶνι 
-Z/11/284/13	φλέβα, δεξιοῦ μὲν αἱμοῤῥαγοῦντος μυκτῆρος τῇ δεξιᾷ χειρὶ, 
-Z/11/284/14	θατέρου δὲ κατὰ τὴν ἀριστεράν· ἅμα δὲ τοῦτο τῷ ἔργῳ 
-Z/11/284/15	καὶ τοῖς κώλοις περιβάλλειν δεσμοὺς ἐκ ταινίων ἢ ἐρίων 
-Z/11/284/16	καὶ συκίαν ὑποχονδρίῳ προσβάλλειν ᾧ κατ' εὐθύ· ταῦτα 
-Z/11/284/17	γὰρ καὶ ἡμεῖς ποιοῦντες, ὡς ἴστε, διαπαντὸς ἐπέσχομεν 
-Z/11/284/18	τὰς ἐκ ῥινῶν αἱμοῤῥαγίας, πειρασθέντες ἔμπροσθεν ὧν  
-Z/11/285/1	γεγράφασιν εἴς τε τὰς ῥῖνας ἐκτιθεμένων φαρμάκων, ἐπί 
-Z/11/285/2	τε τοῦ μετώπου καταχριομένων πάντων ἀσθενῶν. ὥστε 
-Z/11/285/3	πρὸς τοῖς εἰρημένοις περὶ φλεβοτομίας ἔμπροσθεν καὶ τοῦτο 
-Z/11/285/4	καταβάλλει τὸν Μηνοδότου λόγον, ἡγουμένου τὴν πληθωρι-
-Z/11/285/5	κὴν ὀνομαζομένην συνδρομὴν ἀναμιμνήσκειν ἡμᾶς τοῦ βοη-
-Z/11/285/6	θήματος. ἡ γὰρ εἰρημένη νῦν διάθεσις ἐναντία σαφῶς ἐστὶ 
-Z/11/285/7	τῇ πληθωρικῇ. παραλαμβάνομεν δ' ἐπ' αὐτῆς τὴν φλεβο-
-Z/11/285/8	τομίαν οὐχ ὡς κενωτικὸν, ἀλλ' ὡς ἀντισπαστικὸν βοή-
-Z/11/285/9	θημα. 
-Z/11/285/10	  Οὐδὲν οὕτω τὴν ἰατρικὴν τέχνην 
-Z/11/285/11	ἐν ταῖς πράξεσιν ἀποφαίνει στοχαστικὸν, ὡς τὸ ποσὸν 
-Z/11/285/12	ἑκάστου τῶν βοηθημάτων. εἰδότες γοῦν ἀκριβῶς πολλάκις 
-Z/11/285/13	ὡς καιρὸς τοῦ δοῦναι τροφὴν ἢ ποτὸν ἤτοι θερμὸν ἢ ψυ-
[0057]  [070]  []  []

-Z/11/285/14	χρὸν ἐνέστηκεν, ὁπόσον χρὴ δοῦναι βεβαίως οὐκ ἴσμεν. 
-Z/11/285/15	ὡσαύτως δὲ κᾀπὶ τῶν καθαιρόντων φαρμάκων, ὅτι ἤτοι 
-Z/11/285/16	χολῆς ξανθῆς, ἢ μελαίνης, ἢ φλέγματος, ἢ τῶν ὀῤῥωδῶν 
-Z/11/285/17	περιττωμάτων ἐστὶ δοτέον τῷ κάμνοντι κενωτικὸν φάρμα-
-Z/11/285/18	κον ἀκριβῶς ἴσμεν ἐνίοτε, πόσον δὲ δοῦναι προσήκει οὐκ  
-Z/11/286/1	ἐπιστάμεθα. ἀλλὰ τοιαύτη μὲν ἡ δόσης ἐπανόρθωσιν οὐδε-
-Z/11/286/2	μίαν ἔχει. τὸ γὰρ ἅπαξ εἰς τὴν γαστέρα καταποθὲν φάρμα-
-Z/11/286/3	κον οὐ δύναται μὴ καταπεπῶσθαι πᾶν, οὐδ' ἔστιν οἷόν τε 
-Z/11/286/4	μᾶλλον ἤδη καθαιρομένου τοῦ ἀνθρώπου μέρος ἀφελεῖν τι 
-Z/11/286/5	τοῦ προσενηνεγμένου. ἐπὶ δὲ τῆς φλεβοτομίας ἀγαθὸν τοῦτο 
-Z/11/286/6	μέγιστον ὑπάρχει, παύειν ὁπότε βούλοιο τὴν κένωσιν, εἶτ' 
-Z/11/286/7	αὖθις πάλιν ἐν ᾧπερ ἂν ἐθελήσεις καιρῷ ῥεῖν ἐπιτρέπειν, 
-Z/11/286/8	ἄχρις ἂν ὀρθῶς ἔχειν σοι φαίνηται. διόπερ ἄμεινον ἐστὶν, ἐὰν 
-Z/11/286/9	μηδὲν ἐπείγῃ, τὴν πρώτην ἀφαίρεσιν ἐλλιπέστερον ποιησά-
-Z/11/286/10	μενοι, ἐπαφαιρεῖν αὖθις· εἰ δὲ βούλοιο, καὶ τρίτον. ἐφ' ὧν 
-Z/11/286/11	οὖν ἐστὶ κενώσεως μὲν χρεία πολλῆς, οὐκ ἰσχυρὰ δ' ἡ δύναμις, 
-Z/11/286/12	ἐπὶ τούτων προσήκει ταμιεύεσθαι τὴν κένωσιν, ὥσπερ ἀμέλει 
-Z/11/286/13	κᾀπὶ τῶν πλῆθος ἐχόντων ὠμοτέρων χυμῶν ἐθεάσασθέ με 
-Z/11/286/14	πράττοντα. κενώσας γὰρ ὀλίγον αἷμα εὐθέως δίδωμι μελι-
-Z/11/286/15	κράτου καλῶς ἡψημένου μετά τινος τῶν λεπτυντικῶν φαρμά-
-Z/11/286/16	κων ἢ ὑσσώπου ἢ ὀριγάνου καὶ ποτὲ καλαμίνθης, ἢ γλήχωνος, 
-Z/11/286/17	ἢ καὶ μετὰ τοῦ μελικράτου, ἢ ὀξυμέλιτος, ἢ ὀξυγλυκέως, εἶτ' 
-Z/11/286/18	αὖθις ἐπαφαιρῶ ποτὲ μὲν ἐπὶ τῆς αὐτῆς ἡμέρας, ἐνίοτε δὲ  
-Z/11/287/1	κατὰ τὴν ὑστεραίαν, ἐν ᾗ πάλιν ὁμοίως διδοὺς τῶν εἰρημένων 
-Z/11/287/2	τι φαρμάκων αὖθις ἐπαφαιρῶ, καὶ κατὰ τὴν τρίτην ἡμέραν 
-Z/11/287/3	δὶς ὡσαύτως. ἀλλ' ὅταν ᾖ ζέοντος αἵματος πλῆθος, ἀνάπτον 
-Z/11/287/4	ὀξύτατον πυρετὸν, ἀθρόας ἐστὶ κενώσεως χρεία. καὶ τοῦτο 
-Z/11/287/5	χρὴ πειρᾶσθαι κενοῦν, ἄχρι λειποθυμίας, ἐπισκεψάμενον τὴν 
-Z/11/287/6	ῥῶσιν τῆς δυνάμεως. ὥστε ἐνίων οἶδα κοτύλας ἓξ ἀφε-
