
[0057]  [001]  []  []

-Z//t/1	  {ΓΑΛΗΝΟΥ ΠΡΟΤΡΕΠΤΙΚΟΣ ΕΠ ΙΑΤΡΙΚΗΝ.} 
-Z//11/49	        ‘χωλοί τε ῥυσοί τε παραβλῶπές τ' ὀφθαλμώ’ 
-Z//11/50	ἀποτελούμενοι. ὡς γὰρ τὰ διασεισθέντα τῶν τειχῶν ἀπὸ μηχανημάτων ἑτοίμως 
-Z//11/51	ὑπὸ τῆς τυχούσης διαλύεται βλάβης, οὔτε σεισμὸν οὔτ' ἄλλην τινὰ βραχυτέραν 
-Z//11/52	δυνάμενα φέρειν περίστασιν, οὕτω καὶ τὰ τῶν ἀθλητῶν σώματα σαθρὰ καὶ 
-Z//11/53	ἀσθενῆ ταῖς κατὰ τὴν ἐπιτήδευσιν γεγονότα πληγαῖς ἕτοιμα πρὸς τὸ πάσχειν 
-Z//11/54	ἐστὶν ἐπὶ ταῖς τυχούσαις προφάσεσιν. οἱ μὲν γὰρ ὀφθαλμοὶ περιορωρυγμένοι 
-Z//11/55	πολλάκις ὅθ' ἡ δύναμις οὐκέτ' ἀντέχει πληροῦνται ῥευμάτων, οἱ δ' ὀδόντες 
-Z//11/56	ἅτε διασεσεισμένοι πολλάκις ἐπιλειπούσης ἐν τῷ χρόνῳ τῆς δυνάμεως αὐτοὺς 
-Z//11/57	ἑτοίμως ἐκπίπτουσι, τὰ δὲ λυγισθέντα τῶν ἄρθρων ἀσθενῆ πρὸς πᾶσαν τὴν 
-Z//11/58	ἔξωθεν βίαν γίγνεται, καὶ πᾶν ῥῆγμα καὶ σπάσμα ῥᾳδίως κινεῖται. 
-Z//11/59	σωματικῆς μὲν οὖν ὑγιείας ἕνεκα φανερὸν ὡς οὐδὲν ἄλλο γένος ἀθλιώτερόν 
-Z//11/60	ἐστι τῶν ἀθλητῶν. ὥστ' εἰκότως ἄν τις εἴποι συγγενῶς ὀνομάζεσθαι 〈τοὺς 
-Z//11/61	ἀθλητάς τε καὶ τοὺς ἀθλίους, ἤτοι γε ἀπὸ τοῦ ἀθλίου〉 τῶν ἀθλητῶν προσαγορευ-
-Z//11/62	θέντων ἢ ἀπὸ τοῦ ἀθλητοῦ τὴν προσηγορίαν τῶν ἀθλίων ἐσχηκότων ἢ κοινῶς 
-Z//11/63	ἀμφοτέρων καθάπερ ἀπὸ πηγῆς μιᾶς τῆς ἀθλιότητος ὠνομασμένων. 
-Z//12/1	  ἀλλ' ἐπειδὴ καὶ περὶ τοῦ μεγίστου τῶν σωματικῶν ἀγαθῶν τῆς 
-Z//12/2	ὑγιείας ἐσκέμμεθα, μεταβῶμεν ἐπὶ τὰ λοιπά. τὰ μὲν δὴ περὶ κάλλους οὕτως 
-Z//12/3	αὐτοῖς ἔχει, ὥσ〈τε〉 μὴ μόνον ὠφελήθησαν 〈μηδέν〉 τι πρὸς τῆς ἀθλήσεως τὴν 
-Z//12/4	φύσιν, ἀλλὰ καὶ πολλοὺς αὐτῶν πάνυ συμμέτρως ἔχοντας τῶν μελῶν οἱ γυμ-
[0057]  [001]  []  []

-Z//12/5	νασταὶ παραλαβόντες, ὑπερπιάναντες δὲ καὶ διασάξαντες αἵματί τε καὶ σαρξὶν 
-Z//12/6	εἰς τοὐναντίον ἤγαγον. ἐνίων δὲ καὶ τὰ πρόσωπα παντάπασιν ἄμορφα καὶ 
-Z//12/7	δυσειδῆ κατέστησαν καὶ μάλιστα τῶν παγκράτιον ἢ πυγμὴν ἀσκησάντων. ὅταν 
-Z//12/8	δὲ καὶ τῶν μελῶν 〈ἀλλήλοις τι〉 τελέως ἀποκλάσωσιν ἢ διαστρέψωσιν ἢ τοὺς 
-Z//12/9	ὀφθαλμοὺς ἐκκόψωσι, τότ' οἶμαι τότε καὶ μάλιστα τὸ 〈ἐκ〉 τῆς ἐπιτηδεύσεως 
-Z//12/10	αὐτῶν ἀποτελούμενον κάλλος ἐναργῶς ὁρᾶσθαι. ταῦτα μὲν οὖν αὐτοῖς ὑγιαίνουσιν 
-Z//12/11	εἰς κάλλος εὐτύχηται, καταλύσασι δὲ καὶ τὰ λοιπὰ 〈τῶν〉 τοῦ σώματος αἰσθητηρίων  
-Z//12/12	προσαπόλλυται καὶ πάνθ' ὡς εἰπεῖν τὰ μέλη διαστρεφόμενα παντοίας ἀμορφίας 
-Z//12/13	αἴτια γίγνεται. 
-Z//13/1	  ἀλλ' ἴσως τῶν 〈μὲν〉 εἰρημένων οὐδενός, ἰσχύος 〈δ'〉 ἀντιποιήσονται· 
-Z//13/2	τοῦτο γὰρ εὖ οἶδ' ὅτι φήσουσιν, ἰσχυρότατοι πάντων εἶναι. ποίας, ὦ πρὸς θεῶν, 
-Z//13/3	ἰσχύος καὶ πρὸς 〈τί〉 χρησίμης; πότερον τῆς εἰς τὰ γεωργικὰ τῶν 
-Z//13/4	ἔργων; πάνυ μὲν οὖν καλῶς ἢ σκάπτειν ἢ θερίζειν ἢ ἀροῦν 〈ἤ〉 τι τῶν ἄλλων 
-Z//13/5	τῶν κατὰ γεωργίαν δύνανται. ἀλλ' ἴσως 〈τῆς〉 εἰς τὰ πολεμικά; τὸν Εὐριπίδην 
-Z//13/6	αὖθίς μοι κάλει, ὅστις αὐτοὺς ὑμνήσει λέγων ‘πότερα μαχοῦνται 
-Z//13/7	πολεμίοισιν, ἐν χεροῖν δίσκους ἔχοντες;’ τῷ γὰρ ὄντι ‘οὐδεὶς σιδήρου ταῦτα 
-Z//13/8	μωραίνει πέλας.’ ἀλλὰ πρὸς κρύος καὶ θάλπος ἰσχυροί; αὐτοῦ γε τοῦ Ἡρα-
-Z//13/9	κλέους ζηλωταί, ὡς ἑνὶ καὶ χειμῶνος καὶ θέρους σκέπεσθαι δέρματι, ὡς ἀνυπό-
-Z//13/10	δετοι διατελεῖν, ὑπαίθριοι κοιμᾶσθαι, χαμευνεῖν· ἐν ἅπασι γὰρ τούτοις τῶν νεο-
-Z//13/11	γνῶν παίδων εἰσὶν ἀσθενέστεροι. ἐν τίνι τοίνυν ἔτι τὴν ἰσχὺν ἐπιδείξονται ἢ ἐπὶ τίνι 
-Z//13/12	μέγα φρονήσουσιν; οὐ γὰρ δήπουθεν ἐπὶ τῷ τοὺς σκυτοτόμους ἢ 〈τοὺς〉 τέκ-
-Z//13/13	τονας ἢ τοὺς οἰκοδόμους οἷοί τ' εἶναι καταβάλλειν ἐν παλαίστρᾳ τε καὶ σταδίῳ; 
-Z//13/14	τάχ' οὖν ἐπὶ τῷ δι' ὅλης ἡμέρας κονίεσθαι 〈θαυμάζεσθαι〉 δικαιοῦσιν· ἀλλὰ 
-Z//13/15	τοῦτό γε καὶ τοῖς ὄρτυξι καὶ τοῖς πέρδιξιν ὑπάρχει, καὶ εἴπερ ἐπὶ τούτῳ, μέγα 
-Z//13/16	χρὴ φρονεῖν 〈καὶ〉 ἐπὶ τῷ δι' ὅλης ἡμέρας βορβόρῳ λούεσθαι. ἀλλὰ νὴ Δία τῶν 
-Z//13/17	ἱερουργημένων ἕνα ταύρων ἀναθέμενος τοῖς ὤμοις ὁ Μίλων ἐκεῖνος ὁ Κροτω-
-Z//13/18	νιάτης διεκόμισέ ποτε τὸ στάδιον. ὦ τῆς ὑπερβαλλούσης ἀνοίας, ὡς μηδὲ τοῦτο 
-Z//13/19	γιγνώσκειν ὅτι πρὸ βραχέος τὸ βαρύτατον τοῦτο σῶμα τοῦ ταύρου ζῶντος 
-Z//13/20	ἐβάσταζεν ἡ ψυχὴ τοῦ ζῴου, καὶ πολλῷ γ' ἀκοπώτερον ἢ ὁ Μίλων, εἴ γε καὶ 
-Z//13/21	θεῖν ἠδύνατο βαστάζουσα· ἀλλ' ὅμως οὐδενὸς ἦν ἀξία, παραπλησίως τῇ Μίλω-
-Z//13/22	νος. ἐδήλωσε δὲ καὶ ἡ τελευτὴ τἀνδρὸς ὅπως ἦν ἀνόητος· ὅς γε θεασάμενός 
-Z//13/23	ποτε νεανίσκον σχίζοντα κατὰ μῆκος ξύλον ἐνθέσει σφηνῶν, ἐκεῖνον 
-Z//13/24	μὲν ἀπέστησε καταγελάσας, αὐτὸς δὲ διὰ τῶν ἑαυτοῦ χειρῶν μόνων ἐτόλμησε 
-Z//13/25	διασπᾶν αὐτό. κἄπειθ' ὅσον εἶχεν ἰσχύος εὐθὺς ἐν τῇ πρώτῃ προσβολῇ πληρώσας 
-Z//13/26	διέστησε μὲν ἑκατέρωσε τὰ μέρη τοῦ ξύλου, τῶν σφηνῶν δ' ἐκπεσόντων ἐν 
-Z//13/27	τῷδε τὸ λοιπὸν τοῦ ξύλου μέρος ἀδυνατῶν διαστῆσαι μέχρι πολλοῦ μὲν ἀντεῖχεν,  
-Z//13/28	ὕστερον δὲ νικηθεὶς οὐκ ἔφθασε κομίσασθαι τὰς χεῖρας, ἀλλ' ὑπὸ τῶν μερῶν 
-Z//13/29	τοῦ ξύλου συνελθόντων ἀλλήλοις καταληφθεῖσαι συνετρίβησαν μὲν αὗται πρῶται, 
-Z//13/30	θανάτου δ' οἰκτροῦ τῷ Μίλωνι κατέστησαν αἴτιαι. πάνυ μὲν οὖν ὤνησεν αὐτὸν 
-Z//13/31	εἰς τὸ μηδὲν παθεῖν ὁ νεκρὸς ταῦρος ἐν τῷ σταδίῳ βασταχθείς· ἢ τὸ κοινὸν 
-Z//13/32	τῶν Ἑλλήνων ἔσωσεν ἄν, ἡνίκα πρὸς τὸν βάρβαρον ἐπολέμουν, ἡ τοιαύτη τοῦ 
-Z//13/33	Μίλωνος ἐνέργεια περὶ τὸν ταῦρον, ἀλλ' οὐχ ἡ Θεμιστοκλέους σοφία πρῶτον 
-Z//13/34	μὲν ὑποκριναμένου καλῶς τὸν χρησμόν, εἶτα στρατηγήσαντος ὡς ἐχρῆν; 
-Z//13/35	      ‘σοφὸν γὰρ ἓν βούλευμα 〈τὰς〉 πολλὰς χέρας 
-Z//13/36	      νικᾷ, σὺν ὅπλοις δ' ἀμαθία χεῖρον κακόν’. 
-Z//13/37	  ὅτι μὲν εἰς οὐδὲν τῶν κατὰ τὸν βίον ἔργων χρήσιμος ἡ τῶν ἀθλητῶν ἄσ-
-Z//13/38	κησις εὖ οἶδ' ὅτι σαφὲς ἤδη γέγονεν· ὅτι δὲ καὶ ἐν αὐτοῖς οἷς ἀσκοῦσιν οὐδενός 
-Z//13/39	εἰσιν ἄξιοι λόγου μάθοιτ' ἄν, εἰ διηγησαίμην ὑμῖν τὸν μῦθον ἐκεῖνον, ὃν τῶν 
-Z//13/40	οὐκ ἀμούσων ἀνδρῶν τις ἐντείνας ἔπεσι διεσκεύασεν. ἐστὶ δὲ οὗτος· 
-Z//13/41	εἰ Διὸς γνώμῃ πᾶσι τοῖς ζῴοις ὁμόνοια καὶ κοινωνία γένοιτο 
-Z//13/42	πρὸς τὸν βίον, ὡς τὸν ἐν Ὀλυμπίᾳ κήρυκα μὴ μόνον ἀνθρώπους τοὺς ἀγωνιου-
-Z//13/43	μένους καλεῖν ἀλλὰ καὶ πᾶσιν ἐπιτρέπειν τοῖς ζῴοις εἰς τὸ στάδιον ἥκειν, ἐν 
-Z//13/44	〈τοῖς ἀγῶσιν〉 οὐδένα ἂν ἄνθρωπον οἶμαι στεφθήσεσθαι. 
-Z//13/45	    ‘ἐν μὲν γὰρ δολιχῷ 〈καὶ〉 ὑπέρτατος, φησίν, ἔσσεται ἵππος, 
-Z//13/46	    τὸ στάδιον δὲ λαγωὸς ἀποίσεται, ἐν δὲ διαύλῳ 
-Z//13/47	    δορκὰς ἀριστεύσει. μερόπων δ' ἐναρίθμιος οὐδεὶς 
-Z//13/48	    ἐν ποσίν, ὦ κούφων ἀσκήτορες, ἄθλιοι ἄνδρες.’ 
-Z//13/49	ἀλλ' οὐδὲ τῶν ἀφ' Ἡρακλέους τις ἐλέφαντος ἢ λέοντος ἰσχυρότερος ἂν φανείη. 
-Z//13/50	οἶμαι δ' ὅτι καὶ ταῦρος πυγμῇ στεφθήσεται. 
-Z//13/51	      ‘καὶ δὴ λὰξ ὄνος, φησίν, εἴ τις ἐρίζειν βούλεται αὐτῷ, 
-Z//13/52	      οἴσει τὸν στέφανον.’ 
-Z//13/53	      ‘αὐτὰρ ἐν ἱστορίῃ πολυπείρου γράψετ' ἀγῶνος, 
-Z//13/54	      〈ὡς〉 τό γε παγκράτιον 〈κρατερὸν〉 νίκησέ ποτ' ἄνδρα 
-Z//13/55	      (εἰκοστῇ δ' ἔπι πρώτη ὀλυμπιὰς ἦν ὅτ' ἐνίκα) 
-Z//13/56	      Ὀγκηστής.’ 
-Z//13/57	  πάνυ χαριέντως οὗτος ὁ μῦθος ἐπιδείκνυσι τὴν ἀθλητικὴν ἰσχὺν οὐ τῶν 
-Z//13/58	ἀνθρωπίνων οὖσαν ἀσκημάτων· καίτοι γ' εἰ μηδ' ἐν ἰσχύι πρωτεύουσι τῶν 
-Z//13/59	ζῴων οἱ ἀθληταί, τίνος ἂν ἔτι τῶν ἄλλων ἐπήβολοι γενηθεῖεν ἀγαθῶν;  
-Z//14/1	  εἰ δὲ καὶ τὴν ἡδονὴν σώματός τις ἀγαθὸν εἶναι φαίη, οὐδὲ αὐτῆς 
-Z//14/2	ταύτης αὐτοῖς μέτεστιν οὔτ' οὖν ἀθλοῦσιν οὔτε καταλύσασιν, εἴ γε παρὰ μὲν τὸν 
-Z//14/3	τῆς ἀθλήσεως χρόνον ἐν πόνοις τε καὶ ταλαιπωρίαις εἰσίν, οὐ γυμναζόμενοι 
-Z//14/4	μόνον ἀλλὰ καὶ πρὸς ἀνάγκην ἐσθίοντες, ἡνίκα δὲ καὶ καταλύσαντες τύχοιεν, 
-Z//14/5	ἀνάπηροι τὰ πλεῖστα μέρη τοῦ σώματος γίγνονται. 
-Z//14/6	  τάχ' οὖν ἐπὶ τῷ χρήματα πάντων ἀθροίζειν πλεῖστα σεμνύνονται· καὶ μὴν 
-Z//14/7	ἔστιν ὑμῖν θεάσασθαι πάντας αὐτοὺς ὀφείλοντας οὐ μόνον ἐκεῖνον τὸν χρόνον 
-Z//14/8	καθ' ὃν ἀθλοῦσιν ἀλλὰ καὶ καταλύσαντας τὴν ἄσκησιν, οὐδ' ἂν εὕροις ἀθλητὴν 
-Z//14/9	οὐδένα πλουσιώτερον ἑνὸς τῶν ἐπιτυχόντων οἰκονόμων ἀνδρὸς πλουσίου. ἐστὶ 
-Z//14/10	δ' οὐδ' αὐτὸ τὸ πλουτεῖν ἐξ ἐπιτηδεύματος ἀξιόλογον ἁπλῶς, ἀλλὰ τὸ τοιαύτην 
-Z//14/11	ἐπίστασθαι τέχνην ἣ καὶ ναυαγήσασι συνεκκολυμβήσει· ὅπερ οὔτε 
-Z//14/12	τοῖς διοικοῦσι τὰ τῶν πλουσίων οὔτε τοῖς τελώναις ἢ τοῖς ἐμπόροις ὑπάρχει. 
-Z//14/13	καίτοι πλουτοῦσιν ἐξ ἐπιτηδευμάτων οὗτοι μάλιστα, ἀλλ' ἐὰν ἀπολέσωσι τὰ 
-Z//14/14	χρήματα, συναπολλύουσιν αὐτοῖς καὶ τὰς πράξεις, ἀφορμῆς μέν τινος χρημάτων 
-Z//14/15	εἰς αὐτὰς δεόμενοι, τῷ δ' οὐκ ἔχειν ταύτην 〈αὖθις〉 ἄρξασθαι τῆς ἀρχαίας πρά-
-Z//14/16	ξεως ἀδυνατοῦντες· οὐδὲ γὰρ δανείζει τις αὐτοῖς χωρὶς ἐνεχύρων ἢ ὑποθηκῶν. 
-Z//14/17	  ὥστ' εἰ καὶ πρὸς χρηματισμὸν ἀσφαλῆ τε καὶ οὐκ ἄδοξον ἀξιοῖ τις ὑμᾶς 
-Z//14/18	παρεσκευάσθαι, τέχνην ἀσκητέον ἐστὶ καὶ διὰ παντὸς τοῦ βίου παραμενοῦσαν. 
-Z//14/19	ἀλλὰ διττῆς οὔσης διαφορᾶς τῆς πρώτης ἐν ταῖς τέχναις (ἔνιαι μὲν γὰρ αὐτῶν 
-Z//14/20	λογικαί τ' εἰσὶ καὶ σεμναί, τινὲς δ' εὐκαταφρόνητοι καὶ διὰ τῶν τοῦ σώματος 
-Z//14/21	πόνων, ἃς δὴ βαναύσους τε καὶ χειρωνακτικὰς ὀνομάζουσιν), ἄμεινον ἂν εἴη 
-Z//14/22	τοῦ προτέρου γένους τῶν τεχνῶν μετέρχεσθαί τινα. τὸ γάρ τοι δεύτερον γένος 
-Z//14/23	αὐτῶν ἐπιλείπειν εἴωθε γηρῶντας τοὺς τεχνίτας. εἰσὶ δ' ἐκ τοῦ προτέρου γένους 
-Z//14/24	ἰατρική τε καὶ ῥητορικὴ καὶ μουσική, γεωμετρία τε καὶ ἀριθμητικὴ καὶ λογι-
-Z//14/25	στική, καὶ ἀστρονομία καὶ γραμματικὴ καὶ νομική· πρόσθες δ' εἰ βούλει ταύταις 
-Z//14/26	πλαστικήν τε καὶ γραφικήν· εἰ γὰρ καὶ διὰ τῶν χειρῶν ἐνεργοῦσιν, ἀλλ' οὐκ 
-Z//14/27	ἰσχύος νεανικῆς δεῖται τὸ ἔργον αὐτῶν. ἐκ τούτων οὖν τινα τῶν τεχνῶν ἀνα-
-Z//14/28	λαμβάνειν τε καὶ ἀσκεῖν χρὴ τὸν νέον, ὅτῳ μὴ παντάπασιν ἡ ψυχὴ βοσκημα-
-Z//14/29	τώδης ἐστί, καὶ μᾶλλόν γε τὴν ἀρίστην ἐν ταύταις, ἥτις ὡς ἡμεῖς φαμεν ἐστὶν 
[0057]  [001]  []  []

-Z//14/30	ἰατρική. τοῦτο δ' αὐτὸ δεικτέον ἐφεξῆς. ...  
