
[0057]  [079]  []  []

-Z/14/210/t1	{ΓΑΛΗΝΟΥ ΠΡΟΣ ΠΙΣΩΝΑ ΠΕΡΙ 
-Z/14/252/11	σώματος, ὡς οἶμαι, ταχέως ἐπὶ τὸ κρεῖττον γιγνο-
-Z/14/252/12	μένης, ἀλλ' οὐχὶ τῶν ὄγκων ἀπαθῶν ὑπαρχόντων, καὶ διὰ 
-Z/14/252/13	τοῦτο τὴν αἴσθησιν ἡμῖν τῶν τοιούτων παρέχειν μὴ δυνα-
-Z/14/252/14	μένων. τίς γὰρ ἐν τοσούτῳ τάχει τοὺς ὄγκους συντιθέναι 
-Z/14/252/15	δυνήσεται; ἢ τίς οὕτως ἐξ ἀπαθῶν τῶν ὄγκων συγκείμενος 
-Z/14/252/16	ταχέως τῶν προσπιπτόντων αἰσθήσεται; ἡ γὰρ ποιὰ τῶν 
-Z/14/252/17	ὄγκων μετατιθεμένων σύνθεσις τοῦ μὲν σχήματος ἀλλαγὴν 
-Z/14/252/18	μόνην ἐργάζεται, ἀλλοίωσιν δὲ καὶ ποιότητα ἄλλην ἐξ ἄλλης  
-Z/14/253/1	γεννῆσαι ἀδυνατεῖ. καὶ διὰ τοῦτο ἐδόκει μοι τὸν ἄνδρα 
-Z/14/253/2	μὴ μόνον τὸ ἐπὶ τῶν φαρμάκων γιγνόμενον ἀκολούθως 
-Z/14/253/3	ἀναιρεῖν διὰ τὴν ἀκολουθίαν τοῦ δόγματος, ἀλλὰ καὶ τὴν 
-Z/14/253/4	φύσιν αὐτὴν τὴν διοικοῦσαν ἐν ἡμῖν τὰ πάντα μηδὲν εἶ-
-Z/14/253/5	ναι οἴεσθαι. ἕκαστα γὰρ τῶν γιγνομένων ἐκ τῆς τῶν ὄγκων 
-Z/14/253/6	συνθέσεως καὶ συμπλοκῆς γίγνεσθαι βούλεται. διόπερ καὶ 
-Z/14/253/7	θαυμάζειν ἐπέρχεταί μοι, ὅταν αὐτὸν ὁρῶ τὰ οὕτω θαυ-
-Z/14/253/8	μαστὰ τῆς φύσεως ἔργα μὴ βλέποντα, καὶ μάλιστα τὰς ἐξ 
-Z/14/253/9	ἀρχῆς ἐν αὐτῇ τῇ γενέσει τοῦ ἀνθρώπου γιγνομένας τέχνας, 
-Z/14/253/10	ὅπως μὲν διαπλάττεται τὸ ἔμβρυον ἐν τῷ τῆς μήτρας τόπῳ, 
-Z/14/253/11	ὅπως δ' ἂν καὶ διαπλασθὲν εὐμηχάνως τρέφεται, ὅσοις δὲ 
-Z/14/253/12	καὶ οἵοις αὐτὸ τοῖς ἁπαλωτάτοις δεσμοῖς ἄχρι τοῦ ὡραίου 
-Z/14/253/13	τόκου ἔνδον κρατεῖ, οἵᾳ δέ τινι θείᾳ τέχνῃ καὶ ὁμοιότητι 
-Z/14/253/14	τύπον ἐν τοῖς γεννωμένοις ἐργάζεται, ἐφ' οὗ μάλιστα καὶ 
-Z/14/253/15	ἡ τῶν ὄγκων ὑπόθεσις αὐτοῦ ἀσχημόνως ἐλέγχεται. οὐ γὰρ 
-Z/14/253/16	μόνοις τοῖς γεννῶσιν, ἀλλὰ καὶ προγόνοις τισὶ τὰ τικτό-
-Z/14/253/17	μενα ὅμοια γίνεται. ἐμοὶ δὲ καὶ λόγος τὶς ἀρχαῖος ἐμήνυ-
-Z/14/253/18	σεν ὅτι τῶν ἀμόρφων τὶς δυνατὸς εὔμορφον θέλων γεννῆ- 
-Z/14/254/1	σαι παῖδα, ἐποίησε γράψαι ἐν πλατεῖ ξύλῳ εὐειδὲς ἄλλο παι-
-Z/14/254/2	δίον, καὶ ἔλεγε τῇ γυναικὶ συμπλεκόμενος ἐκείνῳ τῷ τύπῳ 
-Z/14/254/3	τῆς γραφῆς ἐμβλέπειν. ἡ δὲ ἀτενὲς βλέπουσα καὶ ὡς ἔστιν 
-Z/14/254/4	εἰπεῖν ὅλον τὸν νοῦν ἔχουσα οὐχὶ τῷ γεννήσαντι, ἀλλὰ τῷ 
-Z/14/254/5	γεγραμμένῳ ὁμοίως ἀπέτεκε τὸ παιδίον, τῆς ὄψεως, οἶμαι, 
-Z/14/254/6	διαπεμπούσης τῇ φύσει, ἀλλ' οὐκ ὄγκοις τισὶ τοῦ γεγραμ-
-Z/14/254/7	μένου τοὺς τύπους. ἐπεὶ δὲ ἀμύητος τῶν τοιούτων τῆς 
-Z/14/254/8	φύσεως μυστηρίων ὁ ἀνὴρ εἶναι διὰ τοὺς ὄγκους ὑπομένει 
-Z/14/254/9	καὶ διὰ τὸ ἀφανές τε καὶ ἄδηλον τῆς ὄψεως τοὺς ἑαυτοῦ 
-Z/14/254/10	μαθητὰς πιστεύειν τοῖς οὕτω θαυμασίοις ἔργοις οὐκ ἐᾷ, ἐπὶ 
-Z/14/254/11	τὰ ἔξωθεν αὐτὸν καὶ παντάπασι φαινόμενα μεταβάλλειν 
-Z/14/254/12	βούλομαι. τίς γὰρ τὰς ὑπὸ τοῦ ζώου τῆς ἀράχνης γιγνο-
-Z/14/254/13	μένας τέχνας βλέπων ἀπιστεῖ καὶ τὴν διὰ τῶν οὕτω δια-
-Z/14/254/14	φανῶν τε καὶ λεπτῶν νημάτων γιγνομένην ὑπ' αὐτῆς ὑφὴν, 
-Z/14/254/15	ὡς καί τινας λέγειν τὴν ὑφαντικὴν τοὺς ἀνθρώπους λαβόν-
-Z/14/254/16	τας τὸ πρῶτον παρ' αὐτῆς ἔχειν; τίνα δ' οὐ πείθει λέγειν 
-Z/14/254/17	θαυμάσιόν τι χρῆμα τὴν φύσιν ὑπάρχειν ὁρῶντα τὸ ὑπὸ 
-Z/14/254/18	τῆς ἄρκτου γιγνόμενον ἔργον; ἀποτίκτει μὲν γὰρ ἡ ἄρκτος  
-Z/14/255/1	ἅπασι τοῖς γεννωμένοις ὁμοίως ζώοις. ἔστι δὲ σὰρξ μόνη 
-Z/14/255/2	γεννωμένη ἄπλαστός τε καὶ ἀδιάρθρωτος, μορφὴν μὲν οὐδε-
-Z/14/255/3	μίαν ἔχουσα, εὐθὺς δὲ ὑπὸ τῆς γεννώσης τῇ φυσικῇ τέχνῃ 
-Z/14/255/4	διατυπουμένη. τῇ γὰρ γλώττῃ ὥσπερ χειρί τινι χρωμένη 
-Z/14/255/5	ἡ τεκοῦσα οὕτω μεμορφωμένον ζῶον τὸ τεχθὲν ἀποτελεῖν 
-Z/14/255/6	ἀλλὰ πρὸς μὲν τούτους παύσομαι λέγων. καὶ γὰρ εἴωθα ἐν 
-Z/14/255/7	τοῖς φιλοτίμοις λόγοις ὥσπερ τινὶ χαλινῷ, καθάπερ ἵππου 
-Z/14/255/8	τινὸς γαύρου τρέχοντος τῷ μέτρῳ, τοῦ λόγου αὐτοῦ εὐτό-
-Z/14/255/9	νως κρατεῖν. 
-Z/14/255/10	  [Ἕκαστα τὰ τὴν θηριακὴν συντιθέμε-
-Z/14/255/11	να ἀκριβῶς ἐξεταστέον. καὶ τὴν Ἀνδρομάχου γραφὴν προκρι-
-Z/14/255/12	τέον.] Ἐπιδείξας δὲ, ὡς οἶμαι, σαφῶς μηκέτι εἶναί σοι θαυμα-
-Z/14/255/13	στὸν τὰ θηρία αὐτὰ καὶ ἀναιρεῖν καὶ βοηθεῖν δύνασθαι, διὰ τὴν 
-Z/14/255/14	ποικίλην σκευασίαν τε καὶ μίξιν τῶν συμμιγνυμένων αὐτοῖς 
-Z/14/255/15	φαρμάκων, μετὰ τοῦτο λοιπὸν τὴν ἀντίδοτον σκευάζειν ἄρ-
-Z/14/255/16	ξομαι. οὐ γάρ ἐστιν ὀλίγη καὶ ἡ ἐν τῇ σκευασίᾳ αὐτῆς 
-Z/14/255/17	γιγνομένη ὑφ' ἡμῶν τέχνη. ἥ τε γὰρ ἐν τοῖς θηρίοις πολ-
-Z/14/255/18	λάκις ὑπὸ τῶν θηρευόντων αὐτὰ γιγνομένη πανουργία καὶ ἡ  
-Z/14/256/1	ἐν τοῖς ἄλλοις μίγμασι τῶν σκευαζόντων ἀπειρία ἄχρηστον 
-Z/14/256/2	πολλάκις ἐποίησε τὸ φάρμακον. πολλοὶ γὰρ αὐτῶν τὴν περὶ 
-Z/14/256/3	τὸ θηρεύειν τέχνην ἐπιδείκνυσθαι βουλόμενοι, καὶ μάλισθ' 
-Z/14/256/4	ὅσοι καὶ φάρμακά τινα πρὸς τὰ τοιαῦτα εὑρίσκειν ἐπαγγέλ-
-Z/14/256/5	λονται, τὸ μὲν ἔχειν τὰ φάρμακα ψεύδονται. οὐ γὰρ εὕ-
-Z/14/256/6	ρομέν ποτε ἡμεῖς αὐτοὺς ἔχοντας, διὰ δὲ τοῦ πανουργεῖν 
-Z/14/256/7	τὰ θηρία τοὺς ὁρῶντας πλανῶσι, πρῶτον μὲν αὐτὰ θη-
-Z/14/256/8	ρεύοντες οὐ τῷ δέοντι καιρῷ, ἀλλὰ μετὰ πολὺν τῆς φωλειᾶς 
-Z/14/256/9	τὸν χρόνον, ὅτε μηκέτ' ἐστὶν ἀκμαῖα. λαβόντες δὲ αὐτὰ 
-Z/14/256/10	καὶ προεθίζουσιν ἑαυτοῖς πολλάκις καὶ τρέφουσιν οὐ ταῖς 
-Z/14/256/11	εἰθισμέναις τροφαῖς, ἀλλὰ σάρκας αὐτοῖς ἐπιδιδόντες καὶ 
-Z/14/256/12	συνεχῶς ἐνδάκνειν ἀναγκάζοντες, οὕτως ἐκ τοῦ στόματος 
-Z/14/256/13	αὐτῶν κενοῦσθαι ποιοῦσι τὸν ἰὸν καὶ δὴ καὶ μάζας τινὰς 
-Z/14/256/14	ἐπιδιδόντες ἐμφραττούσας τῶν ὀδόντων τὰ τρήματα καὶ 
-Z/14/256/15	οὕτω τούτων ἀσθενῆ γίνεται τὰ δήγματα, ὡς θαυμάζειν 
-Z/14/256/16	πάνυ τοὺς ὁρῶντας τὴν τοιαύτην αὐτῶν εἰς τὸ πανουργεῖν 
-Z/14/256/17	τέχνην οὐκ εἰδότας· ὁμοίως δ' αὖ καὶ ἡ περὶ τὰ φάρμακα 
-Z/14/256/18	τῶν μιγνυμένων, ὡς ἔφην, ἀπειρία οὐκ ἔστιν ὀλίγη.  
-Z/14/257/1	αὐτίκα γέ τοι περὶ τὰ κάλλιστα τῶν ἐμβαλλομένων, κασσίαν 
-Z/14/257/2	λέγω καὶ τὸ κιννάμωμον αὐτὸ, οὐκ ὀλίγη τίς ἐστι διαφορὰ, 
-Z/14/257/3	καὶ πολλοὺς τῶν σκευαζόντων εἴωθε πλανᾷν. τό τε γὰρ 
-Z/14/257/4	καλούμενον ψευδοκιννάμωμον ὅμοιόν ἐστι τῷ ἀληθεῖ, κατὰ 
-Z/14/257/5	δὲ τὴν γεῦσιν καὶ τὴν ὀσμὴν πολὺ ἐνδεέστερον εὑρίσκεται. 
-Z/14/257/6	τὸ δὲ ξυλοκιννάμωμον διαφέρει τῷ ξυλῶδες εἶναι καὶ ἰσχυ-
-Z/14/257/7	ρὰς τὰς ῥάβδους ἔχειν καὶ οὐχ ὁμοίαν τὴν εὐωδίαν. καὶ 
-Z/14/257/8	αὐτοῦ δὲ τοῦ ἀληθινοῦ κινναμώμου τὸ μὲν ἐν τοῖς ὄρεσι 
-Z/14/257/9	γιγνόμενον, οὐκ ὂν λεπτὸν οὐδὲ μακρὸν, μᾶλλον κιῤῥόν ἐστι 
-Z/14/257/10	τῇ χροιᾷ. ἕτερον δέ ἐστι ποσῶς μέλαν καὶ ὥσπερ ἶνας 
-Z/14/257/11	ἔχον τινάς. ἄλλο τι λευκὸν εὑρίσκεται ἀκριβῶς καὶ οὐ σκλη-
-Z/14/257/12	ρὸν, ῥᾳδίως θραυόμενον καὶ μικρὰν ἔχον τὴν ῥίζαν. ἔστι 
-Z/14/257/13	δέ τι καὶ τῇ κιῤῥᾷ κασσίᾳ ὅμοιον ἕτερον λεῖον καὶ εὐῶδες. 
-Z/14/257/14	τὸ δὲ πάντων κάλλιστόν ἐστι τὸ μόσυλλον ὑπὸ τῶν ἐγχωρίων 
-Z/14/257/15	οὕτω καλούμενον, τεφρῶδες τῇ χροιᾷ καὶ λεπτὰ ἔχον τὰ 
-Z/14/257/16	ῥαβδία καὶ τοὺς ὄζους πυκνοὺς, σφόδρα εὐῶδες, ὃ καὶ 
-Z/14/257/17	μάλιστα προκρίνειν ἡμεῖς εἰώθαμεν. ἔστι γὰρ πάνυ τῇ ὀδμῇ 
-Z/14/257/18	κάλλιστόν τε καὶ ἥδιστον καὶ τῇ γεύσει δριμὺ ἡμῖν κατα- 
-Z/14/258/1	φαίνεται καὶ δηκτικὸν λίαν, καὶ διαμασώμενον πηγανίζειν 
-Z/14/258/2	δοκεῖ. ἔστι δὲ καὶ λεῖον καὶ ῥᾳδίως θραύεσθαι δυνάμενον. 
-Z/14/258/3	ἡ δὲ κασσία καὶ αὐτὴ, εἰ μή τις ἔμπειρος εἴη περὶ τὴν κρί-
-Z/14/258/4	σιν, πλανᾷν εἴωθε πολλάκις. ἔστι γάρ τις καὶ ψευδοκασσία 
-Z/14/258/5	πάνυ μὲν ἐμφερὴς τῇ ἀληθινῇ κασσίᾳ, οὐκ ἔχουσα δὲ τὴν 
-Z/14/258/6	τοιαύτην εὐωδίαν, ἀλλὰ καὶ ὁ φλοιὸς αὐτῆς συνηνωμένος τῇ 
-Z/14/258/7	ἐντεριώνῃ εὑρίσκεται, ὡς ἥ γε καλλίστη κιῤῥά τε καὶ ῥοδί-
-Z/14/258/8	ζουσα, ὥσπερ καὶ ἡδὺ τὸ γευστικὸν ἐν τῇ γεύσει ποιουμένη, 
-Z/14/258/9	συριγγώδης τε οὖσα καὶ οἰνίζουσα καὶ πολὺ τὸ ἀρωματίζον 
-Z/14/258/10	ἔχουσα, ζιγγίβερ ὑπὸ τῶν ἐπιχωρίων οὕτω λεγομένη. 
[0057]  [079]  []  []

-Z/14/258/11	εἰκὸς δέ σε καὶ τὴν περὶ τὸ μακρὸν πέπερι γιγνομένην πα-
-Z/14/258/12	νουργίαν μὴ ἀγνοεῖν. ἀναπλάσσοντες γάρ τινες αὐτὸ ἴσον 
-Z/14/258/13	τῷ ἀληθεῖ ἔχον τὸ μῆκος καὶ ἐνθέντες αὐτῷ τοῦ πυρέθρου 
-Z/14/258/14	ἢ τοῦ νάπυος ὀλίγον, οὕτω τῷ δηκτικῷ τῆς γεύσεως πλα-
-Z/14/258/15	νῶσι τὸν γευόμενον. ἀλλ' ὁ περὶ ταῦτα τριβακὸς ὢν καὶ τὸ 
-Z/14/258/16	ἥδιόν τε καὶ δριμὺ ἐν τῇ γεύσει μὴ ἀγνοῶν, ἔτι τε καὶ τὴν 
-Z/14/258/17	ἀπὸ τοῦ δένδρου ῥίζαν προσκειμένην αὐτῷ περιεργότερον 
-Z/14/258/18	βλέπων, εὑρίσκει τὸ ἀληθινὸν πέπερι καὶ πλανᾶσθαι ὑπ'  
-Z/14/259/1	αὐτῶν οὐ δύναται. πολλῆς δ' οὔσης καὶ ἐν τοῖς ἄλλοις ἅπα-
-Z/14/259/2	σιν ἀκριβείας, ὥσπερ καὶ ἐν τούτοις ἱστόρησά σοι, ἐγὼ μὲν 
-Z/14/259/3	καὶ ταῦτα πρὸς τὴν τοῦ λόγου ὑπόμνησιν ἀρκεῖν νομίζω, 
-Z/14/259/4	ἵνα μὴ μακρὸν τὸ βιβλίον ἡμῖν γένηται. συμβουλεύω δὲ, 
-Z/14/259/5	ἕκαστον αὐτῶν ἀκριβῶς δοκιμάζοντα οὕτω σκευάζειν τὸ φάρ-
-Z/14/259/6	μακον. ἡ γὰρ ἑνός τινος κακία πολλάκις διαφθείρει τὰ 
-Z/14/259/7	πάντα. ἔστι δὲ αὐτοῦ καὶ γραφὴ, ἵνα μηδὲ τοῦτο ἀγνοῇς, 
-Z/14/259/8	διαφόρως ὑπὸ τῶν ἰατρῶν γινομένη. ὁ μὲν γὰρ Ἀνδρόμα-
-Z/14/259/9	χος, ἀκριβὴς περὶ τὰ φάρμακα γενόμενος, οὗπερ καὶ πρό-
-Z/14/259/10	τερον ἐμνημόνευσα, κατὰ ταύτην τὴν γραφὴν ἐσκεύαζε τὸ 
-Z/14/259/11	φάρμακον. ♃ Ἀρτίσκων θηριακῶν 𐅻 κδʹ. ἀρτίσκων σκιλ-
-Z/14/259/12	λητικῶν 𐅻 μηʹ. πεπέρεως μακροῦ 𐅻 κδʹ. ὀποῦ μήκωνος 
-Z/14/259/13	𐅻 κδʹ. ἡδυχρόου μάγματος 𐅻 κδʹ. ῥόδων ξηρῶν 𐅻 ιβʹ. 
-Z/14/259/14	ἴρεως Ἰλλυρικῆς, γλυκυῤῥίζης, βουνιάδος ἀγρίας σπέρματος, 
-Z/14/259/15	σκορδίου, ὀποβαλσάμου, κινναμώμου, ἀγαρικοῦ ἀνὰ 𐅻 ιβʹ. 
-Z/14/259/16	σμύρνης, κόστου, κρόκου, κασσίας, νάρδου, σχοίνου ἄνθους, 
-Z/14/259/17	λιβάνου, πεπέρεως λευκοῦ καὶ μέλανος, δικτάμνου, πρα-
-Z/14/259/18	σίου, ῥήου, στοιχάδος, πετροσελίνου Μακεδονικοῦ, καλα- 
-Z/14/260/1	μίνθης, τερμινθίνης, ζιγγιβέρεως, πενταφύλλου ῥίζης, ἀνὰ 
-Z/14/260/2	𐅻 στʹ. πολίου 𐅻 δʹ. χαμαιπίτυος 𐅻 δʹ. στύρακος 𐅻 δʹ. 
-Z/14/260/3	ἀμώμου βότρυος, μήου, νάρδου Κελτικῆς, Λημνίας σφραγῖ-
-Z/14/260/4	δος, φοῦ Ποντικοῦ, χαμαίδρυος Κρητικῆς, φύλλων μαλα-
-Z/14/260/5	βάθρου, χαλκίτεως ὀπτῆς, γεντιανῆς, ἀνίσου, ὑποκιστίδος 
-Z/14/260/6	χυλοῦ, βαλσάμου καρποῦ, κόμμεως, μαράθρου σπέρματος, 
-Z/14/260/7	καρδαμώμου, σεσέλεως, ἀκακίας, θλάσπεως, ὑπερικοῦ, σα-
-Z/14/260/8	γαπηνοῦ, ἄμμεως, ἀνὰ 𐅻 δʹ. καστορίου, ἀριστολοχίας λε-
-Z/14/260/9	πτῆς, δαύκου σπέρματος, ἀσφάλτου Ἰουδαϊκῆς, ὀποπάνακος, 
-Z/14/260/10	κενταυρίου λεπτοῦ, χαλβάνου, ἀνὰ 𐅻 βʹ. μέλιτος λίτρας ιʹ. 
-Z/14/260/11	οἴνου Φαλερίνου τὸ ἀρκοῦν. Ξενοκράτης δὲ καὶ αὐτὸς σπου-
-Z/14/260/12	δὴν οὐκ ὀλίγην περὶ τὰ τοιαῦτα ποιησάμενος ὁμοίως μὲν 
-Z/14/260/13	τὰ ἄλλα τῷ Ἀνδρομάχῳ ἐσκεύαζε τὴν ἀντίδοτον, μόνον δὲ 
-Z/14/260/14	ἀντὶ τῶν 𐅻 δʹ. τοῦ σαγαπηνοῦ αὐτὸς 𐅻 βʹ. ἔμισγε τῷ 
-Z/14/260/15	φαρμάκῳ. ὁ δὲ Δαμοκράτης, ἄριστος ἰατρὸς καὶ αὐτὸς 
-Z/14/260/16	γενόμενος καὶ ὅλον βιβλίον φιλοτίμως συντάξας καὶ αὐτὸς 
-Z/14/260/17	ἔπεσι περὶ τῆς τῶν ἀντιδότων σκευασίας, πάντα μὲν τὰ 
-Z/14/260/18	μίγματα τούτοις ὁμοίως μίγνυσι ἐν τῇ σκευασίᾳ τοῦ φαρ- 
-Z/14/261/1	μάκου, διαφωνεῖ δὲ αὐτοῖς ἐν τοῖς τῶν μεμιγμένων μέτροις. 
-Z/14/261/2	τινὰ γὰρ ὧν ἐκεῖνοι πέμπουσι τῷ φαρμάκῳ, ἀνὰ 𐅻 δʹ. 
-Z/14/261/3	ἔχοντα, οὗτος ἀνὰ 𐅻 βʹ. μίγνυσι τῷ φαρμάκῳ, καὶ πάλιν 
-Z/14/261/4	τῶν ἀνὰ 𐅻 βʹ. τὴν συσταθμίαν ἐχόντων, αὐτὸς ταῦθ' ἵστη-
-Z/14/261/5	σιν ἀνὰ 𐅻 αʹ. ἔχοντα. Μάγνος δὲ, ὁ καθ' ἡμᾶς ἀρχία-
-Z/14/261/6	τρος γενόμενος, τὰ ἄλλα πάντα ὁμοίως τοῖς ἀνδράσι τούτοις 
-Z/14/261/7	ἐν τῇ σκευασίᾳ φυλάττων, ἐν τῷ κινναμώμῳ μόνον αὐτοῖς 
-Z/14/261/8	διαφωνεῖ. τὸ γὰρ διπλοῦν τῆς περὶ τούτων συσταθμίας 
-Z/14/261/9	μίγνυσιν αὐτὸς τῷ φαρμάκῳ, οὕτως δὲ καὶ περὶ τῆς χαλ-
-Z/14/261/10	κίτεως, οὕτως δὲ καὶ περὶ τοῦ σαγαπηνοῦ τῷ Ἀνδρομάχῳ 
-Z/14/261/11	διαφωνεῖ. τὰς γὰρ 𐅻 βʹ. ὁμοίως τῷ Ξενοκράτει μίγνυσιν εἰς τὸ 
-Z/14/261/12	φάρμακον, τοῦ Ἀνδρομάχου 𐅻 δʹ. βάλλοντος· κατὰ δὲ τὸ σα-
-Z/14/261/13	γαπηνὸν καὶ τῷ Δαμοκράτει. μίαν μὲν γὰρ δραχμὴν ὁ 
-Z/14/261/14	Δαμοκράτης μίγνυσι τῷ φαρμάκῳ, ὁ δὲ Μάγνος βʹ. προστί-
-Z/14/261/15	θησι δὲ καὶ τῷ μιγνυμένῳ οἴνῳ ὁ Μάγνος τὸ μέτρον. δύο 
-Z/14/261/16	γὰρ ξέστας τοῦ βαλλομένου εἶναι βούλεται, τῶν ἄλλων, ὡς 
-Z/14/261/17	εἰκὸς πρὸς τὴν χρείαν, ὁπόσῳ μέτρῳ τοῦ οἴνου χρω-
-Z/14/261/18	μένων. Δημήτριος δὲ, καὶ αὐτὸς καθ' ἡμᾶς ἀρχίατρος γε-
-Z/14/261/19	νόμενος, τῷ μὲν Ἀνδρομάχῳ ὁμοίως κατὰ πάντα τὰ ἄλλα  
-Z/14/262/1	συμφώνως σκευάζει τὸ φάρμακον, μόνῃ δὲ τῇ τῶν σκιλλη-
-Z/14/262/2	τικῶν ἀρτίσκων συσταθμίᾳ τῷ Ἀνδρομάχῳ διαφωνεῖ καὶ 
-Z/14/262/3	τοῖς ἄλλοις πᾶσιν. ἐκείνων γὰρ μηʹ. δραχμὰς βαλλόντων 
-Z/14/262/4	μέτρον, οὗτος μόνος μστʹ. δραχμὰς μόνας μίγνυσι τῇ ἀντι-
-Z/14/262/5	δότῳ. τοσαύτης γὰρ οὔσης τῆς περὶ τὰς γραφὰς διαφορᾶς, 
-Z/14/262/6	ἡμεῖς τῇ Ἀνδρομάχου ὡς ἀρίστῃ χρώμεθα, καὶ εἴς γε τὰς 
-Z/14/262/7	βασιλικὰς χρείας οὕτως σκευάζομεν. γίνεται δὲ αὐτῆς ἡ 
-Z/14/262/8	σκευασία τὸν τρόπον τοῦτον. καὶ γὰρ εὔχρηστον νομίζω 
-Z/14/262/9	σκευάσαι σοι αὐτὴν τῷ λόγῳ, ἵνα ἤν ποτε καὶ μὴ παρόν-
-Z/14/262/10	τος ἰατροῦ εὐφυὴς ὢν σκευάζειν αὐτὴν ἐθέλῃς, ὡς ἄριστα 
-Z/14/262/11	σκευάσῃς, διδάσκαλον τῆς σκευασίας ἔχων αὐτὸν τὸν λόγον. 
-Z/14/262/12	  [Πῶς κατασκευαστέοι οἵ τε ἡδύχροοι, σκιλ-
-Z/14/262/13	λητικοὶ καὶ θηριακοὶ ἀρτίσκοι.] Πρὸ δὲ τῆς κατασκευῆς 
-Z/14/262/14	αὐτῆς ἐχρῆν σε καὶ τὴν ἐμβαλλομένου εἰς αὐτὴν ἡδυχρόου 
-Z/14/262/15	μάγματος γραφὴν εἰδέναι. ἔστιν οὖν ἡ ἀρίστη σκευασία ἡ 
-Z/14/262/16	παρὰ Μάγνῳ, ἧς ἡ γραφὴ αὕτη. ♃ Ἀσπαλάθου ῥίζης 
-Z/14/262/17	φλοιοῦ, καλάμου ἀρωματικοῦ, σχοίνου ἄνθους, φοῦ, κόστου, 
-Z/14/262/18	ἀσάρου, ξυλοβαλσάμου, ἀσίας, ἀνὰ 𐅻 στʹ. κινναμώμου  
-Z/14/263/1	𐅻 κδʹ. ἀμώμου 𐅻 κδʹ. ἀμαράκου 𐅻 κʹ. νάρδου Ἰνδικῆς 
-Z/14/263/2	𐅻 ιστʹ. μαλαβάθρου φύλλων 𐅻 στʹ. σμύρνης 𐅻 κδʹ. μα-
-Z/14/263/3	στίχης 𐅻 στʹ. κρόκου 𐅻 ιθʹ. οἴνῳ Φαλερίνῳ ἀναλάμβανε, 
-Z/14/263/4	ὀποβαλσάμου παραπτόμενος ἐν τῷ ἀναλαμβάνειν, καὶ ψῦχε 
-Z/14/263/5	τοὺς τροχίσκους ἐν σκιᾷ. ὁμοίως δὲ καὶ τοὺς σκιλλητικοὺς 
-Z/14/263/6	ἀρτίσκους σκεύαζε οὕτως. λαβόντα χρὴ σκίλλαν νεαρὰν 
-Z/14/263/7	καὶ μὴ πάνυ μεγάλην περιπλάττειν, μὴ ὥς τινες πηλῷ, ῥυ-
-Z/14/263/8	παρὸν γὰρ εἶναί μοι δοκεῖ, ἀλλὰ ζύμῃ, ὀπτᾶται γὰρ 
-Z/14/263/9	ῥᾳδίως τῇ ἁπαλωτάτῃ, ἵνα ἐν τῇ ὀπτήσει καὶ αὐτοῦ τι 
-Z/14/263/10	μεταλαμβάνῃ. εἶτα ὅταν ὀπτήσῃ καλῶς ἐν τῷ καλουμένῳ 
-Z/14/263/11	ἰπνῷ, ἢ ἐν τοῖς κλιβάνοις, ἢ κακάβοις ἐν οἷς οἱ ἄρτοι ὀ-
-Z/14/263/12	πτῶνται, ἵνα ὁμαλὴ ἡ ὄπτησις γένηται, λαβόντα χρὴ τὰ ἔν-
-Z/14/263/13	δον αὐτῆς μέρη τὰ ἁπαλώτατα λειοῦν ἐπιμελῶς, μίσγοντα 
-Z/14/263/14	καὶ ὀροβίνου ἀλεύρου καλλίστου καὶ νεαρωτάτου τὸ ἴσον, 
-Z/14/263/15	ὡς ὁ Δαμοκράτης βούλεται. ὁ γὰρ Μάγνος τὸ ἥμισυ πέμ-
-Z/14/263/16	πων ὀλίγον μοι μιγνύναι δοκεῖ, καὶ ὁ Ἀνδρόμαχος δὲ δύο 
-Z/14/263/17	πέμπων μέρη πολύ μοι πέμπειν δοκεῖ. τὸ δ' ἴσον ἐστὶ 
-Z/14/263/18	τὸ πρὸς ἀνάπλασιν σύμμετρον, καὶ οὕτως συλλειώσαντα αὐτῷ  
-Z/14/264/1	τοσοῦτον, ἀναπλάττειν τροχίσκους συμμέτρους χρὴ, καὶ ἐν 
-Z/14/264/2	σκιᾷ ἀποτιθεμένους εἰς τὴν χρῆσιν φυλάττειν, εἶτα μετὰ 
-Z/14/264/3	ταῦτα χρὴ λαμβάνειν αὐτὰς τὰς ἐχίδνας πρὸς τὸ πλῆθος 
-Z/14/264/4	τῆς ὅλης σκευασίας αὐτάρκεις, μὴ ἐν παντὶ καιρῷ τεθηρα-
-Z/14/264/5	μένας, ἀλλὰ μάλιστα περὶ τὴν ἀρχὴν τοῦ ἔαρος, ὅταν τῆς 
-Z/14/264/6	μὲν φωλείας παύονται, προέρχονται δὲ λοιπὸν ἔξω εἰς τοὺς 
-Z/14/264/7	ὑπαίθρους τόπους, καὶ οὐκέθ' οὕτως ἔχουσι πονηρὸν τὸν 
-Z/14/264/8	ἰόν. ἔνδον γὰρ φωλεύοντα, καὶ κατὰ μηδὲν διαφορούμενα 
-Z/14/264/9	πονηροτέραν συνάγει καὶ τὴν ἐν αὐτοῖς φθοροποιὸν δύναμιν, 
-Z/14/264/10	ὅτε καὶ τὸ καλούμενον γῆρας συλλέγειν εἴωθε πᾶς ὄφις, 
