
[0057]  [101]  []  []

-Z/18b/629/t1	{ΤΟ ΙΠΠΟΚΡΑΤΟΥΣ ΚΑΤ' ΙΗΤΡΕΙΟΝ 
-Z/18b/765/2	τά τε εἰρημένα χωρία συμπράττει τῷ νόμῳ τῆς ἐπιδέσεως. 
-Z/18b/765/3	ὡσαύτως δὲ καὶ τῆς κνήμης εὐαπόῤῥυτον ἐχούσης τὴν ἐπί-
-Z/18b/765/4	δεσιν τῆς γαστροκνημίας ἡ ἄνω περιβολὴ χρήσιμος, κατ' 
-Z/18b/765/5	ἐκείνας δηλονότι τὰς ἐπιδέσεις, αἷς ἀναγκαῖόν ἐστι τὸ κυρ-
-Z/18b/765/6	τὸν τῆς γαστροκνημίας περιλαμβάνειν, ἐπ' αὐτῷ παρὰ τὰ 
-Z/18b/765/7	σφυρὰ χωρίῳ τὸ μόνιμον τῆς ἐπιδέσεως· ἐξ αὐτῶν ἔχει 
-Z/18b/765/8	μεταξὺ δυοῖν ἐξοχῶν κείμενα, κατὰ μὲν τῶν κυρτῶν περά-
-Z/18b/765/9	των περόνης τε καὶ κνήμης, ἃ κακῶς ἔνιοι καλοῦσιν ἀστρα-
-Z/18b/765/10	γάλους· ἄνω δὲ τῆς γαστροκνημίας αὐτῆς. 
-Z/18b/765/11	          — — — 
-Z/18b/765/12	            ιζʹ. 
-Z/18b/765/13	Οἷσι δὲ μή ἐστι οἷον ἡ κεφαλὴ, τουτέων ἐν τῷ ὁμα-
-Z/18b/765/14	  λωτάτῳ τὰς καταλήψιας ποιέεσθαι καὶ ἥκιστα λοξῷ τῷ 
-Z/18b/765/15	  ἐπιδέσμῳ χρέεσθαι, ὡς τὸ μονιμώτατον ὕστατον περιβλη-
-Z/18b/765/16	  θέντα, πλανωδέστατα κατέχει. 
-Z/18b/765/17	          — — —  
-Z/18b/766/1	    Οἷς μορίοις οὐκ ἔστιν οὔτε παρακείμενόν τι τοιοῦτον 
-Z/18b/766/2	μόριον, οἷον ἐπὶ κνήμης εἶπεν, οὔτε ἀντικείμενον τοιοῦτον 
-Z/18b/766/3	ἕτερον μόριον, ὡς ἐπ' ὤμου καὶ βουβῶνος, ἐπὶ τούτων 
-Z/18b/766/4	ὁποίαν χρὴ ποιεῖσθαι τὴν ἐπίδεσιν διδάσκει, μνημονεύων 
-Z/18b/766/5	ὀνομαστὶ τῆς κεφαλῆς καὶ κελεύων ἐπ' αὐτῶν ἐν τῷ ὁμα-
-Z/18b/766/6	λωτάτῳ τὰς καταλήψεις ποιεῖσθαι τῆς ὅλης ἐπιδέσεως, ὅ 
-Z/18b/766/7	ἐστι τὴν τελευτὴν αὐτῆς ἀπαρέγκλιτον φυλάττειν, εὐθύτατα 
-Z/18b/766/8	περατουμένην, ἤτοι γε ἐπὶ τὸ μέτωπον ἢ τὸ μέσον ὅλον 
-Z/18b/766/9	τῆς κεφαλῆς, ἔνθα τὸ καλούμενον βρέγμα· τῆς μὲν γὰρ ἐπ' 
-Z/18b/766/10	ἀνθερεῶνα καταγομένης ἐπιδέσεως ἡ τελευτὴ προσηκόντως 
-Z/18b/766/11	ἂν ἐπὶ τὸ μέσον ἀνάγοιτο τῆς κεφαλῆς, ἀπαρεγκλίτως ἀνα-
-Z/18b/766/12	τεινομένη. τῆς δὲ κυκλοτερῶς περιβαλλομένης ἐπὶ τὸ μέτω-
-Z/18b/766/13	πον ὁμοίως καὶ αὕτη μηδὲν ἐγκεκλιμένη. περιαγομένης γὰρ 
-Z/18b/766/14	οὕτως ἑλχθήσεται καὶ τοῖς ὀπίσω μέρεσιν ἐπὶ τὸ καλούμε-
-Z/18b/766/15	νον ἰνίον, ὃ μεταξὺ τοῦ τε τραχήλου καὶ τῆς ὀπίσω κυρτό-
-Z/18b/766/16	τητος τῆς ἐπὶ τοῦ κρανίου. διὰ τοῦτό τε εἶπε τὴν ἐσχά-
-Z/18b/766/17	την περιβολὴν τῶν ἐπιδέσεων ἥκιστα λοξὴν εἶναι προσήκειν, 
-Z/18b/766/18	ὅτι τὰς πρὸ αὐτῆς ἤδη πολλάκις ἐξ ἀνάγκης γιγνομένας λο- 
-Z/18b/767/1	ξὰς, ἕνεκα τοῦ περιλαμβάνειν τὸ πεπονθὸς, ἄλλοτε κατ' 
-Z/18b/767/2	ἄλλο μέρος αὐτοῦ ὑπάρχον· ἀλλὰ τάς τε διὰ τὸ πάθος λο-
-Z/18b/767/3	ξὰς γεγονυίας περιβολὰς, ᾗ ὑστάτη κατέχῃ μηδαμόθεν λο-
-Z/18b/767/4	ξουμένη. δῆλον οὖν ὅτι τοιαύτῃ ἀσφαλείᾳ κἀκεῖνα συνδια-
-Z/18b/767/5	μένουσιν ἀμετακίνητα. ὡς οὖν ἐπὶ τῆς κεφαλῆς κἀπὶ τῆς 
-Z/18b/767/6	ἄνω τοῦ γόνατος ἡ κάτω γιγνομένη ἐσχάτη περιβολὴ, ἀκρι-
-Z/18b/767/7	βῶς φυλάττεσθαι χρὴ τὸ ἀπαρέγκλιτον, ἐπὶ μέντοι τῶν 
-Z/18b/767/8	κατὰ βουβῶνα καὶ ὦμον ἐπιδέσεων, ἐν οἷς ἀναγκαζόμεθα 
-Z/18b/767/9	καὶ τῶν ἀντικειμένων μορίων συγκαταλαμβάνειν, ἐσχάται 
-Z/18b/767/10	περιβολαὶ κυκλοτερεῖς ἀπαρεγκλίτως γίνεσθαι δέονται. κατὰ 
-Z/18b/767/11	τοὺς κενεῶνας μὲν ἀμφοτέρους, ἔνθεν τὸν βουβῶνα δεσμεῖν 
-Z/18b/767/12	προαιρούμεθα, κατὰ δὲ τὸν ἕτερον ἐφ' ᾧ τὸν ὦμον· ἀνά-
-Z/18b/767/13	λογον δὲ τούτοις ἐπὶ τῆς κατὰ τὸν ἀγκῶνα διαρθρώσεως. 
-Z/18b/767/14	          — — — 
-Z/18b/767/15	            ιηʹ. 
-Z/18b/767/16	Ὁκόσοισι δὲ μὴ εὐκαταλήπτως τοῖς ὀθονίοισι μηδὲ  
-Z/18b/768/1	  εὐαναλήπτως ἔχει, ῥάμμασι τὰς ἀναλήψιας ποιέεσθαι ἐκ 
-Z/18b/768/2	  καταβολῆς ἢ ξυῤῥαφῆς. 
-Z/18b/768/3	          — — — 
-Z/18b/768/4	    Ὃ μὲν λέγει τοιόνδε ἐστίν. ἐν οἷς μέρεσιν ἢ 
-Z/18b/768/5	πάθεσιν δύσκολόν ἐστιν αὐτοῖς τοῖς ὀθονίοις, τήν τε κατά-
-Z/18b/768/6	ληψιν τοῦ πέρατος τῆς ἐπιδέσεως καὶ τὴν ἀνάληψιν ποιή-
-Z/18b/768/7	σασθαι, ἐν τούτοις χρὴ ῥάμμασιν ἤτοι περιβαλλομένοις τῇ 
-Z/18b/768/8	κατὰ κύκλον ἢ συῤῥάπτουσι τὸ τῆς ἐπιδέσεως πέρας τὰς 
-Z/18b/768/9	καταλήψιας ποιεῖσθαι. τὸ δὲ ἄτοπον εἴη, μέρος τοῦ σώ-
-Z/18b/768/10	ματος ὀθονίοις μὲν δυσχερῆ τὴν κατάληψιν καὶ ἀνάληψιν 
-Z/18b/768/11	ἔχειν, ἑτοιμοτέραν δὲ τὴν διὰ τῶν ῥαμμάτων, οὔτε ἐγὼ λέ-
-Z/18b/768/12	γειν ἔχω τοῖς ἐξηγηταῖς, εἰ μέντοι τινὰ μὴ φέροντα τὴν 
-Z/18b/768/13	τοιαύτην ἐπίδεσιν. οἶδα δέ τινα ἐφ' ὧν, εἰ καὶ βραχὺ κι-
-Z/18b/768/14	νηθῇ τὸ πεπονθὸς μόριον, ὀδύνη μεγίστη γίνεται, καθάπερ 
-Z/18b/768/15	εἰ πρὸ πολλοῦ τις ἐκ καταπτώσεως οὕτως ἔπαθε τὰ κατὰ 
-Z/18b/768/16	τὴν ῥάχιν, ὡς μηδὲ βραχὺ τὸν αὐτὸν ἐκείνης δύνασθαι φέ-
-Z/18b/768/17	ρειν τὸ μέγεθος τῆς ὀδύνης. ἠναγκάσθησαν μὲν οὖν αὐτὸν 
-Z/18b/768/18	τὸν μὲν χιτωνίσκον ἀφελεῖν οὐκ ἀποδύσαντες, ἀλλὰ διαῤ- 
-Z/18b/769/1	ῥήξαντες μὲν πρῶτον ἁπάσας τὰς ῥαφάς. μετὰ δὲ ταῦτα 
-Z/18b/769/2	παμπόλλους τοῖς διακρατοῦσιν ὅλον τὸ σῶμα χρησάμενοι 
-Z/18b/769/3	προσμετεωρίσαι τὸν ἄνθρωπον, ἰσοῤῥόπως ἐπὶ καθέδρας 
-Z/18b/769/4	πλατείας ἐκτεταμένον ῥάκος ἐπιβεβλημένον ἔχον ἐρίου πλά-
-Z/18b/769/5	κα· ταῦτα μὲν οὖν ἐκελεύσαμεν, ἐπειδὰν ὁ κάμνων ὑπὸ 
-Z/18b/769/6	τῶν διακρατούντων ὑπὸ τῆς στρωμνῆς ὑψώθη διὰ ταχέων 
-Z/18b/769/7	ἐπιβαλεῖν μὲν ἐκείνῃ κατὰ τὸ πλάτος, ὑποβαλεῖν δὲ τῇ ῥά-
-Z/18b/769/8	χει τοῦ μετεωρισθέντος. αὐτοὶ δὲ ἑτέραν ἐρίου πλάκα δια-
-Z/18b/769/9	βεβρεγμένην ἔχοντες ἐλαίῳ θερμῷ μετὰ τὴν ἀφαίρεσιν τοῦ 
-Z/18b/769/10	χιτωνίσκου, ταχέως περιβαλόντες τῇ ῥάχει, κατεκλίναμεν 
-Z/18b/769/11	ἐπὶ τῆς ὑποκειμένης πλακὸς ἅμα τῷ ῥάκει, καὶ οὕτως πέρατα 
-Z/18b/769/12	μὲν ἀνηγάγομεν ἐπὶ τὰ πρῶτα τοῦ σώματος τὰ πέρατα τῆς 
-Z/18b/769/13	διαβρόχου πλακὸς ἓν ἑκατέρωθεν, εἶτα ἐπ' αὐτὰ τὰ τῆς 
-Z/18b/769/14	ξηρᾶς καὶ μετ' ἐκεῖνα τὰ τοῦ ῥάκους καὶ πρὸς ἄλληλα διὰ 
-Z/18b/769/15	ῥαφῶν ἡνώσαμεν· εἰ μὴ διὰ ῥαφῶν ἢ διὰ ῥαμμάτων μόνον 
-Z/18b/769/16	βουληθείς τι ἐργάσασθαι τὴν ἀσφάλειαν τῆς ἐπιδέσεως, ἐπέ-
-Z/18b/769/17	τεινεν αὐτὰ πρῶτα μὲν πάντων κάτωθεν τῷ μὲν ῥάκει 
-Z/18b/769/18	οὕτως· οὐ γὰρ ἂν μετὰ τὴν ἐπίδεσιν. ὡσαύτως δὲ καὶ τῇ  
-Z/18b/770/1	τῶν κατ' ἰσχίον μερῶν εὐπραξίᾳ μὲν, ὁπότε καὶ τὸ κατὰ 
-Z/18b/770/2	τὸν μηρὸν ἐπ' ἄλλου καὶ κατὰ βραχίονά γέ ποτε καὶ τοῦ 
-Z/18b/770/3	τραχήλου τὴν ὀπίσω χώραν. 
-Z/18b/770/4	          — — — 
-Z/18b/770/5	            ιθʹ. 
-Z/18b/770/6	Ἐπιδέσματα καθαρὰ, κοῦφα, μαλθακὰ, λεπτά. 
-Z/18b/770/7	          — — — 
-Z/18b/770/8	    Περὶ τῆς ὕλης τῶν ἐπιδέσμων ἐνταῦθα διδάσκει, κα-
-Z/18b/770/9	θαροῖς καὶ κούφοις καὶ μαλθακοῖς καὶ λεπτοῖς χρῆσθαι κε-
-Z/18b/770/10	λεύων· καθαροῖς μὲν, ὅπως μήτε δήξεις ἐκ τοῦ ῥύπου γί-
-Z/18b/770/11	γνοιντο μήτε διικνεῖσθαι πρὸς τὸν χρῶτα τῶν ἐπιβρεχομέ-
-Z/18b/770/12	νων ὑγρῶν δύναμιν εἴργοιτο· κούφοις δὲ, ὡς μὴ βαρύνοιτο 
-Z/18b/770/13	ὁ πεπονθὼς τόπος· λεπτοῖς δὲ διὰ τό τε καὶ κουφότερα καὶ 
-Z/18b/770/14	μαλακώτερα ταῦτα, διὰ τό τε καὶ τὰς ἐπιβροχὰς ἑτοίμως 
-Z/18b/770/15	διαπέμπειν· μαλθακοῖς δὲ, ὅπως μὴ θλίβοιντο. πρόδηλον 
-Z/18b/770/16	δὲ ὅτι τούτων ἕκαστον εἰς τὸ μὴ φλεγμῆναι τὸ πεπονθὸς 
-Z/18b/770/17	μόριον συντελεῖ. 
-Z/18b/770/18	          — — —  
-Z/18b/771/1	            κʹ. 
-Z/18b/771/2	Ἑλίσσειν ἀμφοτέροισιν ἅμα καὶ ἑκατέροισιν χωρὶς ἀσκέειν. 
-Z/18b/771/3	          — — — 
-Z/18b/771/4	    Ὅπερ ἔμπροσθεν εἰρήκει καθόλου περὶ τῶν εἰς χει-
-Z/18b/771/5	ρουργίαν πάντων ἔργων, ἀσκεῖν ἀξιῶν αὐτὰ δρᾷν ἑκατέροις 
-Z/18b/771/6	τε καὶ ἀμφοτέροισιν ἅμα, τοῦτο νῦν ἐπὶ μόνου τοῦ ἑλίσσειν 
-Z/18b/771/7	ἔγραψε. πρὸς γὰρ τὸ τάχος τῆς ἐνεργείας, ὅπερ ἐστὶ μέ-
-Z/18b/771/8	γιστον ἐπὶ τῶν ὀδυνωμένων ἡ τοιαύτη τῶν χειρῶν ἄσκησις 
-Z/18b/771/9	ὠφελιμωτέρα. τῶν δύο μὲν οὖν χειρῶν ἑλισσουσῶν ἅμα τὸν 
-Z/18b/771/10	ἐπίδεσμον ἐν ταῖς ἀπὸ δυοῖν ἀρχῶν ἐπιδέσεσι, τῆς δ' ἑτέ-
-Z/18b/771/11	ρας μόνης ἐν ταῖς ἄλλαις, ἀλλὰ καὶ ἐν ταύταις ἑκατέρας ἐν 
-Z/18b/771/12	μέρει διαδεχομένης τὴν ἑτέραν. ἐν μὲν γὰρ ταῖς ἀπὸ δυοῖν 
-Z/18b/771/13	ἀρχῶν ἐπιδέσεσιν ἀμφότεραι καθ' ἕνα καιρὸν ἐνεργοῦσιν 
-Z/18b/771/14	ὁμοίως. διαδεχόμεναι γὰρ ἀλλήλας ἡ μὲν ἑτέρα τὸ κυριώ-
-Z/18b/771/15	τατον μέρος τῆς ἐπιδέσεως ἐκτελεῖ περιελίσσουσα τὸν ἐπί-
-Z/18b/771/16	δεσμον, ἡ δ' ἑτέρα χρήσιμος εἰς τὴν ταύτης ὑπηρεσίαν γί-
-Z/18b/771/17	γνεται. 
-Z/18b/771/18	          — — —  
-Z/18b/772/1	            καʹ. 
-Z/18b/772/2	Τῇ πρεπούσῃ δὲ ἐς τὰ πλάτη καὶ τὰ πάχη τῶν ὀθονίων 
-Z/18b/772/3	  τεκμαιρόμενον χρέεσθαι. 
-Z/18b/772/4	          — — — 
-Z/18b/772/5	    Εἰς τὰ πλάτη καὶ τὰ πάχη τῶν ἐπιδουμένων μορίων 
-Z/18b/772/6	ἀποβλέποντα τὴν προσήκουσαν αὐτοῖς ἐπίδεσιν ἐξευρίσκειν 
-Z/18b/772/7	κελεύει. γιγνομένης δὲ τῆς ἐπιδέσεως ὀρθῶς κατὰ τὰ προει-
-Z/18b/772/8	ρημένα διὰ τῶν ὅθεν ἄρχεσθαι προσήκει καὶ καθ' ὅντινα 
-Z/18b/772/9	τρόπον ἑλίττειν τὰ ὀθόνια κατὰ τὸ πεπονθὸς, ὅσα τε συγ-
-Z/18b/772/10	καταλαμβάνει αὐτὸ μόρια καὶ τὴν τελευτὴν, ἐν ᾧ τίθε-
-Z/18b/772/11	σθαι καὶ πῶς ἐπ' αὐτοῖς χρῆσθαι τοῖς ἅμμασί τε καὶ 
-Z/18b/772/12	ῥάμμασιν ἐδίδαξεν, ἰστέον αὐτὸν οὐδὲν τούτων δηλοῦν. οὔτε 
-Z/18b/772/13	γὰρ ἐκ τοῦ πλάτους οὔτ' ἐκ τοῦ πάχους τῶν ἐπιδουμένων 
-Z/18b/772/14	μερῶν ἐλήφθη τι τῶν εἰρημένων, ἀλλ' ἐκ τοῦ πάθους αὐ-
[0057]  [101]  []  []

-Z/18b/772/15	τοῦ καὶ τοῦ σχήματος τοῦ μορίου, καθ' ὃ τὸ πάθος ἐγί-
-Z/18b/772/16	νετο. νῦν οὖν εὔλογόν ἐστι διδάσκειν αὐτὸν ὁπόσα κατὰ 
-Z/18b/772/17	τὴν ἐπίδεσιν ἀγαθὰ γίγνεται, τὴν ἐπίδειξιν ἡμῶν λαμβανόν-
-Z/18b/772/18	των ἐκ τοῦ πλάτους καὶ τοῦ πάχους τῶν ἐπιδουμένων μο- 
-Z/18b/773/1	ρίων. ἐκ τούτων γὰρ λαμβάνεται καὶ τὸ τῶν ὀθονίων αὐ-
-Z/18b/773/2	τῶν πλάτος τε καὶ μῆκος. οἷον ἐπὶ μὲν μικροῦ παιδίου καὶ 
-Z/18b/773/3	τῷ μήκει βραχέσι καὶ τῷ πλάτει στενοῖς, εὔλογόν ἐστι χρέε-
-Z/18b/773/4	σθαι τοῖς ἐπιδέσμοις, ἐπὶ δὲ μεγάλου νεανίσκου καὶ μακροῖς 
-Z/18b/773/5	καὶ πλατέσιν, ἀνάλογον δὲ κἀπὶ τῶν ἄλλων ὅσα μεταξὺ τοῦ 
-Z/18b/773/6	μεγάλου τε καὶ τοῦ μικροῦ σώματός ἐστιν· εἰ μὲν γὰρ ἀκρι-
-Z/18b/773/7	βῶς ἀμφοτέρων ἐστὶ μέσον καὶ πλάτει καὶ πάχει τὸ ἐπιδού-
-Z/18b/773/8	μενον μέρος καὶ τὰς ὀθόνας μέσας τῷ τε πάχει καὶ τῷ 
-Z/18b/773/9	πλάτει ποιήσομεν ἐκείνων τῶν ὀθονίων, οἷς ἐπὶ τοῦ μεγάλου 
-Z/18b/773/10	καὶ τοῦ σμικροῦ σώματος ἐχρώμεθα· εἰ δὲ ἐγγυτέρω θατέρῳ 
-Z/18b/773/11	τῶν ἄκρων εἴη κατ' ἐκεῖνο, καὶ τὸ ποσὸν αὐτῶν ὑπαλλά-
-Z/18b/773/12	ξομεν αὐξάνοντες ἢ μειοῦντες. 
-Z/18b/773/13	          — — — 
-Z/18b/773/14	            κβʹ. 
-Z/18b/773/15	Ἑλίξιος κεφαλαὶ σκληραὶ, ὁμαλαὶ, εὐκρινέες. 
-Z/18b/773/16	          — — — 
-Z/18b/773/17	    Ἐφεξῆς ἀμφοτέροις ὑπάρχει τοῖς ἐπιδέσμοις πρὶν πε-
-Z/18b/773/18	ριβαλέσθαι τῷ τοῦ κάμνοντος σώματι τῆς ἐξ αὐτῶν ἐπιδέ- 
-Z/18b/774/1	σεως γιγνομένης περὶ τὸν πεπονθότα τόπον, ἀλλὰ αἱ κεφα-
-Z/18b/774/2	λαὶ τῶν ἐπιδέσμων, αἵτινες ἂν ὦσιν, ἀμφοτέρων εἰσὶ κοι-
-Z/18b/774/3	ναί. ἐάν τε γὰρ ἀρχαὶ τῶν ἐπιδέσμων, ἐάν τε πέρατα κε-
-Z/18b/774/4	φαλῆς νοηθῶσιν εἰρῆσθαι νῦν, ἐάν τε ἀμφότερα, καὶ πρὸς 
-Z/18b/774/5	τούτοις ἔτι κατὰ τὸ πλάτος αὐτῶν πέρατα, ταῦτα πάντα 
-Z/18b/774/6	κοινὰ ταῖς ἑλίξεσι τῶν ἐπιδέσμων ἀμφοτέραις ἐστὶν, ἅς τε 
-Z/18b/774/7	αὐτοὶ ἀμφοτέρας καταμίγας ἴσχουσιν, ἅς τε τῷ ἐπιβάλλεσθαι 
-Z/18b/774/8	τῷ σώματι λαμβάνουσιν, ὥστε τοῦτο μὲν, εἰ καὶ διαπεφώ-
-Z/18b/774/9	νηται τοῖς ἐξηγησαμένοις τὸ βιβλίον, οὐ χαλεπὸν εἰπεῖν. 
-Z/18b/774/10	καὶ γὰρ ἐπὶ τῶν ἐληλιγμένων ἀληθῶς ὁ λόγος ἐστὶ καὶ τῶν 
-Z/18b/774/11	περιβεβλημένων τῷ σώματι· καὶ μέντοι καὶ πάντα τῶν πε-
-Z/18b/774/12	ράτων ἀκούομεν, οὐχ ὡς ἔνιοι μὲν ᾠήθησαν τῶν κατὰ μῆ-
-Z/18b/774/13	κος, ἔνιοι δὲ τῶν κατὰ πλάτος, ἀλλὰ τὸ περὶ μόνων μὲν 
-Z/18b/774/14	ἐξηγησάμενοι τῶν ἐκτὸς ἐπιδέσμων εἰρῆσθαι, τὸ δὲ σφιγγό-
-Z/18b/774/15	μενον τῆς ἑλίξεως ὑπ' αὐτοῦ δηλοῦσθαι νομίσαντες. ὅτι μὲν 
-Z/18b/774/16	οὖν ἐσφίγχθαι χρὴ τὸν ἐπίδεσμον ἔξω πρὶν ἐπιβαλέσθαι 
-Z/18b/774/17	τῷ σώματι πρόδηλον. εὐληπτότερον γὰρ οὕτως ἔσται, διότι 
-Z/18b/774/18	καὶ λεπτότερος λεπτοτέρας τε τὰς περιβολὰς ἔχων διὰ  
-Z/18b/775/1	τὸ τεταμένον ἐρηρίχθαι, σφιγχθῆναι γὰρ ἄλλως οὐ δύναται. 
-Z/18b/775/2	τὸ δὲ τὰς κεφαλὰς αὐτοῦ μόνας δεῖν ἐσφίγχθαι περι-
-Z/18b/775/3	φανῶς ψευδὲς, οὐ γὰρ ἐκείνας μόνον, ἀλλ' ὅλον ἐσφίγχθαι 
-Z/18b/775/4	τὸν ἐπίδεσμον. ὡς οὖν ἐν ἀπόροις ἅ γέ μοι δοκεῖ ἤδη 
-Z/18b/775/5	φράσω· κεφαλὰς μὲν ἀκουστέον ἅπαντα τὰ πέρατα τοῦ ἐπι-
-Z/18b/775/6	δέσμου τά τε κατὰ μῆκος ὄντα αὐτῷ καὶ τὰ κατὰ 
-Z/18b/775/7	πλάτος. εἰρῆσθαι δ' οὐ κυρίως αὐτὰ νομιστέον σκληρὰ 
-Z/18b/775/8	καὶ διὰ τοῦτο ἀσάφειαν ἐσχηκέναι τὸν λόγον· ἔμπροσθεν 
-Z/18b/775/9	γὰρ εἰπὼν ἐπιδέσματα καθαρὰ, κοῦφα, μαλθακὰ, πῶς ἂν 
-Z/18b/775/10	νῦν αὖθις ἔλεγεν αὐτὰ σκληρά; κεχρῆσθαι δὲ νομίζω τῇ 
-Z/18b/775/11	τοῦ σκληρᾷ προσηγορίᾳ πρεπόντως τῷ δηλουμένῳ πράγματι. 
-Z/18b/775/12	πολλάκις γὰρ ἐπὶ τοῖς πέρασι τῶν ὀθονίων τέτταρσιν οὖσιν 
-Z/18b/775/13	δύο μὲν κατὰ τὸ μῆκος, ἑτέροις δὲ δύο κατὰ τὸ πλάτος, 
-Z/18b/775/14	ἤτοι μόνος ὁ στήμων εὑρίσκεται, μὴ ξυνακολουθούσης αὐτῷ 
-Z/18b/775/15	πρὸς τὸ πέρας τῆς κρόκης ἢ κρόκη μόνη χωρὶς τοῦ στή-
-Z/18b/775/16	μονος. ἔτι δὲ ἤτοι χαλαρὸν ἔγκειται τῷ πέρατι τῶν εἰ-
-Z/18b/775/17	ρημένων τὸ ἕτερον, ἢ κατὰ μὲν τὶ μέρος ἔγκειται, κατ' ἄλλο  
-Z/18b/776/1	δ' ὑπερεκπίπτει. τῶν οὖν τοιούτων ὀθονίων αἱ κεφαλαὶ τῆς 
-Z/18b/776/2	ἑλίξεως μαλακώτεραι τῶν ἑτέρων εἰσὶ κεφαλῶν, ἐν αἷς ἐξισοῦ-
-Z/18b/776/3	ται μέχρι τοῦ πέρατος ὁ στήμων τῇ κρόκῃ καὶ τῇ τούτων 
-Z/18b/776/4	μαλακότητι, τοὐναντίον οἶμαι κατὰ τῶν προσηκόντων, ἐλη-
-Z/18b/776/5	λιγμέναι μὲν, ὡς ἔφη, σκληραί. βέλτιον δ' ἦν εἰρηκέναι, 
-Z/18b/776/6	μὴ μαλακαὶ, καθάπερ ἔμπροσθεν περὶ τοῦ ἅμματος ἔφη, 
-Z/18b/776/7	μὴ μέγα. τὰ γὰρ ἐν τῷ μέσῳ τῶν ἀμετριῶν, ὡς ἔφην, 
-Z/18b/776/8	εἰώθασι δηλοῦν ἀποφάσκοντες ὁποτερανοῦν ἀμετρίαν. τὸ 
-Z/18b/776/9	μὲν οὖν εἶδος σκληρῶν τῶν κεφαλῶν εἰρημένων οὕτως ἄν 
-Z/18b/776/10	τις ἀκούσειεν πιθανώτατον τῷ γε μηδὲν ἔχων ἄλλο, μηδὲ με-
-Z/18b/776/11	τρίως πιθανὸν εἰπεῖν καὶ τῷ τὴν εἰρημένην ἁμαρτίαν ἐν 
-Z/18b/776/12	τοῖς ὀθονίοις ἐν ἄλλῳ λόγῳ μηδενὶ δεδηλῶσθαι πρὸς αὐτοῦ. 
-Z/18b/776/13	τὸ δὲ ὁμαλὲς δηλοῦσθαι μὲν τὸ κατὰ πᾶν ἀπαραλλάκτως 
-Z/18b/776/14	ὅμοιον. γίγνεται δὲ τοῦτο μήτε σκληρᾶς ἢ πλατυτέρας ἐν 
-Z/18b/776/15	αὐταῖς τινος οὔσης μήτε μαλακωτέρας ἢ στενωτέρας ἢ 
-Z/18b/776/16	λεῖπόν τι καὶ διαβεβρωμένον ἐχούσης. ἔδοξε δὲ καὶ πάνυ 
-Z/18b/776/17	καθάπερ ἐπὶ τῶν παρυφασμάτων. γίγνεται δὲ τὸ εὐκρινὲς 
-Z/18b/776/18	ἐπὶ τῶν τεταμένων ὁμοίως ἐν ἅπασι τοῖς μέρεσι· καὶ κατὰ  
-Z/18b/777/1	τὶ μὲν οὐ πεπυσμένων ἢ πεπαγμένων, κατὰ τὶ δὲ ἐνδεδι-
-Z/18b/777/2	πλωμένων ἢ ἐπειλιγμένων ἀκουσόμεθα. 
-Z/18b/777/3	          — — — 
-Z/18b/777/4	            κγʹ. 
-Z/18b/777/5	Τὰ δὲ δὴ μέλλοντα ἀποπίπτειν, κακίω ταχέως ἀποπεσόντων, 
-Z/18b/777/6	  τὰ δὲ ὡς μήτε πιέζειν μήτε ἀποπίπτειν. 
-Z/18b/777/7	          — — — 
-Z/18b/777/8	    Σολοικὸς μὲν ἡ ἑρμηνεία πάντως ἐστὶν, ὅπως ἄν τις 
-Z/18b/777/9	ἀκούσῃ τῆς λέξεως. τὸ γὰρ ἀποπεσόντων, ἐάν τε κατὰ τὴν 
-Z/18b/777/10	τῶν Ἀττικῶν συνήθειαν εἰρῆσθαι νομίσωμεν, τῶν πτώσει 
-Z/18b/777/11	γενικῇ τῆς μετοχῆς πληθυντικῆς χρωμένων ἀντὶ τοῦ προσ-
-Z/18b/777/12	τακτικοῦ πληθυντικοῦ προσώπου τρίτου, ὁμοίως τῷ, Ἵπποι 
-Z/18b/777/13	δ' ἐς δόλιχον παριόντων, ἐάν τε κατὰ τὴν γενικὴν πτῶσιν, 
-Z/18b/777/14	ἀπ' εὐθείας τῆς ἀποπεσόντες, σολοικιοῦμεν. γενήσεται γὰρ 
-Z/18b/777/15	ἡ λέξις κατὰ μὲν τὸ πρότερον σημαινόμενον ἀκουόντων ἡμῶν 
-Z/18b/777/16	τοιάδε, τὰ μέλλοντα ἀποπίπτειν, κακίω ταχέως ἀποπεσέτω-
-Z/18b/777/17	σαν· εἰ μὴ βούλοιο ἀποπεσέτω, πάντως ἐστὶν, ὡς 
-Z/18b/777/18	ἐπ' οὐδετέρῳ τῷ τὰ μέλλοντα. ἐν τῷ δὲ τοῦ πλήθους  
-Z/18b/778/1	ἀριθμῷ ληπτὸν ἑλληνιστὶ τῷ ῥήματι ζεύγνυσιν ἐν τῷ ἑνικῷ 
-Z/18b/778/2	καὶ πληθυντικῷ. κατὰ δὲ τὸ δεύτερον σημαινόμενον ἡ λέ-
-Z/18b/778/3	ξις ἔσται τοιάδε· τὰ μέλλοντα ἀποπίπτειν κακίω ταχέως 
-Z/18b/778/4	ἀποπεσόντων αὐτῶν. ἄμεινον δ' οὖν ἦν γεγράφθαι τὴν ῥῆ-
-Z/18b/778/5	σιν οὕτω· τὰ δὲ μέλλοντα ἀποπίπτειν κακίω ταχέως ἀπο-
