
[0057]  [077]  []  []

-Z/13/362/t1	{ΓΑΛΗΝΟΥ ΠΕΡΙ ΣΥΝΘΕΣΕΩΣ ΦΑΡΜΑΚΩΝ 
-Z/13/734/1	νης οὐγγίας 𐅶ʹʹ. γῆς τῆς λεγομένης σάρδης, ᾗ οἱ γναφεῖς 
-Z/13/734/2	χρῶνται οὐγγίας εʹ. τὰ τηκτὰ κατὰ τῶν ξηρῶν καὶ ἑνώσας 
-Z/13/734/3	χρῶ, ἢ φακῷ ἑφθῷ μετὰ μέλιτος ἢ θαλλίᾳ ἢ ἀμφοτέροις 
-Z/13/734/4	κατάπασσε. 
-Z/13/734/5	  [Περὶ τῶν τυλωδῶν.] Ἐπὶ δὲ τῶν 
-Z/13/734/6	τετυλωμένων καὶ ὀχθωδῶν, γλυκέων λεγομένων ἑλκῶν, ποι-
-Z/13/734/7	ήσουσι μὲν καὶ τὰ διὰ πείρας καυστικά. ἰδίως δὲ λίτρον πε-
-Z/13/734/8	φωγμένον καὶ ἄσβεστον μετ' οὔρου παιδὸς ἀφθόρου περί-
-Z/13/734/9	χριε, ἢ ἰὸν, λίβανον, ἅλας, μέλι περίχριε. 
-Z/13/734/10	  [Περὶ τῶν ὑπ' Ἀσκληπιάδου εἰς τὰ τοι-
-Z/13/734/11	αῦτα τῶν ἑλκῶν γεγραμμένων ἐμπλάστρων.] Κάλλιστα περὶ 
-Z/13/734/12	τῶν τοιούτων ἑλκῶν Ἀσκληπιάδης ἔγραψεν, ὁ ἐπικληθεὶς 
-Z/13/734/13	φαρμακίων. ἑνὸς γὰρ ὄντος ἅπασιν αὐτοῖς κοινοῦ τοῦ δυσ-
-Z/13/734/14	επουλώτοις εἶναι, τινὰ μὲν ἐκ τοῦ θεραπεύεσθαι κακῶς ἢ 
-Z/13/734/15	μαλακῶς διαιτᾶσθαι τὸν θεραπευόμενον οὐκ ἐπουλοῦται, μη-
-Z/13/734/16	δεμίαν οἰκείαν αὐτὰ κακοήθειαν ἔχοντα, τινὰ δὲ δι' ἑαυτὰ 
-Z/13/734/17	δυσθεράπευτά ἐστιν, ἤτοι διὰ τὸ χυμοὺς ἐπιῤῥεῖν αὐτοῖς μο- 
-Z/13/735/1	χθηροὺς ἢ διὰ τὸ τοιαύτην ἤδη διάθεσιν ἐσχηκέναι τὸν ἡλκω-
-Z/13/735/2	μένον τόπον, ὡς, κᾂν χρηστὸν ᾖ τὸ ἐπιῤῥέον αἷμα, διαφθεί-
-Z/13/735/3	ρειν αὐτό. διελόμενος οὖν ὁ Ἀσκληπιάδης τρισὶ γένεσι τὰ 
-Z/13/735/4	τοιαῦτα τῶν ἑλκῶν, ὑπὲρ ἑκάστου διωρισμένως ἐποι-
-Z/13/735/5	ήσατο τὸν λόγον, ἃ κᾀγὼ ταῖς ἐκείνου λέξεσιν ἐφεξῆς παρα-
-Z/13/735/6	γράψω, προστιθεὶς ἐξήγησιν ἢ κρίσιν, εἴ πού τις ἀμφιβολία 
-Z/13/735/7	κατὰ τὸν λόγον ὑπάρχοι. περὶ μὲν οὖν τοῦ πρώτου γένους 
-Z/13/735/8	τῶν τοιούτων ἑλκῶν τε καὶ φαρμάκων ὧδέ πως γράφει 
-Z/13/735/9	κατὰ λέξιν ὁ Ἀσκληπιάδης. τετυλωμένων δὲ τῶν σωμάτων 
-Z/13/735/10	καὶ μόλις εἰς οὐλὴν ἀγομένων χρηστέον ταῖς ὑπογεγραμμέ-
-Z/13/735/11	ναις σκευασίαις. Ἀνδρέου κατασταλτικὴ πάσης ἐξοχῆς. ἔστι 
-Z/13/735/12	δὲ καὶ ἔναιμος, τραυματικὴ, ἀφλέγμαντος. ποιεῖ πρὸς τὰ νε-
-Z/13/735/13	μόμενα καὶ κόλπους παρακολλᾷ. ποιεῖ πρὸς τὰ ῥευματικὰ 
-Z/13/735/14	τῶν ἑλκῶν καὶ χρόνια καὶ δυσεπούλωτα. ♃ λιθαργύρου λί-
-Z/13/735/15	τρας γʹ. λεπίδος χαλκοῦ, χαλκίτεως, ἰοῦ ξυστοῦ ἀνὰ οὐγ-
-Z/13/735/16	γίας γʹ. ὄξους κοτύλην αʹ. ἐλαίου παλαιοῦ λίτρας ηʹ. σκεύ-
-Z/13/735/17	αζε κατὰ τρόπον. Ἀστέρος φάρμακον ἐπιτετευγμένον πρὸς 
-Z/13/735/18	τὰς προειρημένας διαθέσεις. ἔστι δὲ διαφορητικὴ ἀγαθή. ♃  
-Z/13/736/1	λιθαργύρου λίτραν αʹ. ἐλαίου παλαιοῦ λίτρας βʹ 𐅶ʹʹ. ἰοῦ 
-Z/13/736/2	οὐγγίαν αʹ. χαλκίτεως οὐγγίαν αʹ. λεπίδος ἐρυθρᾶς οὐγγίαν 
-Z/13/736/3	αʹ. ὄξους κοτύλην αʹ. Ἀμφίωνος πρὸς τὰς αὐτὰς διαθέσεις. 
-Z/13/736/4	♃ λιθαργύρου λίτρας βʹ. ἐλαίου παλαιοῦ λίτρας δʹ. χαλκί-
-Z/13/736/5	τεως οὐγγίας θʹ. λεπίδος χαλκοῦ 𐅻 δʹ. ὄξους κοτύλην αʹ. 
-Z/13/736/6	σκεύαζε κατὰ τρόπον. Τουρπιλιανοῦ ἡ τῶν φιλοσόφων λεγο-
-Z/13/736/7	μένη. ποιεῖ πρὸς τὰ ῥευματικὰ τῶν ἑλκῶν, ποιεῖ πρὸς τὰ 
-Z/13/736/8	χρόνια καὶ δυσεπούλωτα, ἀνάγει ὀστᾶ διεφθορότα. ♃ λιθαρ-
-Z/13/736/9	γύρου λίτρας γʹ. ἐλαίου παλαιοῦ ξέστας γʹ. χαλκίτεως λίτρας 
-Z/13/736/10	βʹ 𐅶ʹʹ. λεπίδος χαλκοῦ 𐅻 κεʹ. ὄξους κοτύλην αʹ. λιθάργυ-
-Z/13/736/11	ρον, ἔλαιον ἕψε μέχρι συστάσεως, εἶτα βάλλε λεπίδα λειοτά-
-Z/13/736/12	την καὶ κίνει συνεχῶς, καὶ ὅταν εὖ ἔχῃ, βάλλε κατὰ μικρὸν 
-Z/13/736/13	τὴν χαλκῖτιν λεανθεῖσαν μετ' ὄξους, ποσῶς κατεψυγμένῳ τῷ 
-Z/13/736/14	φαρμάκῳ, εἶτα θεὶς ἐπὶ τὸ πῦρ, πάλιν ἕψε μέχρις ἀμολύν-
-Z/13/736/15	του καὶ εἰς θυείαν ἐξεράσας καὶ ἀνακόψας καὶ μαλάξας, 
-Z/13/736/16	ἀνελόμενος χρῶ πρὸς τὰς προειρημένας διαθέσεις. ἡ ἴσις λε-
-Z/13/736/17	γομένη κιῤῥὰ φάρμακον ἐπιτετευγμένον πρὸς τὰ ῥευματικὰ  
-Z/13/737/1	καὶ χρόνια καὶ κακοήθη καὶ δυσαλθῆ καὶ μάλιστα ἐπὶ τῶν 
-Z/13/737/2	ἀκρωτηρίων. σκευάζειν δὲ αὐτὸ δεῖ ἁπαλώτερον, συστρέφε-
-Z/13/737/3	ται γὰρ κείμενον καὶ ξηρότερον γίνεται. ἔχει δὲ οὕτως. 
-Z/13/737/4	♃ λιθαργύρου 𐅻 ρʹ. μίλτου Σινωπίδος 𐅻 ηʹ. διφρυγοῦς κη-
-Z/13/737/5	ροῦ, χαλκίτιδος κεκαυμένης ἀνὰ οὐγγίαν αʹ. ἐν ἄλλῳ ἀνὰ 
-Z/13/737/6	𐅻 δʹ. χαλκίτεως ὠμῆς 𐅻 βʹ. ἐλαίου κο. βʹ. ἕψε λιθάργυρον, 
-Z/13/737/7	ἔλαιον, ἕως ἂν ξέσῃ ἐκ δευτέρου καὶ τρίτου. τούτου δὲ γε-
-Z/13/737/8	νομένου κατάῤῥαινε ὕδατι ὀλίγον τοῖς δακτύλοις, εἶτα ἐπί-
-Z/13/737/9	πασσε τὸ διφρυγὲς καὶ τὴν χαλκῖτιν ὀπτὴν λείαν ὑπὸ χεῖρα 
-Z/13/737/10	τῷ ὕδατι καταῤῥαίνων ἕως ἂν μηκέτι ψοφῇ ἑψόμενον τὸ 
-Z/13/737/11	φάρμακον. ὅταν δὲ συστῇ, ἐπίβαλλε κηρόν. ἔστω δέ σοι τὰ 
-Z/13/737/12	μετ' ὀλίγου ἐλαίου λειανθέντα κείμενα, χαλκῖτις ὠμὴ καὶ 
-Z/13/737/13	σινωπίς. καὶ ὅταν εὖ ἔχῃ τὸ φάρμακον, ἐπίβαλλε ταῦτα καὶ 
-Z/13/737/14	κίνει συνεχῶς, καὶ ὅταν καλῶς ἔχῃ, εἰς θυείαν ἐξεράσας καὶ 
-Z/13/737/15	ἀνακόψας καὶ μαλάξας, ἀνελόμενος χρῶ. ἄλλη Σκριβωνίου 
-Z/13/737/16	Λάργου φάρμακον ἐπιτετευγμένον. ♃ κηροῦ 𐅻 ρʹ. ἄλλο νʹ. 
-Z/13/737/17	λιθαργύρου 𐅻 νʹ. ἐλαίου μυρσίνου κο. αʹ. μίσυος κεκαυμέ-
-Z/13/737/18	νου, χαλκίτεως κεκαυμένης, στυπτηρίας σχιστῆς κεκαυμένης,  
-Z/13/738/1	ψιμυθίου, ῥητίνης τερμινθίνης ἀνὰ 𐅻 ιβʹ. σκεύαζε κατὰ τρό-
-Z/13/738/2	πον. ἄλλη. καταστέλλει καὶ τὰ ἐν ὀφθαλμοῖς σταφυλώματα, 
-Z/13/738/3	ποιεῖ πρὸς τὰ δυσαλθῆ. ♃ μίλτου Σινωπίδος 𐅻 ιεʹ. λιθαρ-
-Z/13/738/4	γύρου 𐅻 ρʹ. κηροῦ 𐅻 μʹ. πιτυΐνης 𐅻 κʹ. χαλκίτεως 𐅻 λʹ. 
-Z/13/738/5	ἁλὸς ἀμμωνιακοῦ 𐅻 αʹ. λιβάνου 𐅻 αʹ. ἐλαίου κο. αʹ. σκεύ-
-Z/13/738/6	αζε κατὰ τρόπον. ἄλλη, ὡς Ἀφροδᾶς. ποιεῖ καὶ πρὸς κον-
-Z/13/738/7	δυλώματα καὶ ῥαγάδας δυσαλθεῖς. ♃ λιθαργύρου 𐅻 μηʹ. τερ-
-Z/13/738/8	μινθίνης 𐅻 κηʹ. μίσυος ὀπτοῦ, χαλκίτιδος ὀπτῆς ἀνὰ 𐅻 ηʹ. 
-Z/13/738/9	μίλτου Σινωπίδος, χαλκάνθου ἀνὰ 𐅻 δʹ. ἐλαίου παλαιοῦ 
-Z/13/738/10	κο. αʹ. ὕδατος κο. αʹ. κηροῦ 𐅻 μʹ. κικίνου λίτραν αʹ. ἄλλοι 
-Z/13/738/11	κυάθου 𐅶ʹʹ. τὰ ξηρὰ μετὰ τοῦ ὕδατος λεαίνεται. καὶ περὶ 
-Z/13/738/12	μὲν τούτων ἐπὶ τοσοῦτον. 
-Z/13/738/13	  [Περὶ τοῦ δευτέρου γένους τῶν δυσθεραπεύτων ἑλκῶν 
-Z/13/738/14	περὶ ὧν ὁ Ἀσκληπιάδης ἔγραψε κατὰ λέξιν οὕτως.] Πρὸς 
-Z/13/738/15	δὲ τὰ ῥευματικὰ τῶν ἑλκῶν καὶ δυσαλθῆ χρηστέον ταῖς ὑπο-
-Z/13/738/16	γεγραμμέναις σκευασίαις. ἡ διὰ χαμαιλέοντος, ᾗ ἐχρήσατο Φι-
[0057]  [077]  []  []

-Z/13/738/17	λόξενος πρὸς τὰ ῥευματικὰ τῶν ἑλκῶν καὶ δυσαλθῆ. ♃ λι- 
-Z/13/739/1	θαργύρου λίτραν αʹ. ἐλαίου παλαιοῦ λίτρας βʹ. χαμαιλέοντος 
-Z/13/739/2	ῥίζης οὐγγίας δʹ. ἀριστολοχίας οὐγγίας δʹ. χαλβάνης οὐγ-
-Z/13/739/3	γίας βʹ. κηκίδος οὐγγίας βʹ. λιβάνου γο βʹ. σκεύαζε κατὰ 
-Z/13/739/4	τρόπον. ἄλλη, ἡ τοῦ Θηβαίου λεγομένη. ♃ λιθαργύρου λί-
-Z/13/739/5	τραν αʹ. ἐλαίου παλαιοῦ ξε. αʹ. χαλκάνθου 𐅻 κδʹ. χαμαι-
-Z/13/739/6	λέοντος 𐅻 ιβʹ. ἀριστολοχίας 𐅻 ιβʹ. χαλβάνης 𐅻 ηʹ. λιβάνου 
-Z/13/739/7	𐅻 ηʹ. σκεύαζε κατὰ τρόπον. ἄλλη διὰ τῶν καλάμων πρὸς 
-Z/13/739/8	τὰ ῥευματικὰ καὶ χειρώνεια ἕλκη, ποιεῖ καὶ πρὸς παντὸς ἑρ-
-Z/13/739/9	πετοῦ πληγήν. ♃ λιθαργύρου λίτραν μίαν, ἐλαίου παλαιοῦ 
-Z/13/739/10	λίτρας βʹ. χαμαιλέοντος μέλανος τῆς ῥίζης, ἀριστολοχίας, κη-
-Z/13/739/11	κίδων ὀμφακίνων, ἑκάστου ἀνὰ 𐅻 δʹ. χαλβάνης, ἀμμωνια-
-Z/13/739/12	κοῦ θυμιάματος, λιβανωτοῦ, ἑκάστου ἀνὰ οὐγγίας βʹ. σκεύ-
-Z/13/739/13	αζε κινῶν ῥίζαις καλάμων χλωρῶν. Κάστου γαγγραινικὴ λε-
-Z/13/739/14	γομένη, φάρμακον ἐπιτετευγμένον. ♃ λιθαργύρου 𐅻 ρκʹ. 
-Z/13/739/15	ἐλαίου ξε. βʹ. ἥμισυ, χαμαιλέοντος μέλανος ῥίζης 𐅻 ιστʹ. 
-Z/13/739/16	ὄξους ξέστας βʹ. ἥμισυ, ἰοῦ 𐅻 ηʹ. πίτυος φλοιοῦ 𐅻 ηʹ. σμύρ-
-Z/13/739/17	νης 𐅻 δʹ. σκεύαζε κατὰ τρόπον. μέλαινα ἡ διὰ τοῦ πυρίτου  
-Z/13/740/1	λεγομένη Δαμονικοῦ. ποιεῖ πρὸς τὰ ῥευματικὰ καὶ δυσαλθῆ 
-Z/13/740/2	καὶ φαγεδαινικά. ποιεῖ καὶ πρὸς σύριγγας ἐντιθεμένη καὶ 
-Z/13/740/3	μαλάττει πᾶσαν σκληρίαν. ♃ λιθαργύρου, ἀσφάλτου ἀνὰ 
-Z/13/740/4	𐅻 ρʹ. ἢ νʹ. πίσσης, κηροῦ ἀνὰ 𐅻 ηʹ. πυρίτου, τερμινθίνης 
-Z/13/740/5	ἀνὰ 𐅻 κεʹ. προπόλεως, σχιστῆς ἀνὰ 𐅻 ιεʹ. ἀμμωνιακοῦ θυ-
-Z/13/740/6	μιάματος 𐅻 ιβʹ. χαλβάνης, ἀλόης ἀνὰ 𐅻 ηʹ. ἰοῦ, μάννης ἀνὰ 
-Z/13/740/7	𐅻 εʹ. ἐλαίου παλαιοῦ ξε. βʹ. ἕψε λιθάργυρον μετ' 
-Z/13/740/8	ἐλαίου ἕως συστραφῇ, εἶτα ἐπίβαλλε ἄσφαλτον, πίσσαν, κη-
-Z/13/740/9	ρὸν, ῥητίνην, πρόπολιν, καὶ ὅταν τακῇ, ἐάσας ψυγῆναι ἐπί-
-Z/13/740/10	βαλλε ἰὸν καὶ τὸν λίθον, ἔπειτα τὸ ἀμμωνιακὸν, εἶτα ἄρας 
-Z/13/740/11	καὶ ἐπ' ὀλίγον ψύξας ἐπίβαλλε σχιστὴν, χαλβάνην, μάννην 
-Z/13/740/12	καὶ ὀλίγον ἑψήσας κατέρασον εἰς ψυχρὸν ὕδωρ καὶ ἐάσας 
-Z/13/740/13	ἡμέραν καὶ νύκτα μαλάξας χρῶ. ποιεῖ πρὸς τὰ δυσαλθῆ. 
-Z/13/740/14	ἄλλη. ♃ πίσσης, κηροῦ, πυρίτου ἀνὰ 𐅻 ιβʹ. ἀμμωνιακοῦ θυ-
-Z/13/740/15	μιάματος 𐅻 ιʹ. ἀσφάλτου 𐅻 νʹ. λιθαργύρου 𐅻 μʹ. προπό-
-Z/13/740/16	λεως 𐅻 ηʹ. σχιστῆς 𐅻 εʹ. ἰοῦ 𐅻 βʹ. ἐλαίου ξε. αʹ. ἄλλη μέ-
-Z/13/740/17	λαινα ἡ διὰ τῶν ἰτεῶν πρὸς τὰς αὐτὰς διαθέσεις. ♃ μίσυος  
-Z/13/741/1	ξενικοῦ, στυπτηρίας στρογγύλης, χαλκίτεως, μελαντηρίας, ἰοῦ 
-Z/13/741/2	ξυστοῦ, στυπτηρίας σχιστῆς, κηκίδων ὀμφακίνων, ψιμυθίου, 
-Z/13/741/3	ἑκάστου ἡμίλιτρον, κηροῦ, ῥητίνης ξηρᾶς, πίττης Βρυτίας, 
-Z/13/741/4	ἀσφάλτου ἀνὰ λίτρας βʹ. ὄξους δριμέος, ξέστου τὸ ἥμισυ, 
-Z/13/741/5	ἐλαίου ὀμφακίνου λίτρας βʹ. ἰτέας ἀκρεμόνων ἁπαλῶν τῶν 
-Z/13/741/6	φύλλων λίτρας βʹ. τὰ φύλλα τῆς ἰτέας εἰς ὄξος βαλὼν καὶ 
-Z/13/741/7	θεὶς ἐπὶ τὸ πῦρ ἕψε, κινῶν συνεχῶς ἕως τὸ τρίτον 
-Z/13/741/8	τῷ ὑγρῷ ὑπολειφθῇ. τὰ δὲ ξηρὰ κόπτε καὶ σῆθε λεπτο-
-Z/13/741/9	τάτῳ κοσκίνῳ καὶ εἰς θυείαν βαλὼν ἐπίβαλλε τούτοις ἐκθλί-
-Z/13/741/10	ψας τὸ ὑγρὸν καὶ τρῖβε φιλοπόνως, ὥσπερ τὰς κεφαλικὰς 
-Z/13/741/11	δυνάμεις. τὰ δὲ τηκτὰ ἕψε μέχρις ἀμολύντου, εἶτ' ἐάσας ψυ-
-Z/13/741/12	γῆναι καὶ ἀναξύσας ἐπίβαλλε τοῖς λεανθεῖσι καὶ εἰς θυείαν 
-Z/13/741/13	ἐξεράσας ἀνελόμενος χρῶ. ἡ Ἰνδὴ Θαρσέου χειρουργοῦ πρὸς 
-Z/13/741/14	τὰς προειρημένας διαθέσεις. ♃ κηροῦ, ῥητίνης φρυκτῆς, πίσ-
-Z/13/741/15	σης ξηρᾶς, ἀσφάλτου ὑγρᾶς, Ζακυνθίας, ἑκάστου λίτρας βʹ. 
-Z/13/741/16	ψιμυθίου, ἰοῦ, χαλκίτιδος, μίσυος ξενικοῦ, μελαντηρίας, στυ-
-Z/13/741/17	πτηρίας καὶ σχιστῆς καὶ στρογγύλης, κηκίδων ὀμφακίδων, 
-Z/13/741/18	σιδίων, ῥοῦ, λιβάνου ἑκάστου ἀνὰ ἡμίλιτρον, ὄξους ὅσον  
-Z/13/742/1	ἐξαρκεῖ. τὰ τηκτὰ ἕψε μέχρις ἀμολύντου, τὰ δὲ ξηρὰ κόψας 
-Z/13/742/2	καὶ σήσας λεπτοτάτῳ κοσκίνῳ, ὄξει φυράσας ἀναλάμβανε 
-Z/13/742/3	τοῖς τηκτοῖς. ἄλλη Κυζικηνή. ποιεῖ πρὸς τὰς κεχρονισμένας 
-Z/13/742/4	διαθέσεις καὶ τὰς τῶν νεύρων διακοπάς. ♃ λιβανωτοῦ, ὡς 
-Z/13/742/5	καλλίστου, κηροῦ, σμύρνης, ἀριστολοχίας, χαλκίτιδος, Ἰλλυ-
-Z/13/742/6	ρικῆς, χαλβάνης ἀνὰ 𐅻 δʹ. τερμινθίνης, λιθαργύρου ἀνὰ 𐅻 ηʹ. 
-Z/13/742/7	ἐλαίου κοτύλην αʹ. ἅπαντα βαλὼν εἰς ἄγγος χαλκοῦν ἕψε 
-Z/13/742/8	ἐπὶ τέφρας μαλακῆς, κινῶν ἕως ἂν ἀποσταζόμενον εἰς ὕδωρ 
-Z/13/742/9	ψυχρὸν πάχος ἔχῃ μέλιτος. μετὰ δὲ ταῦτα αἶρε κινῶν, τοῦτο 
-Z/13/742/10	ἐγχρίσας εἰς δερμάτιον ἐπιτίθει καὶ λῦε χειμῶνος μὲν μετὰ 
-Z/13/742/11	τὴν ἑβδόμην ἡμέραν, θέρους δὲ μετὰ τὴν πέμπτην. ἄλλη 
-Z/13/742/12	ἐκ τῶν Φιλοξένου. ♃ λιβάνου, σμύρνης, κρόκου, Ἰλλυρικῆς, 
-Z/13/742/13	βδελλίου, λεπίδος χαλκοῦ, χαλκάνθους, χαλκίτεως, στυπτηρίας 
-Z/13/742/14	στρογγύλης καὶ σχιστῆς, μίσυος ξενικοῦ, ἀμμωνιακοῦ θυμιά-
-Z/13/742/15	ματος, προπόλεως, ἰξοῦ δρυίνου, ὀποπάνακος, σιδίων μεμυ-
-Z/13/742/16	κότων ἀνὰ 𐅻 δʹ. ἀριστολοχίας 𐅻 ηʹ. κηροῦ 𐅻 ρʹ. ὃ μνᾶν 
-Z/13/742/17	ἐπιγράφει, στέατος ταυρείου 𐅻 ρʹ. ῥητίνης τερμινθίνης 𐅻 οεʹ. 
-Z/13/742/18	ὃ τριατέτταρα ἐπιγράφει. τὴν ῥητίνην βαλὼν εἰς λοπάδα  
-Z/13/743/1	ὀστρακίνην καινὴν, ἕψε ἕως ἂν ἄνοσμος γένηται. εἶτα τὸ 
-Z/13/743/2	στέαρ καὶ τὸν κηρὸν κατανίσας ἐπίβαλλε καὶ τῆκε. τὰ δὲ 
-Z/13/743/3	ξηρὰ κόπτε καὶ σῆθε λεπτοτάτῳ κοσκίνῳ, ἔπειτα καθελὼν 
-Z/13/743/4	ἀπὸ τοῦ πυρὸς τὰ τηκτὰ ποσῶς ἐάσας ψυγῆναι, τούτοις 
-Z/13/743/5	κατάπασσε τὰ ξηρὰ κινῶν ἐπιμελῶς. ἔχειν δὲ δεῖ μετ' ὄξους 
-Z/13/743/6	τετριμμένα σμύρναν, λίβανον, βδέλλιον, ὀποπάνακα καὶ τού-
-Z/13/743/7	τοις ἐμβάλλεται τὰ ἐν τῇ λοπάδι καὶ τρίβεται, ὥστε ἐγκη-
-Z/13/743/8	ρίδας μὴ γενέσθαι. ὅταν δὲ καλῶς ἔχῃ, ἀνελοῦ εἰς πυξίδα 
-Z/13/743/9	ξυλίνην προυποχρίσας ἰρίνῳ. 
-Z/13/743/10	  [Περὶ τοῦ τρίτου γένους τῶν δυσθεραπεύτων 
-Z/13/743/11	ἑλκῶν, περὶ ὧν κατὰ λέξιν ὁ Ἀσκληπιάδης ἔγραψε ταῦτα.] 
-Z/13/743/12	Ἐπὶ δὲ τῶν μηδ' ὅλως συνερχομένων ἑλκῶν ἢ συνερχομένων 
-Z/13/743/13	μὲν, ἀναλυομένων δὲ πάλιν, ἤτοι τῆς σαρκὸς διαφθειρομένης 
-Z/13/743/14	ἢ καὶ τῶν ὑποκειμένων ὀστέων ἐφθορότων χρηστέον ταῖς 
-Z/13/743/15	ὑποκειμέναις σκευασίαις. πρὸς τὰ χειρώνεια καὶ δυσαλθῆ 
-Z/13/743/16	φάρμακον ἐπιτετευγμένον. ♃ λεπίδος χαλκοῦ, ἰοῦ ξυστοῦ 
-Z/13/743/17	ἀνὰ γο αʹ. κηροῦ ἡμίλιτρον, ῥητίνης λάρικος γο αʹ. ἥμισυ  
-Z/13/744/1	τὰ τηκτὰ κατὰ τῶν ξηρῶν καὶ ἀνελόμενος χρῶ, μαλάσσων 
-Z/13/744/2	ἐπιμελῶς καὶ πλατυσμάτιον ἐπιῤῥίπτων κατὰ μόνου τοῦ 
-Z/13/744/3	πεπονθότος, ὥστε περιλαμβάνειν μόνον τὸ ἕλκος. δεῖ δὲ τὰ 
-Z/13/744/4	πέριξ ἀφλεγμάντῳ φαρμάκῳ περιλαμβάνειν. ἐν δὲ τῇ θερα-
-Z/13/744/5	πείᾳ λύειν χρὴ διὰ τρίτης τὸ ἕλκος, ἔπειτα προπυριᾷν καὶ 
-Z/13/744/6	τὸ αὐτὸ πλατυσμάτιον ἀπονίπτοντα μαλάσσειν καὶ πάλιν 
-Z/13/744/7	ἐπιτιθέναι, ἕως ἂν ἄρξηται συνουλώσεως. ἄλλη ἐπιτετευγμένη. 
-Z/13/744/8	♃ ἰοῦ, λεπίδος χαλκοῦ ἀνὰ γο βʹ. διφρυγοῦς γο αʹ. κηροῦ 
-Z/13/744/9	λίτραν αʹ. λάρικος γο γʹ. σκεύαζε καὶ χρῶ καθὼς προείρη-
-Z/13/744/10	ται. μετὰ ταῦτα περὶ τῶν ὀνομαζομένων κεφαλικῶν ὡς ἔγρα-
-Z/13/744/11	ψεν Ἀσκληπιάδης κατὰ λέξιν οὕτως. Δηϊλέοντος κεφαλική. 
-Z/13/744/12	πρὸς τὰ χρόνια καὶ δυσαλθῆ, ἀνάγει ὀστᾶ διεφθορότα. ♃ 
-Z/13/744/13	λεπίδος χαλκοῦ, μάννης, λιβανωτοῦ, ῥητίνης ξηρᾶς ἀνὰ 𐅻 ρʹ. 
-Z/13/744/14	ὄξους κο. ιβʹ. τρῖβε λεπίδα χαλκοῦ μετ' ὄξους καὶ ὅταν ἐκ-
-Z/13/744/15	λειωθῇ, ἐπίβαλλε λειότατον λιβανωτὸν καὶ ῥητίνην καὶ ἀνά-
-Z/13/744/16	πλαττε τροχίσκους καὶ ξήραινε ἐν σκιᾷ. ἐν δὲ τῇ χρήσει ἐφ' 
-Z/13/744/17	ὧν βούλει ἐκτυλῶσαι, λάμβανε τοῦ φαρμάκου μέρος ἓν καὶ  
-Z/13/745/1	κηρωτῆς σκευασθείσης διὰ ῥοδίνου τὸ ἴσον. ἐπὶ δὲ τῶν 
-Z/13/745/2	ἄλλων ἔστω τοῦ φαρμάκου μέρος ἓν καὶ τῆς κηρωτῆς μέρη 
-Z/13/745/3	γʹ ἢ δʹ. δεῖ γὰρ τὴν κρᾶσιν γίγνεσθαι κατάλληλον ταῖς ὑπο-
-Z/13/745/4	κειμέναις διαθέσεσι. μελάγχλωρος κεφαλικὴ, ᾗ ἐχρήσατο Τρύ-
-Z/13/745/5	φων ὁ ἀρχαῖος. ποιεῖ πρὸς τὰ χρόνια καὶ δυσαλθῆ, ἀνάγει 
-Z/13/745/6	ὀστᾶ διεφθορότα. ♃ λεπίδος χαλκοῦ ιβʹ. μάννης, λιβανωτοῦ, 
-Z/13/745/7	ἀμμωνιακοῦ θυμιάματος, ῥητίνης πιτυΐνης ξηρᾶς, στέατος 
-Z/13/745/8	μοσχείου θεραπευομένου, ῥητίνης τερμινθίνης ἀνὰ 𐅻 ιστʹ. 
-Z/13/745/9	κηροῦ, ἐλαίου ἀνὰ μνᾶς τέταρτον, ὄξους κοτύλην αʹ. σκεύ-
-Z/13/745/10	αζε κατὰ τρόπον. Φιλώτου κεφαλικὴ πρὸς τὰ χρόνια καὶ δυσ-
-Z/13/745/11	αλθῆ, ἀνάγει ὀστᾶ διεφθορότα καὶ τύλους ὑπεκτήκει. ♃ 
-Z/13/745/12	γῆς Ἐρετριάδος 𐅻 ρʹ. λεπίδος χαλκοῦ 𐅻 νʹ. ἰχθυοκόλλης 
-Z/13/745/13	𐅻 κεʹ. ὄξους κοτύλας ιβʹ. τὴν ἰχθυοκόλλαν δὲ εἰς λεπτὰ 
-Z/13/745/14	χρὴ συγκόψαντα βάλλειν εἰς ἄγγος ὑελοῦν καὶ ταύτῃ ὄξος 
-Z/13/745/15	ἐπιβάλλοντα ἐᾷν βρέχεσθαι καὶ διαλυθεῖσαν ἐπιβάλλειν σκευα-
[0057]  [077]  []  []

-Z/13/745/16	σθέντι τῷ φαρμάκῳ καὶ μίξαντας ἀναπλάττειν τροχίσκους, 
-Z/13/745/17	ἡ χρῆσις δεδήλωται. Διονυσίου Σαμίου. ♃ γῆς Ἐρετριάδος  
-Z/13/746/1	μνᾶν αʹ. λεπίδος χαλκοῦ ἡμίμνουν, ἰχθυοκόλλης μνᾶς τέταρ-
-Z/13/746/2	τον, λιβάνου μνᾶς ὄγδοον, ἰοῦ ξυστοῦ μνᾶς ὄγδοον. σμύρ-
-Z/13/746/3	νης μνᾶς ἑκκαιδέκατον, ὄξους χόας βʹ. συντίθει ἐν τοῖς ὑπὸ 
