
[0057]  [009]  []  []

-Z/1/509/t1	    {ΓΑΛΗΝΟΥ ΠΕΡΙ ΚΡΑΣΕΩΝ} 
-Z/1/612/13	τοσούτῳ μᾶλλον ἐγχωρεῖ φύεσθαι τρίχας. ἵνα γάρ, ὡς ἐκεῖ-
-Z/1/612/14	νοι προκαλοῦνται, τῷ τῆς γῆς ἑπώμεθα παραδείγματι, τὰς 
-Z/1/612/15	πόας οὔτ' ἐν ξηρᾷ πάνυ καὶ αὐχμώδει φύεσθαι δυνατὸν 
-Z/1/612/16	οὔτ' ἐν ὑγρᾷ καὶ τελματώδει, ἀλλ' ἐπειδὰν μὲν ἄρχηται δα-
-Z/1/613/1	πανᾶσθαι τὸ περιττὸν τῆς ὑγρότητος, ἐκφύονται | τῆς γῆς· 
-Z/1/613/2	αὐξάνονται δ' ἐπὶ πλέον, ὅταν καὶ ἥδε ξηραίνηται, μετρίως 
-Z/1/613/3	μὲν ἐν τῷ ἦρι, τάχιστα δὲ καὶ μέχρι πλείστου κατὰ τὴν 
-Z/1/613/4	ἀρχὴν τοῦ θέρους, ἀποξηραίνονται δὲ τελέως αὐανθείσης 
-Z/1/613/5	τῆς γῆς ἐν μέσῳ τῷ θέρει. καί σοι πάρεστιν, εἰ βούλει, 
-Z/1/613/6	καὶ νῦν, ὥσπερ που κἀν τῷ πρὸ τούτου λόγῳ δέδεικται, τὸ 
-Z/1/613/7	μὲν ἔαρ, ὅτι τῶν ὡρῶν εὐκρατότατόν ἐστιν, εἰκάζειν εὐκρά-
-Z/1/613/8	του δέρματος φύσει καὶ μάλιστά γε τὰ μέσα τῆς ὥρας τῆσδε. 
-Z/1/613/9	τηνικαῦτα γὰρ οὖν καὶ ἡ γῆ μέση πως ὑγρότητός τε καὶ 
-Z/1/613/10	ξηρότητός ἐστιν. ὅσα δὲ τῷ θέρει συνάπτει τῆς ἠρινῆς 
-Z/1/613/11	ὥρας, ταῦτ' ἤδη ξηροτέραν ἔχει τοῦ συμμέτρου τὴν γῆν, ἔτι 
-Z/1/613/12	δὲ μᾶλλον ἀρχομένου θέρους. 
-Z/1/613/13	  Ὃ τοίνυν λέγω δέρμα θερμὸν καὶ ξηρόν, εἰκάζοις ἂν 
-Z/1/613/14	μάλιστα τῇ τῆς γῆς διαθέσει τῇ γιγνομένῃ τελευτῶντος ἦρος 
-Z/1/613/15	ἢ ἀρχομένου θέρους. μεσοῦντος γὰρ θέρους ἄκρως ξηρὰ  
-Z/1/613/16	γίγνεται τοῖς τῶν ὀστρακοδέρμων ὁμοίως, οὐ μὴν ἀνθρώ-
-Z/1/613/17	πων γ' ἢ συῶν ἢ ὄνων ἢ ἵππων ἢ ἄλλου του τῶν τριχω-
-Z/1/613/18	τῶν ζῴων. ὥστ', εἴπερ τῇ γῇ βούλονται παραβάλλειν τὸ 
-Z/1/614/1	δέρμα, | καὶ κατὰ τοῦτο τὸν λόγον ὁμολογοῦντα τοῖς πρὸς 
-Z/1/614/2	ἡμῶν ἔμπροσθεν εἰρημένοις εὑρήσουσιν. αὐτοὶ δὲ σφᾶς αὐ-
-Z/1/614/3	τοὺς ὑπὸ τῆς ὁμωνυμίας σοφισθέντες παραλογίζονται. ἐν 
-Z/1/614/4	γὰρ τῷ θερμῷ καὶ ξηρῷ δέρματι πολλὰς καὶ μεγάλας ἐλέ-
-Z/1/614/5	γομεν φύεσθαι τρίχας, ὡς ὑπὲρ ἀνθρώπου δηλονότι ἢ ζῴου 
-Z/1/614/6	τριχωτοῦ τὸν λόγον, οὐχ ὑπὲρ ὀστρέων τε καὶ καρκίνων 
-Z/1/614/7	ποιούμενοι. διαπνεῖται μὲν γὰρ ἀεί τι καθ' ἕκαστον δέρμα 
-Z/1/614/8	[ὑπὸ] τοῦ θερμοῦ συναπάγοντος ἑαυτῷ τῆς ἔνδοθεν ὑγρό-
-Z/1/614/9	τητος οὐκ ὀλίγον. ἀλλ' ἐν οἷς μὲν ὑγρόν ἐστι τὸ δέρμα καὶ 
-Z/1/614/10	ἀκριβῶς μαλακόν, οἷος ὁ νεωστὶ πηγνύμενος τυρός, οὐχ 
-Z/1/614/11	ὑπομένουσιν αἱ τῶν διεκπεσόντων ὁδοί, τῶν τέως διεστηκό-
-Z/1/614/12	των αὐτοῦ μορίων αὖθις ἀλλήλοις ἑνουμένων· ἐν οἷς δ' ἤδη 
-Z/1/614/13	σκληρὸν ὑπάρχει πεπηγότι παραπλήσιον τυρῷ, κατατιτρᾶται 
-Z/1/614/14	μὲν ὑπὸ τῆς ῥύμης τῶν ἐξιόντων, ἑνωθῆναι δ' ὑπὸ ξηρό-
-Z/1/614/15	τητος οὐ δυνάμενον ὑπομένοντας ἴσχει τοὺς πόρους ἀεὶ καὶ 
-Z/1/614/16	μᾶλλον συριγγουμένους ταῖς συνεχέσι πληγαῖς τῶν διαρρεόν-
-Z/1/614/17	των. ἐὰν μὲν οὖν τὸ διαρρέον ἢ ἀτμὸς ἢ ὑγρὸν εἰλικρινὲς 
-Z/1/615/1	ᾖ, τῷ μὲν ἀτμῷ ταχεῖά τ' ἐστὶ καὶ ἀκώλυτος ἡ | φορά· 
-Z/1/615/2	τὸ δ' ὑγρὸν ἴσχεται πολλάκις ἐν τοῖς μικροτέροις πόροις 
-Z/1/615/3	καί τι καὶ παλινδρομεῖν αὖθις πρὸς τὸ βάθος ἀναγκάζεται. 
-Z/1/615/4	εἰ δ' οἷον αἰθαλώδης τε καὶ παχεῖα καὶ γεώδης ἡ ἀναθυ-
-Z/1/615/5	μίασις εἴη, κίνδυνος αὐτῇ πολλάκις ἐν ταῖς στεναῖς τῶν 
-Z/1/615/6	διεξόδων σφηνωθείσῃ μήτ' εἴσω ῥᾳδίως ὑπονοστεῖν ἔτι μήτε 
-Z/1/615/7	κενοῦσθαι δύνασθαι. ταύτην οὖν ἑτέρα τοιαύτη πάλιν ἐκ  
-Z/1/615/8	τοῦ βάθους ἀναφερομένη πλήττει τε καὶ ὠθεῖ πρόσω καὶ 
-Z/1/615/9	ταύτην αὖθις ἑτέρα κἀκείνην ἄλλη καὶ πολλὰς αἰθαλώδεις 
-Z/1/615/10	οὕτω μοι νόει σφηνουμένας ἐπ' ἀλλήλαις ἀναθυμιάσεις ἐν 
-Z/1/615/11	τῷ χρόνῳ περιπλέκεσθαί τε καὶ συνάπτεσθαι καί τι ποιεῖν 
-Z/1/615/12	ἓν σῶμα τοιοῦτον, οἷον ἐκτὸς ἡ λιγνύς ἐστι, πλὴν ὅσῳ 
[0057]  [009]  []  []

-Z/1/615/13	πεπύκνωται, τοσούτῳ καὶ ἀκριβῶς ἔσφιγκται τῇ τῆς διεξό-
-Z/1/615/14	δου στενότητι πιληθέν. ἐπειδὰν δὲ τὸν πόρον ἀποφράξῃ 
-Z/1/615/15	πάντα τὸ τοιοῦτον σῶμα, τοὐντεῦθεν ἤδη βιαίως πληττό-
-Z/1/615/16	μενον ὑπὸ τῶν ὁμοίων ἑαυτῷ περιττωμάτων οὐκ ἐχόντων 
-Z/1/615/17	διέξοδον ὠθεῖται πρόσω σύμπαν ἐν τῷδε, ὥστε καὶ προ-
-Z/1/615/18	κύπτειν ἀναγκάζεται τοῦ δέρματος ἱμαντῶδες ἤδη γεγονός. 
-Z/1/616/1	| ἔοικε δ' αὐτοῦ τὸ μὲν ἐν τῷ πόρῳ σφηνωθὲν οἷον ῥίζῃ 
-Z/1/616/2	τινὶ πόας ἢ φυτοῦ, τὸ δ' ἐξέχον ἤδη τοῦ δέρματος οἷόν-
-Z/1/616/3	περ αὐτὸ τὸ φυτόν. 
-Z/1/616/4	  Ἡ θρὶξ δ' ἐστὶ μέλαινα μέν, ὅταν ὑπὸ ῥώμης τοῦ θερ-
-Z/1/616/5	μοῦ συγκαυθείσης τῆς ἀναθυμιάσεως ἀκριβὴς λιγνὺς γένη-
-Z/1/616/6	ται τὸ περίττωμα, ξανθὴ δ', ὅταν ἧττον κατοπτηθῇ. ξανθῆς 
-Z/1/616/7	γὰρ χολῆς τηνικαῦτ' ἐστὶν ἰλυῶδες περίττωμα τὸ σφηνωθέν, 
-Z/1/616/8	οὐ μελαίνης. ἡ δὲ λευκὴ θρὶξ ἔκγονος φλέγματος, ἡ πυρρὰ 
-Z/1/616/9	δ', ὥσπερ τῇ χρόᾳ μεταξὺ ξανθῆς ἐστι καὶ λευκῆς, οὕτω 
-Z/1/616/10	καὶ τῇ γενέσει μεταξὺ φλεγματώδους τε καὶ χολώδους ἰλύος. 
-Z/1/616/11	οὖλαι δὲ τρίχες ἢ διὰ τὴν ξηρότητα τῆς κράσεως ἢ διὰ τὸν 
-Z/1/616/12	πόρον, ἐν ᾧ κατερρίζωνται, γίγνονται, διὰ μὲν τὴν ξηρότητα 
-Z/1/616/13	παραπλησίως ἱμᾶσι τοῖς ἐπὶ πλέον ὑπὸ πυρὸς ξηρανθεῖσι. 
-Z/1/616/14	καίτοι τί δεῖ τῶν ἱμάντων μνημονεύειν αὐτὰς τὰς τρίχας 
-Z/1/616/15	ὁρῶντας, εἰ πλησιάσειαν πυρί, παραχρῆμα διαστρεφομένας; 
-Z/1/616/16	οὕτω μὲν οὖν Αἰθίοπες ἅπαντες οὖλοι. τῇ δὲ τῶν πόρων 
-Z/1/616/17	ἐν οἷς ἐρρίζωνται φύσει κατὰ τάδε. πολλάκις μὲν ἡ ἀναθυ-
-Z/1/617/1	|μίασις εὐθυπορεῖν ὑπ' ἀρρωστίας ἀδυνατοῦσα, καθ' ὃν ἂν 
-Z/1/617/2	αὐτὴ τρόπον ἑλίττηται, καὶ τὸν πόρον οὕτως ἐτύπωσεν. 
-Z/1/617/3	ἐνίοτε δ' ἡ μὲν ἀναθυμίασις εὔρωστός ἐστιν, ὑπὸ δὲ τῆς 
-Z/1/617/4	τοῦ δέρματος φύσεως σκληροτέρας τοῦ προσήκοντος οὔσης  
-Z/1/617/5	εἰργομένη φέρεσθαι κατ' εὐθὺ πρὸς τὸ πλάγιον ἐπιστρέφεται, 
-Z/1/617/6	καθάπερ γε κἀκτὸς ἰδεῖν ἔστιν οὐ μόνον ἀτμὸν ἢ καπνὸν 
-Z/1/617/7	ἀλλὰ καὶ τὰς φλόγας αὐτάς, ὅταν ἀποκλεισθῶσι τῆς ἄνω 
-Z/1/617/8	φορᾶς, λοξὰς ἐφ' ἑκάτερα μέρη σχιζομένας. οὕτως οὖν καὶ 
-Z/1/617/9	ἡ ἐκ τοῦ σώματος ἀναθυμίασις, ὅταν εἰρχθῇ κατά τι καὶ 
-Z/1/617/10	κωλυθῇ φέρεσθαι πρόσω, λοξὴν ὑπὸ τὸ δέρμα διέξοδον 
-Z/1/617/11	ὁδοποιεῖται, μέχρι περ ἂν ἀθροισθεῖσα χρόνῳ πλείονι βιάση-
-Z/1/617/12	ταί τε καὶ ἀναπνεύσῃ πρὸς τοὐκτός. ἐνίοτε δ' ἅμ' ἀμφοῖν 
-Z/1/617/13	συνδραμόντων, ἀρρώστου τε τῆς πρώτης ἀναθυμιάσεως, ἣ 
-Z/1/617/14	τὸν πόρον ἐδημιούργησε, καὶ ξηροῦ τοῦ δέρματος, ἡ λοξότης 
-Z/1/617/15	γίγνεται ταῖς ῥίζαις τῶν τριχῶν. οἷαι δ' ἂν ἐν τῇ ῥιζώσει 
-Z/1/617/16	διαπλάττωνται, τοιαύτας εἰκὸς ὑπάρχειν αὐτὰς ἕως παντός. 
-Z/1/617/17	οὐδὲ γὰρ οὐδ' ἄλλο τι τῶν σκληρῶν καὶ ξηρῶν σωμάτων 
-Z/1/618/1	εὐθῦναι δυνατὸν | ἄνευ τοῦ μαλάξαι πρότερον. αὕτη μὲν 
-Z/1/618/2	οὖν ἡ γένεσις τῶν τριχῶν. 
-Z/1/618/3	  Ἐφεξῆς δ' ἂν εἴη λέγειν τὰς αἰτίας ἁπάντων τῶν συμ-
-Z/1/618/4	βεβηκότων ταῖς κράσεσιν ἐν ταῖς τῶν τριχῶν διαφοραῖς 
-Z/1/618/5	καθ' ἡλικίαν καὶ χώραν καὶ φύσιν σώματος. Αἰγύπτιοι μὲν 
-Z/1/618/6	οὖν καὶ Ἄραβες καὶ Ἰνδοὶ καὶ πᾶν τὸ ξηρὰν καὶ θερμὴν 
-Z/1/618/7	χώραν ἐποικοῦν ἔθνος μελαίνας τε καὶ δυσαυξεῖς καὶ ξηρὰς 
-Z/1/618/8	καὶ οὔλας καὶ κραύρας ἔχουσι τὰς τρίχας. ὅσοι δ' ἔμπαλιν 
-Z/1/618/9	τούτοις ὑγρὰν καὶ ψυχρὰν χώραν ἐποικοῦσιν, Ἰλλύριοί τε 
-Z/1/618/10	καὶ Γερμανοὶ καὶ Δαλμάται καὶ Σαυρομάται καὶ σύμπαν τὸ 
-Z/1/618/11	Σκυθικὸν εὐαυξεῖς μετρίως καὶ λεπτὰς καὶ εὐθείας καὶ 
-Z/1/618/12	πυρράς· ὅσοι δ' ἐν τῷ μεταξὺ τούτων εὔκρατον νέμονται 
-Z/1/618/13	γῆν, εὐαυξεστάτας τε καὶ ἰσχυροτάτας καὶ μελαίνας μετρίως 
-Z/1/618/14	καὶ παχείας συμμέτρως καὶ οὔτ' ἀκριβῶς οὔλας οὔτ' ἀκρι- 
-Z/1/618/15	βῶς εὐθείας. οὕτω δὲ κἀν ταῖς ἡλικίαις βρέφεσι μέν, οἷαί-
-Z/1/618/16	περ αἱ τῶν Γερμανῶν, ἀκμάζουσι δὲ [οἷαι] τοῖς Αἰθίοψιν, 
-Z/1/618/17	ἐφήβοις δὲ καὶ παισὶ τοῖς εὔκρατον ἐποικοῦσι γῆν ἔθνεσιν 
-Z/1/618/18	ἀνάλογον αἱ τρίχες ἔχουσιν ἰσχύος τε καὶ πάχους καὶ μεγέ-
-Z/1/618/19	θους καὶ χρόας. 
-Z/1/618/20	  Οὕτω δὲ καὶ κατ' αὐτὰς τῶν σωμάτων τὰς φύσεις 
-Z/1/619/1	| ἀνάλογον ἡλικίαις τε καὶ χώραις αἱ τρίχες διάκεινται. παῖ-
-Z/1/619/2	δες μὲν οἱ πάνυ σμικροὶ ψιλοὶ τριχῶν, ὅτι μήπω μήτε πόρος 
-Z/1/619/3	αὐτοῖς ἐστι μηδεὶς κατὰ τὸ δέρμα μήτε λιγνυώδη περιττώ-
-Z/1/619/4	ματα. προσάγοντες δὲ τῷ ἡβάσκειν ὑποφύουσι σμικρὰς καὶ 
-Z/1/619/5	ἀσθενεῖς, ἀκμάζοντες δ' ἰσχυροτέρας καὶ πολλὰς καὶ μεγάλας 
-Z/1/619/6	καὶ μελαίνας ἴσχουσιν, ὅτι τε πλῆθος ἤδη πόρων ἐν αὐτοῖς 
-Z/1/619/7	ἐγένετο καὶ ὅτι μεστοὶ τῶν αἰθαλωδῶν εἰσι περιττωμάτων 
-Z/1/619/8	ὑπὸ ξηρότητός τε καὶ θερμότητος· αἱ δ' ἐν τῇ κεφαλῇ τε 
-Z/1/619/9	καὶ ταῖς ὀφρύσι καὶ κατὰ τὰ βλέφαρα καὶ παισὶν οὖσιν 
-Z/1/619/10	ἡμῖν ὑπάρχουσιν ἤδη. γένεσις γὰρ δὴ ταύταις οὐχ οἵα ταῖς 
-Z/1/619/11	πόαις, ἀλλ' οἵα τοῖς φυτοῖς κατὰ πρῶτον λόγον ὑπὸ τῆς 
-Z/1/619/12	φύσεως ἀπειργασμέναις, οὐκ ἐξ ἀνάγκης ἑπομέναις ταῖς κρά-
-Z/1/619/13	σεσιν, ὡς κἀν τοῖς Περὶ χρείας μορίων δείκνυται. ἀλλά τοι 
-Z/1/619/14	κἀν ταῖσδε τὸ μὲν εἶναι διὰ τὴν τῆς φύσεως τέχνην, τὸ δ' 
-Z/1/619/15	ἤτοι μελαίναις ἢ πυρραῖς ἤ τιν' ἄλλην ἐχούσαις διαφορὰν 
-Z/1/619/16	ἐξ ἀνάγκης ἕπεται τῇ κράσει τῆς ἡλικίας. ὑπόπυρροι μὲν 
-Z/1/619/17	γάρ εἰσι τοὐπίπαν, ὅτι καὶ τὸ σφηνούμενον ἐν τοῖς πόροις 
-Z/1/620/1	οὐδέπω μέλαν | ἐστίν· ἥ τε γὰρ ὑγρότης πολλὴ καὶ ἡ διέξο-
-Z/1/620/2	δος ῥᾳδία καὶ ἡ σύγκαυσις ἀσθενής· εὐαυξεῖς δὲ καὶ πα-
-Z/1/620/3	χεῖαι συμμέτρως τῇ τῶν τρεφόντων αὐτὰς περιττωμάτων 
-Z/1/620/4	ἀφθονίᾳ. τὸ μὲν γὰρ μόριον αὐτὸ τοῦ σώματος, ἐν ᾧ 
-Z/1/620/5	γίγνονται, ξηρόν· ὅλον γὰρ τὸ κρανίον ὀστέϊνόν ἐστι· τὸ 
-Z/1/620/6	δὲ περικείμενον αὐτῷ δέρμα ξηρότερον τοσούτῳ τοῦ κατὰ 
-Z/1/620/7	τὸ λοιπὸν σῶμα δέρματος ἅπαντος, ὅσῳπερ καὶ σκληρότερον.  
-Z/1/620/8	ἀναφέρεται μέντοι πλῆθος οὐκ ὀλίγον ἔκ τε τῶν κατὰ τὸν 
-Z/1/620/9	ἐγκέφαλον, ἤδη δὲ κἀξ ὅλου τοῦ σώματος αἰθαλωδῶν περιττω-
-Z/1/620/10	μάτων, ὥσθ' οἷον τοῖς ἀκμάζουσιν ὅλον γίγνεται τὸ σῶμα, 
-Z/1/620/11	τοιοῦτον ἤδη τὸ δέρμα τῆς κεφαλῆς ἐστι τοῖς βρέφεσιν. 
-Z/1/620/12	  Εὐλόγως οὖν ἔνιοι φαλακροῦνται τοῦ χρόνου προϊόντος, 
-Z/1/620/13	οἷς ἐξ ἀρχῆς ἦν ξηρότερον τὸ δέρμα. δέδεικται γὰρ ἔμ-
-Z/1/620/14	προσθεν, ὡς τῶν γηρασκόντων ἅπαντα ξηραίνεται τὰ μόρια. 
-Z/1/620/15	γίγνεται δὲ πολλοῖς ὀστρακῶδες τὸ δέρμα πλέον ἢ δεῖ ξη-
-Z/1/620/16	ρανθέν. ἐν τοιούτῳ δ' οὐδὲν φύεσθαι δύναται, καθότι καὶ 
-Z/1/620/17	διὰ τῶν ἔμπροσθεν ὡμολόγηται. καὶ γὰρ δὴ καὶ τῶν χει-
-Z/1/621/1	ρῶν τὰ ἔνδον ὥσπερ γε καὶ τὰ κάτω τῶν ποδῶν | ἄτριχα 
-Z/1/621/2	καὶ ψιλὰ ξηρότητί τε καὶ πυκνότητι τοῦ κατ' αὐτὰ τένοντος, 
-Z/1/621/3	ὃς ὑποτέτακται τῷ δέρματι. ὅσοις δ' εἰς τέλος ξηρότητος 
-Z/1/621/4	οὐκ ἀφικνεῖται τὸ δέρμα τῆς κεφαλῆς, ἄρρωστοι τούτοις 
-Z/1/621/5	γίγνονται καὶ λευκαὶ πάντως αἱ τρίχες, ἃς ὀνομάζουσιν οἱ 
-Z/1/621/6	ἄνθρωποι πολιάς, ἄρρωστοι μὲν ἐνδείᾳ τῆς οἰκείας τροφῆς, 
-Z/1/621/7	λευκαὶ δέ, διότι καὶ τὸ τρέφον αὐτὰς τοιοῦτον οἷον εὐρώς 
-Z/1/621/8	τις φλέγματος ἐν χρόνῳ διασαπέντος. ὅταν γὰρ ὁ μὲν πόρος 
-Z/1/621/9	ἔτι μένῃ, τὸ περίττωμα δ' ὀλίγον ᾖ καὶ γλίσχρον, ἀρρώστως 
-Z/1/621/10	δ' ὑπὸ τῆς θερμασίας ὠθῆται πρόσω, πάσχει τι παραπλήσιον 
-Z/1/621/11	ἐν τῷδε σηπεδόνι καὶ δὴ φαλακροῦνται μὲν μᾶλλον τὸ βρέγμα 
-Z/1/621/12	γηρῶντες οἱ ἄνθρωποι, πολιοῦνται δὲ τοὺς κροτάφους μᾶλ-
-Z/1/621/13	λον, ὅτι τὸ μὲν ξηρότατόν ἐστι τῶν μορίων ἁπάντων τῆς 
-Z/1/621/14	κεφαλῆς· ἐπὶ γὰρ ὀστῷ τὸ δέρμα ταύτῃ ψιλῷ· οἱ κρόταφοι 
-Z/1/621/15	δ' ὑγρότεροι· μύες γὰρ ἐνταῦθ' εἰσὶν ὑπὸ τῷ δέρματι μεγά-
-Z/1/621/16	λοι, σαρκώδης δὲ πᾶς μῦς, ἡ δὲ σὰρξ ὀστοῦ καὶ δέρματος 
-Z/1/621/17	ὑγροτέρα. |  
-Z/1/622/1	  Ἀκριβῶς δὲ χρὴ προσέχειν τῷ λεγομένῳ τὸν 
-Z/1/622/2	νοῦν, ὅπως μὴ λάθωμεν ἡμᾶς αὐτοὺς παρακούσαντές τι 
-Z/1/622/3	καὶ σφαλέντες, οἷα δὴ πολλοὶ τῶν πάνυ δοκούντων ἀρίστων 
-Z/1/622/4	ἰατρῶν εἶναι σφάλλονται, εἴ τίς ἐστι φαλακρός, εὐθὺς τοῦ-
-Z/1/622/5	τον οἰόμενοι ξηρὰν ἔχειν ἅπαντος τοῦ σώματος τὴν κρᾶσιν. 
-Z/1/622/6	οὐ γὰρ δὴ ἁπλῶς οὕτως εἰκάζειν ἐχρῆν, ἀλλὰ διορίζεσθαι 
-Z/1/622/7	πρότερον ἄμεινον ἦν, ὡς τῶν ἀνθρώπων τὸ σῶμα τῶν μὲν 
-Z/1/622/8	ὁμαλῶς κέκραται σύμπαν, ἐνίων δὲ καὶ οὐκ ὀλίγων τούτων 
-Z/1/622/9	ἀνωμάλως διάκειται. τὰ μὲν γάρ τινα τῶν μορίων αὐτοῖς 
-Z/1/622/10	ὑγρότερα τοῦ συμμέτρου τε καὶ προσήκοντός ἐστι, τὰ δὲ 
-Z/1/622/11	ψυχρότερα, τὰ δὲ ξηρότερα, τὰ δὲ θερμότερα, τὰ δὲ καὶ 
[0057]  [009]  []  []

-Z/1/622/12	παντελῶς εὔκρατά τε καὶ σύμμετρα. δεῖ δὲ προσέχειν μά-
-Z/1/622/13	λιστα τούτῳ τὸν νοῦν, ἐπειδὰν ἐπισκέπτῃ σώματος κρᾶσιν. 
-Z/1/622/14	εἰ μὲν γὰρ ὁμαλῶς εὔρυθμον ὅλον ἐστὶν ἁπάσας τε τῶν 
-Z/1/622/15	μορίων ἀποσῶζον τὰς πρὸς ἄλληλα συμμετρίας ἐν μήκει καὶ 
-Z/1/622/16	πλάτει καὶ βάθει, δύναιτ' ἂν ὅλον ὁμοίως κεκρᾶσθαι τὸ 
-Z/1/622/17	τοιοῦτον. εἰ δέ τι σῶμα θώρακα μὲν ἔχει καὶ τράχηλον καὶ 
-Z/1/623/1	ὤμους μεγίστους, ἰσχνὰ δὲ καὶ σμικρὰ τὰ κατ' ὀσφὺν | καὶ 
-Z/1/623/2	σκέλη λεπτά, πῶς ἂν ὁμοίως εἴη τοῦτο διακείμενον ἅπασι 
-Z/1/623/3	τοῖς μορίοις; οὐ μὴν οὐδ' εἰ τὰ μὲν σκέλη παχέα καὶ τὰ 
-Z/1/623/4	κατ' ὀσφὺν εὐρέα, τὸν θώρακα δ' ἔχει στενόν, οὐδὲ τοῦτ' 
-Z/1/623/5	ἂν εἴη κεκραμένον ὁμαλῶς τοῖς μορίοις. ἕτερα δὲ σώματα 
-Z/1/623/6	μεγίστην ἔχει τὴν κεφαλήν, ἕτερα δὲ σμικράν, οἵανπερ οἱ 
-Z/1/623/7	στρουθοί. καὶ τοῖς σκέλεσι τὰ μὲν βλαισά, τὰ δὲ ῥαιβά, 
-Z/1/623/8	καὶ ἄκροις τοῖς κώλοις τὰ μὲν ἰσχνά, τὰ δὲ παχέα, καὶ 
-Z/1/623/9	θώραξ τοῖς μέν, ὡς εἴρηται πρόσθεν, εὐρύς, ἐνίοις δὲ στε-
-Z/1/623/10	νὸς οὕτως ὡς σανίς, οὓς δὴ καὶ σανιδώδεις ὀνομάζουσιν. 
-Z/1/623/11	ὅταν δὲ καὶ τὰ κατ' ὠμοπλάτας αὐτοῖς ἄσαρκα τελέως ᾖ  
-Z/1/623/12	καὶ γυμνὰ καὶ προπετῆ δίκην πτερύγων, ὀνομάζονται μὲν 
-Z/1/623/13	αἱ τοιαῦται φύσεις ὑπὸ τῶν ἰατρῶν πτερυγώδεις, εἰς ὅσον 
-Z/1/623/14	δ' ἥκουσι κακίας ἀπολωλεκότος τοῦ θώρακος ὀλίγου δεῖν 
-Z/1/623/15	ἅπασαν τὴν ἐντὸς εὐρυχωρίαν, ἐν ᾗ πνεύμων τε καὶ καρδία 
-Z/1/623/16	τέτακται, πρόδηλον παντί. μυρίαι δ' ἄλλαι τῶν τοῦ σώμα-
-Z/1/623/17	τός εἰσι μορίων προδήλως αἱ διαθέσεις, ὅταν ἐκτραπόμενον 
-Z/1/623/18	τῆς φυσικῆς ἀναλογίας εἰς ἀνώμαλόν τινα δυσκρασίαν εὐθὺς 
-Z/1/624/1	ἐν τῷ κυΐσκεσθαι μετα|πέσῃ. οὔκουν ἐπὶ τῶν τοιούτων ἐξ 
-Z/1/624/2	ἑνὸς χρὴ μορίου τεκμαίρεσθαι περὶ τοῦ παντός. 
-Z/1/624/3	  Οὐδὲ γὰρ οἱ φυσιογνωμονεῖν ἐπιχειροῦντες ἁπλῶς ἀπο-
-Z/1/624/4	φαίνονται περὶ πάντων, ἀλλ' ἐκ τῆς πείρας καὶ οἵδε διδα-
-Z/1/624/5	χθέντες. εἰ μέν τις ἱκανῶς εἴη δασὺς τὰ στέρνα, θυμικὸν 
-Z/1/624/6	ἀποφαίνονται, μηροὺς δ' εἴπερ εἴη τοιοῦτος, ἀφροδισιαστικόν· 
-Z/1/624/7	οὐ μὴν τήν γ' αἰτίαν προστιθέασιν. οὐδὲ γὰρ ὅτι λέοντι 
-Z/1/624/8	μὲν ἐμφερὴς τὰ στέρνα, τράγῳ δὲ τὰ κατὰ μηροὺς ἐπειδὰν 
-Z/1/624/9	φῶσι, τὴν πρώτην αἰτίαν ἐξευρήκασι. διὰ τί γὰρ ὁ μὲν 
-Z/1/624/10	λέων θυμικός, ὁ δὲ τράγος ἀφροδισιαστικός, ὁ λόγος ἐξευ-
-Z/1/624/11	ρεῖν ἐπιζητεῖ. μέχρι γὰρ τοῦδε τὸ μὲν γιγνόμενον εἰρήκασι, 
-Z/1/624/12	τὴν δ' αἰτίαν αὐτοῦ παραλελοίπασιν. ἀλλ' ὁ φυσικὸς ἀνὴρ 
-Z/1/624/13	ὥσπερ τῶν ἄλλων ἁπάντων οὕτω καὶ τὰς τούτων αἰτίας 
-Z/1/624/14	ἐξευρίσκειν ἐπιχειρεῖ. διότι γὰρ ἀνωμάλως διάκεινται κατὰ 
-Z/1/624/15	τὰς τῶν μορίων κράσεις οὐ λέων μόνον καὶ τράγος ἀλλὰ 
-Z/1/624/16	καὶ τῶν ἄλλων ζῴων πάμπολλα, διὰ τοῦτ' ἄλλα πρὸς ἄλλας 
-Z/1/624/17	ἐνεργείας ἑτοίμως ἔχει. περὶ μὲν δὴ τούτων Ἀριστοτέλει 
-Z/1/625/1	καλῶς ἐπὶ | πλεῖστον εἴρηται. τὸ δ' οὖν εἰς τὰ παρόντα 
-Z/1/625/2	χρήσιμον ἤδη φαίνεται, διότι χρὴ σκοπεῖσθαι τῶν ἀνθρώ-
-Z/1/625/3	πων τὰς κράσεις, ἕκαστον τῶν μορίων ἐξετάζοντα καθ' ἑαυτό, 
-Z/1/625/4	καὶ μὴ νομίζειν, εἴ τῳ δασὺς ὁ θώραξ, ὅλον ἐξ ἀνάγκης 
-Z/1/625/5	τούτῳ τὸ σῶμα ξηρότερόν τε καὶ θερμότερον ὑπάρχειν, ἀλλ'  
-Z/1/625/6	ἐν τῇ καρδίᾳ τὸ θερμὸν εἶναι πλεῖστον, διὸ καὶ θυμικόν· 
-Z/1/625/7	δύνασθαι δ' ἐνίοτε δι' αὐτὸ τοῦτο μὴ ὁμοίως ἅπαν αὐτοῖς 
