
[0086]  [035]  [Pol]  []

-Z//1252a/t	                {ΠΟΛΙΤΙΚΩΝ Α} 
-Z//1304a/8	δύο θυγατέρας, ὁ περιωσθεὶς καὶ οὐ λαβὼν τοῖς υἱέσιν αὑτοῦ 
-Z//1304a/9	Δέξανδρος ἦρξε τῆς στάσεως καὶ τοὺς Ἀθηναίους παρώξυνε, 
-Z//1304a/10	πρόξενος ὢν τῆς πόλεως. καὶ ἐν Φωκεῦσιν ἐξ ἐπικλήρου 
-Z//1304a/11	στάσεως γενομένης περὶ Μνασέαν τὸν Μνάσωνος πατέρα καὶ 
-Z//1304a/12	Εὐθυκράτη τὸν Ὀνομάρχου, ἡ στάσις αὕτη ἀρχὴ τοῦ ἱεροῦ 
-Z//1304a/13	πολέμου κατέστη τοῖς Φωκεῦσιν. μετέβαλε δὲ καὶ ἐν Ἐπι-
-Z//1304a/14	δάμνῳ ἡ πολιτεία ἐκ γαμικῶν· ὑπομνηστευσάμενος 
[0086]  [035]  [Pol]  []

-Z//1304a/15	γάρ τις, ὡς ἐζημίωσεν αὐτὸν ὁ τοῦ ὑπομνηστευθέντος 
-Z//1304a/16	πατήρ, γενόμενος τῶν ἀρχόντων, ἅτερος συμπαρέλαβε τοὺς 
-Z//1304a/17	ἐκτὸς τῆς πολιτείας ὡς ἐπηρεασθείς. 
-Z//1304a/17	                                  μεταβάλλουσι δὲ καὶ 
-Z//1304a/18	εἰς ὀλιγαρχίαν καὶ εἰς δῆμον καὶ εἰς πολιτείαν ἐκ τοῦ 
-Z//1304a/19	εὐδοκιμῆσαί τι ἢ αὐξηθῆναι ἢ ἀρχεῖον ἢ μόριον τῆς πό-
-Z//1304a/20	λεως, οἷον ἡ ἐν Ἀρείῳ πάγῳ βουλὴ εὐδοκιμήσασα ἐν τοῖς 
-Z//1304a/21	Μηδικοῖς ἔδοξε συντονωτέραν ποιῆσαι τὴν πολιτείαν, καὶ  
-Z//1304a/22	πάλιν ὁ ναυτικὸς ὄχλος γενόμενος αἴτιος τῆς περὶ Σαλα-
-Z//1304a/23	μῖνα νίκης καὶ διὰ ταύτης τῆς ἡγεμονίας διὰ τὴν κατὰ 
-Z//1304a/24	θάλατταν δύναμιν τὴν δημοκρατίαν ἰσχυροτέραν ἐποίησεν, 
-Z//1304a/25	καὶ ἐν Ἄργει οἱ γνώριμοι εὐδοκιμήσαντες περὶ τὴν ἐν 
-Z//1304a/26	Μαντινείᾳ μάχην τὴν πρὸς Λακεδαιμονίους ἐπεχείρησαν 
-Z//1304a/27	καταλύειν τὸν δῆμον, καὶ ἐν Συρακούσαις ὁ δῆμος αἴτιος 
-Z//1304a/28	γενόμενος τῆς νίκης τοῦ πολέμου τοῦ πρὸς Ἀθηναίους ἐκ πολι-
-Z//1304a/29	τείας εἰς δημοκρατίαν μετέβαλεν, καὶ ἐν Χαλκίδι Φόξον 
-Z//1304a/30	τὸν τύραννον μετὰ τῶν γνωρίμων ὁ δῆμος ἀνελὼν εὐθὺς 
-Z//1304a/31	εἴχετο τῆς πολιτείας, καὶ ἐν Ἀμβρακίᾳ πάλιν ὡσαύτως 
-Z//1304a/32	Περίανδρον συνεκβαλὼν τοῖς ἐπιθεμένοις ὁ δῆμος τὸν τύ-
-Z//1304a/33	ραννον εἰς ἑαυτὸν περιέστησε τὴν πολιτείαν. καὶ ὅλως δὴ 
-Z//1304a/34	δεῖ τοῦτο μὴ λανθάνειν, ὡς οἱ δυνάμεως αἴτιοι γενόμενοι, 
-Z//1304a/35	καὶ ἰδιῶται καὶ ἀρχαὶ καὶ φυλαὶ καὶ ὅλως μέρος καὶ πλῆθος 
-Z//1304a/36	ὁποιονοῦν, στάσιν κινοῦσιν· ἢ γὰρ οἱ τούτοις φθονοῦντες 
-Z//1304a/37	τιμωμένοις ἄρχουσι τῆς στάσεως, ἢ οὗτοι διὰ τὴν ὑπεροχὴν 
-Z//1304a/38	οὐ θέλουσι μένειν ἐπὶ τῶν ἴσων. κινοῦνται δ' αἱ πολιτεῖαι 
-Z//1304a/39	καὶ ὅταν τἀναντία εἶναι δοκοῦντα μέρη τῆς πόλεως ἰσάζῃ 
-Z//1304b/1	ἀλλήλοις, οἷον οἱ πλούσιοι καὶ ὁ δῆμος, μέσον δ' ᾖ μηθὲν 
-Z//1304b/2	ἢ μικρὸν πάμπαν· ἂν γὰρ πολὺ ὑπερέχῃ ὁποτερονοῦν τῶν 
-Z//1304b/3	μερῶν, πρὸς τὸ φανερῶς κρεῖττον τὸ λοιπὸν οὐ θέλει κινδυ-
-Z//1304b/4	νεύειν. διὸ καὶ οἱ κατ' ἀρετὴν διαφέροντες οὐ ποιοῦσι στάσιν 
-Z//1304b/5	ὡς εἰπεῖν· ὀλίγοι γὰρ γίγνονται πρὸς πολλούς. καθόλου μὲν 
-Z//1304b/6	οὖν περὶ πάσας τὰς πολιτείας αἱ ἀρχαὶ καὶ αἰτίαι τῶν 
-Z//1304b/7	στάσεων καὶ τῶν μεταβολῶν τοῦτον ἔχουσι τὸν τρόπον· κι-
-Z//1304b/8	νοῦσι δὲ τὰς πολιτείας ὁτὲ μὲν διὰ βίας ὁτὲ δὲ δι' ἀπάτης, 
-Z//1304b/9	διὰ βίας μὲν ἢ εὐθὺς ἐξ ἀρχῆς ἢ ὕστερον ἀναγκάζοντες. 
-Z//1304b/10	καὶ γὰρ ἡ ἀπάτη διττή. ὁτὲ μὲν γὰρ ἐξαπατήσαντες τὸ 
-Z//1304b/11	πρῶτον ἑκόντων μεταβάλλουσι τὴν πολιτείαν, εἶθ' ὕστερον  
-Z//1304b/12	βίᾳ κατέχουσιν ἀκόντων, οἷον ἐπὶ τῶν Τετρακοσίων τὸν δῆ-
-Z//1304b/13	μον ἐξηπάτησαν φάσκοντες τὸν βασιλέα χρήματα παρ-
-Z//1304b/14	έξειν πρὸς τὸν πόλεμον τὸν πρὸς Λακεδαιμονίους, ψευσά-
-Z//1304b/15	μενοι δὲ κατέχειν ἐπειρῶντο τὴν πολιτείαν· ὁτὲ δὲ ἐξ ἀρχῆς 
-Z//1304b/16	τε πείσαντες καὶ ὕστερον πάλιν πεισθέντων ἑκόντων ἄρχου-
-Z//1304b/17	σιν αὐτῶν. ἁπλῶς μὲν οὖν περὶ πάσας τὰς πολιτείας ἐκ 
-Z//1304b/18	τῶν εἰρημένων συμβέβηκε γίνεσθαι τὰς μεταβολάς. 
-Z//1304b/19	  Καθ' ἕκαστον δ' εἶδος πολιτείας ἐκ τούτων μερίζοντας 
-Z//1304b/20	τὰ συμβαίνοντα δεῖ θεωρεῖν. αἱ μὲν οὖν δημοκρατίαι μά-
-Z//1304b/21	λιστα μεταβάλλουσι διὰ τὴν τῶν δημαγωγῶν ἀσέλγειαν· 
-Z//1304b/22	τὰ μὲν γὰρ ἰδίᾳ συκοφαντοῦντες τοὺς τὰς οὐσίας ἔχοντας 
-Z//1304b/23	συστρέφουσιν αὐτούς (συνάγει γὰρ καὶ τοὺς ἐχθίστους ὁ κοινὸς 
-Z//1304b/24	φόβος), τὰ δὲ κοινῇ τὸ πλῆθος ἐπάγοντες. καὶ τοῦτο ἐπὶ 
-Z//1304b/25	πολλῶν ἄν τις ἴδοι γιγνόμενον οὕτω. καὶ γὰρ ἐν Κῷ ἡ 
-Z//1304b/26	δημοκρατία μετέβαλε πονηρῶν ἐγγενομένων δημαγωγῶν 
-Z//1304b/27	(οἱ γὰρ γνώριμοι συνέστησαν)· καὶ ἐν Ῥόδῳ· μισθοφοράν 
-Z//1304b/28	τε γὰρ οἱ δημαγωγοὶ ἐπόριζον, καὶ ἐκώλυον ἀποδιδόναι 
-Z//1304b/29	τὰ ὀφειλόμενα τοῖς τριηράρχοις, οἱ δὲ διὰ τὰς ἐπιφερο-
-Z//1304b/30	μένας δίκας ἠναγκάσθησαν συστάντες καταλῦσαι τὸν δῆ-
-Z//1304b/31	μον. κατελύθη δὲ καὶ ἐν Ἡρακλείᾳ ὁ δῆμος μετὰ τὸν 
-Z//1304b/32	ἀποικισμὸν εὐθὺς διὰ τοὺς δημαγωγούς· ἀδικούμενοι γὰρ 
-Z//1304b/33	ὑπ' αὐτῶν οἱ γνώριμοι ἐξέπιπτον, ἔπειτα ἀθροισθέντες οἱ 
-Z//1304b/34	ἐκπίπτοντες καὶ κατελθόντες κατέλυσαν τὸν δῆμον. παρα-
-Z//1304b/35	πλησίως δὲ καὶ ἡ ἐν Μεγάροις κατελύθη δημοκρατία· οἱ 
-Z//1304b/36	γὰρ δημαγωγοί, ἵνα χρήματα ἔχωσι δημεύειν, ἐξέβαλον 
-Z//1304b/37	πολλοὺς τῶν γνωρίμων, ἕως πολλοὺς ἐποίησαν τοὺς φεύγον-
-Z//1304b/38	τας, οἱ δὲ κατιόντες ἐνίκησαν μαχόμενοι τὸν δῆμον καὶ 
-Z//1304b/39	κατέστησαν τὴν ὀλιγαρχίαν. συνέβη δὲ ταὐτὸν καὶ περὶ 
-Z//1305a/1	Κύμην ἐπὶ τῆς δημοκρατίας ἣν κατέλυσε Θρασύμαχος. 
-Z//1305a/2	σχεδὸν δὲ καὶ ἐπὶ τῶν ἄλλων ἄν τις ἴδοι θεωρῶν τὰς μετα- 
-Z//1305a/3	βολὰς τοῦτον ἐχούσας τὸν τρόπον. ὁτὲ μὲν γάρ, ἵνα 
-Z//1305a/4	χαρίζωνται, ἀδικοῦντες τοὺς γνωρίμους συνιστᾶσιν, ἢ τὰς οὐσίας 
-Z//1305a/5	ἀναδάστους ποιοῦντες ἢ τὰς προσόδους ταῖς λειτουργίαις, ὁτὲ δὲ 
-Z//1305a/6	διαβάλλοντες, ἵν' ἔχωσι δημεύειν τὰ κτήματα τῶν πλου-
-Z//1305a/7	σίων. 
-Z//1305a/7	      ἐπὶ δὲ τῶν ἀρχαίων, ὅτε γένοιτο ὁ αὐτὸς δημαγω-
-Z//1305a/8	γὸς καὶ στρατηγός, εἰς τυραννίδα μετέβαλλον· σχεδὸν γὰρ 
-Z//1305a/9	οἱ πλεῖστοι τῶν ἀρχαίων τυράννων ἐκ δημαγωγῶν γεγόνα-
-Z//1305a/10	σιν. αἴτιον δὲ τοῦ τότε μὲν γίγνεσθαι νῦν δὲ μή, ὅτι τότε 
-Z//1305a/11	μὲν οἱ δημαγωγοὶ ἦσαν ἐκ τῶν στρατηγούντων (οὐ γάρ 
-Z//1305a/12	πω δεινοὶ ἦσαν λέγειν), νῦν δὲ τῆς ῥητορικῆς ηὐξημένης οἱ 
-Z//1305a/13	δυνάμενοι λέγειν δημαγωγοῦσι μέν, δι' ἀπειρίαν δὲ τῶν 
-Z//1305a/14	πολεμικῶν οὐκ ἐπιτίθενται, πλὴν εἴ που βραχύ τι γέγονε 
-Z//1305a/15	τοιοῦτον. ἐγίγνοντο δὲ τυραννίδες πρότερον μᾶλλον ἢ νῦν 
-Z//1305a/16	καὶ διὰ τὸ μεγάλας ἀρχὰς ἐγχειρίζεσθαί τισιν, ὥσπερ 
-Z//1305a/17	ἐν Μιλήτῳ ἐκ τῆς πρυτανείας (πολλῶν γὰρ ἦν καὶ με-
-Z//1305a/18	γάλων κύριος ὁ πρύτανις). ἔτι δὲ διὰ τὸ μὴ μεγάλας 
-Z//1305a/19	εἶναι τότε τὰς πόλεις, ἀλλ' ἐπὶ τῶν ἀγρῶν οἰκεῖν τὸν 
-Z//1305a/20	δῆμον ἄσχολον ὄντα πρὸς τοῖς ἔργοις, οἱ προστάται τοῦ 
-Z//1305a/21	δήμου, ὅτε πολεμικοὶ γένοιντο, τυραννίδι ἐπετίθεντο. πάντες 
-Z//1305a/22	δὲ τοῦτο ἔδρων ὑπὸ τοῦ δήμου πιστευθέντες, ἡ δὲ πίστις ἦν ἡ 
-Z//1305a/23	ἀπέχθεια ἡ πρὸς τοὺς πλουσίους, οἷον Ἀθήνησί τε Πεισίστρα-
-Z//1305a/24	τος στασιάσας πρὸς τοὺς πεδιακούς, καὶ Θεαγένης ἐν Μεγά-
-Z//1305a/25	ροις τῶν εὐπόρων τὰ κτήνη ἀποσφάξας, λαβὼν παρὰ τὸν 
-Z//1305a/26	ποταμὸν ἐπινέμοντας, καὶ Διονύσιος κατηγορῶν Δαφναίου 
-Z//1305a/27	καὶ τῶν πλουσίων ἠξιώθη τῆς τυραννίδος, διὰ τὴν ἔχθραν 
-Z//1305a/28	πιστευθεὶς ὡς δημοτικὸς ὤν. μεταβάλλουσι δὲ καὶ ἐκ τῆς 
-Z//1305a/29	πατρίας δημοκρατίας εἰς τὴν νεωτάτην· ὅπου γὰρ αἱρεταὶ 
-Z//1305a/30	μὲν αἱ ἀρχαί, μὴ ἀπὸ τιμημάτων δέ, αἱρεῖται δὲ ὁ δῆ-
-Z//1305a/31	μος, δημαγωγοῦντες οἱ σπουδαρχιῶντες εἰς τοῦτο καθιστᾶσιν 
-Z//1305a/32	ὥστε κύριον εἶναι τὸν δῆμον καὶ τῶν νόμων. ἄκος δὲ τοῦ  
-Z//1305a/33	μὴ γίγνεσθαι ἢ τοῦ γίγνεσθαι ἧττον τὸ τὰς φυλὰς φέρειν τοὺς 
-Z//1305a/34	ἄρχοντας, ἀλλὰ μὴ πάντα τὸν δῆμον. τῶν μὲν οὖν δημο-
-Z//1305a/35	κρατιῶν αἱ μεταβολαὶ γίγνονται πᾶσαι σχεδὸν διὰ ταύ-
-Z//1305a/36	τας τὰς αἰτίας. 
-Z//1305a/37	  Αἱ δ' ὀλιγαρχίαι μεταβάλλουσι [διὰ] δύο μάλιστα τρό-
-Z//1305a/38	πους τοὺς φανερωτάτους. ἕνα μὲν ἐὰν ἀδικῶσι τὸ πλῆθος· 
-Z//1305a/39	πᾶς γὰρ ἱκανὸς γίνεται προστάτης, μάλιστα δ' ὅταν ἐξ 
-Z//1305a/40	αὐτῆς συμβῇ τῆς ὀλιγαρχίας γίνεσθαι τὸν ἡγεμόνα, καθ-
-Z//1305a/41	άπερ ἐν Νάξῳ Λύγδαμις, ὃς καὶ ἐτυράννησεν ὕστερον τῶν 
-Z//1305b/1	Ναξίων. ἔχει δὲ καὶ ἡ ἐξ ἄλλων ἀρχὴ στάσεως δια-
-Z//1305b/2	φοράς. ὁτὲ μὲν γὰρ ἐξ αὐτῶν τῶν εὐπόρων, οὐ τῶν ὄντων 
-Z//1305b/3	δ' ἐν ταῖς ἀρχαῖς, γίγνεται κατάλυσις, ὅταν ὀλίγοι σφό-
-Z//1305b/4	δρα ὦσιν οἱ ἐν ταῖς τιμαῖς, οἷον ἐν Μασσαλίᾳ καὶ ἐν 
-Z//1305b/5	Ἴστρῳ καὶ ἐν Ἡρακλείᾳ καὶ ἐν ἄλλαις πόλεσι συμβέβη-
-Z//1305b/6	κεν· οἱ γὰρ μὴ μετέχοντες τῶν ἀρχῶν ἐκίνουν, ἕως μετ-
-Z//1305b/7	έλαβον οἱ πρεσβύτεροι πρότερον τῶν ἀδελφῶν, ὕστερον δ' 
-Z//1305b/8	οἱ νεώτεροι πάλιν· οὐ γὰρ ἄρχουσιν ἐνιαχοῦ μὲν ἅμα πα-
-Z//1305b/9	τήρ τε καὶ υἱός, ἐνιαχοῦ δὲ ὁ πρεσβύτερος καὶ ὁ νεώτερος 
-Z//1305b/10	ἀδελφός· καὶ ἔνθα μὲν πολιτικωτέρα ἐγένετο ἡ ὀλιγαρχία, 
-Z//1305b/11	ἐν Ἴστρῳ δ' εἰς δῆμον ἀπετελεύτησεν, ἐν Ἡρακλείᾳ δ' ἐξ 
-Z//1305b/12	ἐλαττόνων εἰς ἑξακοσίους ἦλθεν· μετέβαλε δὲ καὶ ἐν Κνίδῳ 
-Z//1305b/13	ἡ ὀλιγαρχία στασιασάντων τῶν γνωρίμων αὐτῶν πρὸς αὑτοὺς 
-Z//1305b/14	διὰ τὸ ὀλίγους μετέχειν καί, καθάπερ εἴρηται, εἰ πατήρ, 
-Z//1305b/15	υἱὸν μὴ μετέχειν, μηδ' εἰ πλείους ἀδελφοί, ἀλλ' ἢ τὸν 
-Z//1305b/16	πρεσβύτατον· ἐπιλαβόμενος γὰρ στασιαζόντων ὁ δῆμος, καὶ 
-Z//1305b/17	λαβὼν προστάτην ἐκ τῶν γνωρίμων, ἐπιθέμενος ἐκράτησεν, 
[0086]  [035]  [Pol]  []

-Z//1305b/18	ἀσθενὲς γὰρ τὸ στασιάζον· καὶ ἐν Ἐρυθραῖς δὲ ἐπὶ τῆς 
-Z//1305b/19	τῶν Βασιλιδῶν ὀλιγαρχίας ἐν τοῖς ἀρχαίοις χρόνοις, καί- 
-Z//1305b/20	περ καλῶς ἐπιμελομένων τῶν ἐν τῇ πολιτείᾳ, ὅμως διὰ 
-Z//1305b/21	τὸ ὑπ' ὀλίγων ἄρχεσθαι ἀγανακτῶν ὁ δῆμος μετέβαλε 
-Z//1305b/22	τὴν πολιτείαν. 
-Z//1305b/22	              κινοῦνται δ' αἱ ὀλιγαρχίαι ἐξ αὑτῶν καὶ 
-Z//1305b/23	διὰ φιλονεικίαν δημαγωγούντων (ἡ δημαγωγία δὲ διττή, 
-Z//1305b/24	ἡ μὲν ἐν αὐτοῖς τοῖς ὀλίγοις—ἐγγίγνεται γὰρ δημαγωγὸς 
-Z//1305b/25	κἂν πάνυ ὀλίγοι ὦσιν, οἷον ἐν τοῖς Τριάκοντα Ἀθήνησιν οἱ 
-Z//1305b/26	περὶ Χαρικλέα ἴσχυσαν τοὺς Τριάκοντα δημαγωγοῦντες, καὶ 
-Z//1305b/27	ἐν τοῖς Τετρακοσίοις οἱ περὶ Φρύνιχον τὸν αὐτὸν τρόπον— 
-Z//1305b/28	ἢ ὅταν τὸν ὄχλον δημαγωγῶσιν οἱ ἐν τῇ ὀλιγαρχίᾳ ὄντες, 
-Z//1305b/29	οἷον ἐν Λαρίσῃ οἱ πολιτοφύλακες διὰ τὸ αἱρεῖσθαι αὐτοὺς 
-Z//1305b/30	τὸν ὄχλον ἐδημαγώγουν, καὶ ἐν ὅσαις ὀλιγαρχίαις οὐχ οὗτοι 
-Z//1305b/31	αἱροῦνται τὰς ἀρχὰς ἐξ ὧν οἱ ἄρχοντές εἰσιν, ἀλλ' αἱ μὲν 
-Z//1305b/32	ἀρχαὶ ἐκ τιμημάτων μεγάλων εἰσὶν ἢ ἑταιριῶν, αἱροῦνται 
-Z//1305b/33	δ' οἱ ὁπλῖται ἢ ὁ δῆμος, ὅπερ ἐν Ἀβύδῳ συνέβαινεν, καὶ 
-Z//1305b/34	ὅπου τὰ δικαστήρια μὴ ἐκ τοῦ πολιτεύματός ἐστι—δημαγω-
-Z//1305b/35	γοῦντες γὰρ πρὸς τὰς κρίσεις μεταβάλλουσι τὴν πολιτείαν, 
-Z//1305b/36	ὅπερ καὶ ἐν Ἡρακλείᾳ ἐγένετο τῇ ἐν τῷ Πόντῳ—ἔτι δ' 
-Z//1305b/37	ὅταν ἔνιοι εἰς ἐλάττους ἕλκωσι τὴν ὀλιγαρχίαν· οἱ γὰρ τὸ 
-Z//1305b/38	ἴσον ζητοῦντες ἀναγκάζονται βοηθὸν ἐπαγαγέσθαι τὸν δῆ-
-Z//1305b/39	μον). γίνονται δὲ μεταβολαὶ τῆς ὀλιγαρχίας καὶ ὅταν 
-Z//1305b/40	ἀναλώσωσι τὰ ἴδια ζῶντες ἀσελγῶς· καὶ γὰρ οἱ τοιοῦτοι 
-Z//1305b/41	καινοτομεῖν ζητοῦσι, καὶ ἢ τυραννίδι ἐπιτίθενται αὐτοὶ ἢ 
-Z//1306a/1	κατασκευάζουσιν ἕτερον (ὥσπερ Ἱππαρῖνος Διονύσιον ἐν Συ-
-Z//1306a/2	ρακούσαις, καὶ ἐν Ἀμφιπόλει ᾧ ὄνομα ἦν Κλεότιμος τοὺς 
-Z//1306a/3	ἐποίκους τοὺς Χαλκιδέων ἤγαγε, καὶ ἐλθόντων διεστασίασεν 
-Z//1306a/4	αὐτοὺς πρὸς τοὺς εὐπόρους, καὶ ἐν Αἰγίνῃ ὁ τὴν πρᾶξιν τὴν 
-Z//1306a/5	πρὸς Χάρητα πράξας ἐνεχείρησε μεταβαλεῖν τὴν πολιτείαν  
-Z//1306a/6	διὰ τοιαύτην αἰτίαν)· ὁτὲ μὲν οὖν εὐθὺς ἐπιχειροῦσί τι κινεῖν, 
-Z//1306a/7	ὁτὲ δὲ κλέπτουσι τὰ κοινά, ὅθεν στασιάζουσιν ἢ οὗτοι πρὸς 
-Z//1306a/8	αὑτοὺς ἢ οἱ πρὸς τούτους μαχόμενοι κλέπτοντας, ὅπερ ἐν 
-Z//1306a/9	Ἀπολλωνίᾳ συνέβη τῇ ἐν τῷ Πόντῳ. ὁμονοοῦσα δὲ ὀλιγαρ-
-Z//1306a/10	χία οὐκ εὐδιάφθορος ἐξ αὑτῆς. σημεῖον δὲ ἡ ἐν Φαρσά-
-Z//1306a/11	λῳ πολιτεία· ἐκεῖνοι γὰρ ὀλίγοι ὄντες πολλῶν κύριοί εἰσι 
-Z//1306a/12	διὰ τὸ χρῆσθαι σφίσιν αὐτοῖς καλῶς. 
-Z//1306a/12	                                        καταλύονται δὲ 
-Z//1306a/13	καὶ ὅταν ἐν τῇ ὀλιγαρχίᾳ ἑτέραν ὀλιγαρχίαν ἐμποιῶσιν. 
-Z//1306a/14	τοῦτο δ' ἐστὶν ὅταν τοῦ παντὸς πολιτεύματος ὀλίγου ὄντος τῶν 
-Z//1306a/15	μεγίστων ἀρχῶν μὴ μετέχωσιν οἱ ὀλίγοι πάντες, ὅπερ ἐν 
-Z//1306a/16	Ἤλιδι συνέβη ποτέ· τῆς πολιτείας γὰρ δι' ὀλίγων οὔσης 
-Z//1306a/17	τῶν γερόντων ὀλίγοι πάμπαν ἐγίνοντο διὰ τὸ ἀιδίους εἶναι 
-Z//1306a/18	ἐνενήκοντα ὄντας, τὴν δ' αἵρεσιν δυναστευτικὴν εἶναι καὶ 
-Z//1306a/19	ὁμοίαν τῇ τῶν ἐν Λακεδαίμονι γερόντων. γίγνεται δὲ μετα-
-Z//1306a/20	βολὴ τῶν ὀλιγαρχιῶν καὶ ἐν πολέμῳ καὶ ἐν εἰρήνῃ, 
-Z//1306a/21	ἐν μὲν πολέμῳ διὰ τὴν πρὸς τὸν δῆμον ἀπιστίαν στρατιώ-
-Z//1306a/22	ταις ἀναγκαζομένων χρῆσθαι (ᾧ γὰρ ἂν ἐγχειρίσωσιν, 
-Z//1306a/23	οὗτος πολλάκις γίνεται τύραννος, ὥσπερ ἐν Κορίνθῳ Τιμο-
-Z//1306a/24	φάνης· ἂν δὲ πλείους, οὗτοι αὑτοῖς περιποιοῦνται δυνα-
-Z//1306a/25	στείαν· ὁτὲ δὲ ταῦτα δεδιότες μεταδιδόασι τῷ πλήθει τῆς 
-Z//1306a/26	πολιτείας διὰ τὸ ἀναγκάζεσθαι τῷ δήμῳ χρῆσθαι)· ἐν δὲ 
-Z//1306a/27	τῇ εἰρήνῃ διὰ τὴν ἀπιστίαν τὴν πρὸς ἀλλήλους ἐγχειρί-
-Z//1306a/28	ζουσι τὴν φυλακὴν στρατιώταις καὶ ἄρχοντι μεσιδίῳ, ὃς 
-Z//1306a/29	ἐνίοτε γίνεται κύριος ἀμφοτέρων, ὅπερ συνέβη ἐν Λαρίσῃ 
-Z//1306a/30	ἐπὶ τῆς τῶν Ἀλευαδῶν ἀρχῆς τῶν περὶ Σῖμον, καὶ ἐν 
-Z//1306a/31	Ἀβύδῳ ἐπὶ τῶν ἑταιριῶν ὧν ἦν μία ἡ Ἰφιάδου.  
-Z//1306a/31	                                                γίνονται 
-Z//1306a/32	δὲ στάσεις καὶ ἐκ τοῦ περιωθεῖσθαι ἑτέρους ὑφ' ἑτέρων τῶν 
-Z//1306a/33	ἐν τῇ ὀλιγαρχίᾳ αὐτῶν καὶ καταστασιάζεσθαι κατὰ γά-
-Z//1306a/34	μους ἢ δίκας, οἷον ἐκ γαμικῆς μὲν αἰτίας αἱ εἰρημέναι 
-Z//1306a/35	πρότερον (καὶ τὴν ἐν Ἐρετρίᾳ δ' ὀλιγαρχίαν τὴν τῶν ἱπ-
-Z//1306a/36	πέων Διαγόρας κατέλυσεν ἀδικηθεὶς περὶ γάμον), ἐκ 
-Z//1306a/37	δὲ δικαστηρίου κρίσεως ἡ ἐν Ἡρακλείᾳ στάσις ἐγένετο καὶ 〈ἡ〉 ἐν 
-Z//1306a/38	Θήβαις, ἐπ' αἰτίᾳ μοιχείας δικαίως μὲν στασιαστικῶς δὲ 
-Z//1306a/39	ποιησαμένων τὴν κόλασιν τῶν μὲν ἐν Ἡρακλείᾳ κατ' Εὐρυ-
-Z//1306b/1	τίωνος, τῶν δ' ἐν Θήβαις κατ' Ἀρχίου (ἐφιλονείκησαν γὰρ 
-Z//1306b/2	αὐτοῖς οἱ ἐχθροὶ ὥστε δεθῆναι ἐν ἀγορᾷ ἐν τῷ κύφωνι). 
-Z//1306b/3	πολλαὶ δὲ καὶ διὰ τὸ ἄγαν δεσποτικὰς εἶναι τὰς ὀλιγαρ-
-Z//1306b/4	χίας ὑπὸ τῶν ἐν τῇ πολιτείᾳ τινῶν δυσχερανάντων κατ-
-Z//1306b/5	ελύθησαν, ὥσπερ ἡ ἐν Κνίδῳ καὶ ἡ ἐν Χίῳ ὀλιγαρχία. 
-Z//1306b/6	γίγνονται δὲ καὶ ἀπὸ συμπτώματος μεταβολαὶ καὶ τῆς 
-Z//1306b/7	καλουμένης πολιτείας καὶ τῶν ὀλιγαρχιῶν ἐν ὅσαις ἀπὸ 
-Z//1306b/8	τιμήματος βουλεύουσι καὶ δικάζουσι καὶ τὰς ἄλλας ἀρχὰς 
-Z//1306b/9	ἄρχουσιν. πολλάκις γὰρ ὅταν ταχθῇ πρῶτον τίμημα πρὸς 
-Z//1306b/10	τοὺς παρόντας καιρούς, ὥστε μετέχειν ἐν μὲν τῇ ὀλιγαρχίᾳ 
-Z//1306b/11	ὀλίγους ἐν δὲ τῇ πολιτείᾳ τοὺς μέσους, εὐετηρίας γιγνομένης 
-Z//1306b/12	δι' εἰρήνην ἢ δι' ἄλλην τιν' εὐτυχίαν συμβαίνει πολλαπλα-
-Z//1306b/13	σίου γίγνεσθαι τιμήματος ἀξίας τὰς αὐτὰς κτήσεις, ὥστε 
-Z//1306b/14	πάντας πάντων μετέχειν, ὁτὲ μὲν ἐκ προσαγωγῆς καὶ 
-Z//1306b/15	κατὰ μικρὸν γινομένης τῆς μεταβολῆς καὶ λανθανούσης, 
-Z//1306b/16	ὁτὲ δὲ καὶ θᾶττον. αἱ μὲν οὖν ὀλιγαρχίαι μεταβάλλουσι 
-Z//1306b/17	καὶ στασιάζουσι διὰ τοιαύτας αἰτίας (ὅλως δὲ καὶ αἱ δημο-
-Z//1306b/18	κρατίαι καὶ αἱ ὀλιγαρχίαι ἐξίστανται ἐνίοτε οὐκ εἰς τὰς  
-Z//1306b/19	ἐναντίας πολιτείας ἀλλ' εἰς τὰς ἐν τῷ αὐτῷ γένει, οἷον 
-Z//1306b/20	ἐκ τῶν ἐννόμων δημοκρατιῶν καὶ ὀλιγαρχιῶν εἰς τὰς κυ-
-Z//1306b/21	ρίους καὶ ἐκ τούτων εἰς ἐκείνας). 
-Z//1306b/22	  Ἐν δὲ ταῖς ἀριστοκρατίαις γίνονται αἱ στάσεις αἱ μὲν 
-Z//1306b/23	διὰ τὸ ὀλίγους τῶν τιμῶν μετέχειν, ὅπερ εἴρηται κινεῖν καὶ 
-Z//1306b/24	τὰς ὀλιγαρχίας, διὰ τὸ καὶ τὴν ἀριστοκρατίαν ὀλιγαρχίαν 
-Z//1306b/25	εἶναί πως (ἐν ἀμφοτέραις γὰρ ὀλίγοι οἱ ἄρχοντες, οὐ μέν-
