
[0057]  [050]  []  []

-Z/7/513/t	{ΓΑΛΗΝΟΥ ΠΕΡΙ ΠΛΗΘΟΥΣ ΒΙΒΛΙΟΝ.} 
-Z/7/537/3	διαζευκτικῶς εἰσιν. ἐκ μὲν δὴ τῶν εἰρημένων εὔδηλον, ὡς 
-Z/7/537/4	ὅστις βούλεται διαγνωστικὸς εἶναι πληθωρικοῦ μορίου, τοῦ-
-Z/7/537/5	τον τῶν τε διοικουσῶν ἡμᾶς δυνάμεων ἐπιστήμην ἔχειν ἀναγ-
-Z/7/537/6	καῖόν ἐστιν, ἀνατομῆς τε καὶ φύσεως ἁπάντων ἀκριβῶς τῶν 
-Z/7/537/7	τοῦ ζώου μορίων· ἐκ τούτου γὰρ ὁρμώμενος ἴσως ἄν ποτε 
-Z/7/537/8	ἐξεύροιτο σημεῖα μορίου πληθωρικοῦ. 
-Z/7/537/9	  Εἰ δέ τις ἀληθείας μὲν οὐ πεφρόντικεν, 
-Z/7/537/10	ἐξαπατᾷν δὲ βούλεται τοὺς πέλας, ὅτι εἴη γνούς τι σοφὸν, 
-Z/7/537/11	ἕτοιμεν τούτῳ, κᾂν εἰ μηδὲν ἄλλο, τὰ γοῦν Ἐρασιστράτου 
-Z/7/537/12	κατὰ τὸ πρῶτον ὑγιεινῶν αὐτὸν μαθεῖν· ἐν ἄλλῳ μὲν γὰρ 
-Z/7/537/13	οὐδὲ ἐπεχείρησε πλήθους εἰπεῖν σημεῖα. προσχῶμεν οὖν αὐ-
-Z/7/537/14	τοῦ τοῖς ῥήμασι, πρῶτον μὲν ἐν οἷς ἥ τίς ποτέ ἐστιν ἡ γένε-
-Z/7/537/15	σις τῆς πληθώρας φησὶν, οὕτως γὰρ αὐτὸς ὀνομάζει 
-Z/7/537/16	τὸ κατὰ τὰς φλέβας πλῆθος, εἶθ' ἑξῆς ἐν οἷς τὰ σημεῖα τῆς 
-Z/7/537/17	διαγνώσεως ἐξηγεῖται. ἡ μέντοι γένεσις αὐτῷ τοιάδε. τῆς 
-Z/7/537/18	γὰρ ἀναδιδομένης τροφῆς μήτε καταπεττομένης, μήτε ἐκπο- 
-Z/7/538/1	νουμένης κατὰ τὸ εἰθισμένον ἑκάστῳ, μήτε ἄλλως πως ἐκκρι-
-Z/7/538/2	νομένης, ἀναγκαῖον ἦ πληροῦσθαι τὰ ἀγγεῖα, τῆς πέψεως 
-Z/7/538/3	καὶ τῆς ἀναδόσεως (καὶ) τὰς κατ' αὐτὰς ἐνεργείας ἀποδιδου-
-Z/7/538/4	σῶν. καὶ τῆς μὲν προϋπαρχούσης τροφῆς ἐν τοῖς ἀγγείοις 
-Z/7/538/5	οὐδαμῶς καταναλισκομένης, τῆς δ' ἀπὸ τῶν προσφερομένων 
-Z/7/538/6	ἐπιγιγνομένης, τὰ ἐν τῷ σώματι ἀγγεῖα καὶ ἐπὶ πλέον διατεί-
-Z/7/538/7	νεται. ὅταν δὲ μηκέτι ἐπίσαξιν ἐπιδέχηται τὰ ἀγγεῖα, ἐπιφέ-
-Z/7/538/8	ρηται δὲ ἐκ τῆς κοιλίας ἑτέρα τροφὴ, ὁρμὴν λαμβάνει τὰ 
-Z/7/538/9	ὑπάρχοντα εἰς τὰ παρακείμενα τοῦ πνεύματος ἀγγεῖα. ἔκ τε 
-Z/7/538/10	οὖν τούτου δῆλον, ὅτι περὶ τοῦ κατὰ τὸ ἔγχυμα διαλέγεται 
-Z/7/538/11	πλήθους, ἔκ τε τοῦ καλεῖν αὐτὸ πληθώραν ἰδίως· τοῦτο γὰρ 
-Z/7/538/12	τὸ πάθος ὀνομάζεται πληθώρα μόνον, οὐ τὸ ἕτερον, ὃ πρὸς 
-Z/7/538/13	τὴν δύναμιν κρίνεται. μικρὸν δὲ διελθὼν ὑπὲρ τῆς διαγνώ-
-Z/7/538/14	σεως αὐτοῦ, τάδε γράφει. δεῖ οὖν, καθάπερ εἴρηται, πει-
-Z/7/538/15	ρᾶσθαι διαγινώσκειν τὴν κατὰ πληθώραν διάθεσιν. κατ' 
-Z/7/538/16	ἀρχὰς μὲν οὖν αὐτῆς μετρίως πληρουμένων τῶν ἀγγείων, 
-Z/7/538/17	εὐτονώτεροί τε καὶ ἰσχυρότεροι ἑαυτῶν φαίνονται παρὰ τὸ 
-Z/7/538/18	εἰθισμένον· ἐπιπλέον δὲ πληρώσεως ἐρχομένων, παρεμπί- 
-Z/7/539/1	πλανται βραχίονές τε καὶ κνῆμαι καὶ χεῖρες, ὥσπερ τοῖς ἀπὸ 
-Z/7/539/2	τῶν γυμνασίων εἰς διάτασιν ἐρχομένοις· ἐπὶ πολὺ δὲ τῆς πλη-
-Z/7/539/3	θώρας προαγούσης, ἑλκώδεις τε καὶ βραδύτεραι καὶ δυσκινη-
-Z/7/539/4	τότεραί εἰσι, καὶ ὅλη τοῦ σώματος ἡ ἁφὴ τείνεται, ὡς κόπου 
-Z/7/539/5	φαινομένου. πλησίον δὲ ἤδη νόσου ἡ τοιαύτη διάθεσις, ἐὰν 
-Z/7/539/6	μὴ πάνυ ἐπιδεξίως τε καὶ συνετῶς αὐτήν τις λύῃ. συνέχεεν 
-Z/7/539/7	ἐν τούτοις ὁ Ἐρασίστρατος ἑτερογενῶν πληθῶν γνωρίσματα 
-Z/7/539/8	μετὰ τοῦ καὶ προσγράφειν αὐτοῖς ἔνια τῶν οὐκ ἀναγκαίων. 
-Z/7/539/9	ἐπισκέψασθαι δὲ ἔστιν ἀπ' ἀρχῆς αὐτοῦ τὸν λόγον. ἐν μὲν 
-Z/7/539/10	γὰρ τῷ, κατ' ἀρχὰς μὲν οὖν αὐτῆς μετρίως πληρουμένων τῶν 
-Z/7/539/11	ἀγγείων, εὐτονώτεροί τε καὶ ἰσχυρότεροι ἑαυτῶν φαίνονται 
-Z/7/539/12	παρὰ τὸ εἰθισμένον, οὐδ' ἑτέρωθεν ὁ λόγος ἀναγκαίαν ἔχει 
-Z/7/539/13	τὴν ἀκολούθησιν, οὔτε ἀπὸ τῆς διαθέσεως ἐπὶ τὰ γνωρίσματα 
[0057]  [050]  []  []

-Z/7/539/14	αὐτῆς, οὔτε ἀπὸ τῶν γνωρισμάτων ἐπὶ τὴν διάθεσιν. 
-Z/7/539/15	οὔτε γὰρ ἀναγκαῖον, ἐπὶ τῶν ἀγγείων μετρίως πληρουμένων 
-Z/7/539/16	εὐτονωτέρους τε καὶ ἰσχυροτέρους ἑαυτῶν φαίνεσθαι, οὔθ' 
-Z/7/539/17	ὅταν τοιοῦτοι φαίνωνται, μετρίως πεπλήρωνται τὰ ἀγγεῖα. 
-Z/7/539/18	ταῖς τε γὰρ τούτων μετρίαις πληρώσεσιν ἐνδέχεταί ποτε καὶ  
-Z/7/540/1	ἀτονωτέρους γίνεσθαί τινας, ἢ εἰς μηδὲν ἐπιφανὲς ἐπὶ μηδέ-
-Z/7/540/2	τερα ὑπαλλάξαι, μήτε ἐπὶ ἰσχὺν μήτε ἐπ' ἀσθένειαν· εἰ δὲ 
-Z/7/540/3	ἰσχυρότεροι γίνονται ἢ πρόσθεν, ἐγχωρεῖ τούτοις οὐ μόνον 
-Z/7/540/4	συνηυξῆσθαι τῇ δυνάμει τὸ πλῆθος τῶν χυμῶν, ἀλλὰ καὶ με-
-Z/7/540/5	μειῶσθαί ποτε, καὶ τὴν ἐξ ἀρχῆς ἐνίοτε φυλάττειν ποσότητα. 
-Z/7/540/6	καθ' ἑκατέραν γὰρ ὑπόθεσιν ἐγχωρεῖ τῷ πρῶτον λεχθέντι 
-Z/7/540/7	τριῶν ἀκολούθησιν εἶναι, τῷ μὲν ηὐξῆσθαι τοὺς χυμοὺς εὐ-
-Z/7/540/8	τονίαν τε καὶ ἀτονίαν παρὰ τὴν ἔμπροσθεν κατάστασιν, ἔτι 
-Z/7/540/9	τε τὴν ἐπὶ τῶν αὐτῶν ὅρων μονὴν τῆς δυνάμεως· τῷ δ' 
-Z/7/540/10	εὐτονώτερον γεγονέναι τό τε ηὐξῆσθαι καὶ τὸ μεμειῶσθαι, 
-Z/7/540/11	καὶ τὸ συμμέτρους εἶναι τοὺς χυμούς. ἀκουέσθω δ' ὡσαύτως 
-Z/7/540/12	κατὰ τὸν παρόντα λόγον, ἄν τε χυμοὺς εἴπω ἄν τε αἷμα· διο-
-Z/7/540/13	ρισθήσεται γὰρ ὑπὲρ αὐτῶν ἐν προήκοντι τῷ λόγῳ. Ἐρασί-
-Z/7/540/14	στρατος μὲν οὖν ἁπλῶς ἀπεφήνατο, μηδεμίαν ἀπόδειξιν οἷς 
-Z/7/540/15	εἶπε προσγράψας· ἡμεῖς δὲ οὐχ ἁπλῶς, ἀλλὰ σὺν ἀποδείξεσιν 
-Z/7/540/16	ἀναγκαίαις ἕκαστον ὧν εἴπομεν ἄρτι πιστούμενοι, τὴν ἀρ-
-Z/7/540/17	χὴν κᾀνταῦθα πάλιν ἀπ' αὐτῶν ποιήσομεν τῶν Ἐρασιστράτου 
-Z/7/540/18	ῥημάτων· εὐτονώτεροί, φησι, καὶ ἰσχυρότεροι φαίνονται.  
-Z/7/541/1	πότερον ἄλλό τι σημαίνει τὸ εὐτονώτεροι τοῦ ἰσχυρότεροι, 
-Z/7/541/2	καὶ δύο ἡμᾶς ἐδίδαξε σημεῖα τοῦ μετρίου πλήθους, ἢ δύο μὲν 
-Z/7/541/3	εἰπὼν ὀνόματα, σημεῖον δὲ ἕν; ἐγὼ δὲ οὐδεμίαν εὑρίσκω τοῦ 
-Z/7/541/4	σημαινομένου διαφορὰν, οὔτε κατὰ τὸ γένος οὔτε κατὰ τὸ 
-Z/7/541/5	εἶδος οὔτε ἐν τῷ μᾶλλον ἢ ἧττον, ἀλλ' ὑφ' ἑκατέρου σημαί-
-Z/7/541/6	νεσθαι νομίζω ταὐτόν. εἰ δὲ βούλει, τίθη τὸ ἕτερον ἐπίτα-
-Z/7/541/7	σίν τε καὶ αὔξησιν ἐμφαίνειν παρὰ θάτερον, εἶτ' οὖν τὸ ἰσχυ-
-Z/7/541/8	ρότεροι παρὰ τὸ εὐτονώτεροι, εἴτε τὸ εὐτονώτεροι παρὰ τὸ 
-Z/7/541/9	ἰσχυρότεροι· ἀλλ' ὁμοειδές γε πάντως ἐπὶ τὸ σημαινόμενον 
-Z/7/541/10	ἐξ ἀμφοτέρων. ἔνθα δ' αὔξησίς ἐστι, τοῦ εἴδους μένοντος, 
-Z/7/541/11	ἐνταῦθ' οὐκ ἔστι διδασκαλία δυοῖν σημαινομένων. εὔδηλον 
-Z/7/541/12	δ' ὅτι θατέρου γένους τοῦ πλήθους, ὃ πρὸς τὴν δύναμίν 
-Z/7/541/13	ἐστιν, οὐδὲ μέμνηται τὴν ἀρχὴν ὁ Ἐρασίστρατος, οὔτε οὖν 
-Z/7/541/14	κατὰ τοῦτο τὸ βιβλίον οὔτε ἐν τοῖς περὶ πυρετῶν. ἡ γὰρ 
-Z/7/541/15	πληθώρα παρεμπτώσεώς ἐστιν αἰτία κατ' αὐτὸν, ἐφ' ᾗ 
-Z/7/541/16	φλεγμοναί τε συνίστανται καὶ πυρετὸς ἕπεται· πληθώρας 
-Z/7/541/17	τε γένεσιν ἐναργῶς ἐδήλωσεν ἐν τῇ προγεγραμμένῃ ῥήσει, καθ' 
-Z/7/541/18	ἣν ἐπισάττεσθαι τὰ ἐν τῷ σώματι ἀγγεῖα καὶ ἐπιπλεῖστον  
-Z/7/542/1	διατείνεσθαί φησι. τούτοις γὰρ αὐτὸς ἐχρήσατο τοῖς ῥήμα-
-Z/7/542/2	σιν, ὥσπερ καὶ ὅτι διὰ τὸ μηκέτι δύνασθαι τὴν ἐπίσαξιν ἐπι-
-Z/7/542/3	δέχεσθαι, παρέμπτωσιν εἰς τὰς ἀρτηρίας γίνεσθαι τοῦ περιτ-
-Z/7/542/4	τοῦ, τὴν ὁρμὴν ἐκεῖσε λαβόντων τῶν πληθυνόντων κατὰ τὰς 
-Z/7/542/5	φλέβας. παραλέλειπται μὲν οὖν τι κᾀνταῦθα κατὰ τὴν διαί-
-Z/7/542/6	ρεσιν. οὐ γὰρ οὕτως ἁπλῶς ἐχρῆν εἰπεῖν, ὅταν μηκέτι ἐπί-
-Z/7/542/7	σαξιν αἱ φλέβες δέχωνται, τὴν ὁρμὴν γίγνεσθαι τῶν ἐν αὐ-
-Z/7/542/8	ταῖς εἰς τὰ τοῦ πνεύματος ἀγγεῖα· πολλῷ δ' ἦν βέλτιον φά-
-Z/7/542/9	ναι, δυοῖν θάτερον ἕπεσθαι τῇ προειρημένῃ πληρώσει τῶν 
-Z/7/542/10	φλεβῶν, ἤτοι ῥῆξιν αὐτοῦ χιτῶνος ἢ μετάχυσιν τοῦ αἵματος 
-Z/7/542/11	εἰς τὰ τοῦ πνεύματος ἀγγεῖα. τὸ δ' ἐξ ἀνάγκης οἴεσθαι μὲν 
-Z/7/542/12	μεταχεῖσθαι τὸ αἷμα διὰ τὸ μὴ χωρεῖσθαι πρὸς τῶν φλεβῶν, 
-Z/7/542/13	ἐπιλελησμένου παντάπασίν ἐστιν, ὡς γίγνεταί ποτε ῥῆξις ἀγ-
-Z/7/542/14	γείου διὰ πλῆθος, ἵνα παραλίπω τὴν ἄνευ μεταχύσεως ἀνα-
-Z/7/542/15	στόμωσιν ἐναργῶς πολλάκις εἰς αἰσθητὰς εὐρυχωρίας 
-Z/7/542/16	γιγνομένην ἐντέρων καὶ γαστρὸς καὶ στομάχου καὶ φά-
-Z/7/542/17	ρυγγος καὶ στόματος. ἀλλὰ τὸ μὲν ἐν τῇ διαιρέσει τῶν λόγων  
-Z/7/543/1	ἐλλιπὲς οὐκ ἐν τούτῳ μόνον Ἐρασιστράτῳ σύνηθες, ἀλλὰ 
-Z/7/543/2	καὶ κατ' ἄλλα συντάγματα σχεδὸν ἅπαντα. 
-Z/7/543/3	  Τὸ δ' οὖν εἰρημένον, ὁποῖόν ποτ' ἂν ᾖ, 
-Z/7/543/4	πάλιν ἐπισκεψώμεθα. πληρουμένων τῶν ἀγγείων μετρίως, 
-Z/7/543/5	ἑαυτῶν εὐτονώτεροι φαίνονται. πότερον ὦ Ἐρασίστρατε κᾂν 
-Z/7/543/6	μηδὲ συναύξηται τῷ πλήθει τοῦ αἵματος ἡ ῥώμη τοῦ σώ-
-Z/7/543/7	ματος, ἢ καὶ αὐτῆς συναυξανομένης; ἐγὼ μὲν γὰρ ἀναγ-
-Z/7/543/8	καιότατον εἶναί φημι πρὸς τὴν εὐτονίαν τῆς ἐνεργείας καὶ 
-Z/7/543/9	τὴν ῥώμην τῆς δυνάμεως αὐξάνεσθαι. καὶ οὕτως δὲ, εἰ 
-Z/7/543/10	τῇ τοῦ αἵματος αὐξήσει μόνον, τῆς δυνάμεως τὰς ἐνεργείας 
-Z/7/543/11	ἰσχυροτέρας γένεσθαι ἡγῇ, τοῦ Ἀσκληπιάδου μᾶλλον ἀνα-
-Z/7/543/12	τρέπειν δόξειας τὰς δυνάμεις. οὐδὲ γὰρ ἐκεῖνος ἁπλῶς 
-Z/7/543/13	οὑτωσί φησιν, ᾧ πλέον αἷμα, πάντως τοῦτον εὐτονώτε-
-Z/7/543/14	ρον ὑπάρχειν, ᾧ δὲ ἔλαττον, ἐξ ἀνάγκης ἀτονώτερον, ἀλλ' 
-Z/7/543/15	εὑρήσεις τινὰς εἰπεῖν διορισμοὺς, ὁμολογοῦντας τοῖς φαινο-
-Z/7/543/16	μένοις, καίτοι οὐδεμίαν ἡγούμενον ἐν ἡμῖν εἶναι δύνα-
-Z/7/543/17	μιν οὔτε ψυχικὴν οὔτε ζωτικήν. ὁρῶνται γάρ τινες 
-Z/7/543/18	οἱ μὲν ἑαυτῶν ἐνίοτε πολυαιμότεροί τε ἅμα καὶ ἰσχυρό- 
-Z/7/544/1	τεροι γεγονότες, οἱ δὲ ἰσχυρότεροί τε ἅμα καὶ ὀλι-
-Z/7/544/2	γαιμότεροι· ὥστε ἐξανάγκης, οὔτε τῷ πλήθει τοῦ αἵματος 
-Z/7/544/3	αὐξανομένης τῆς ἰσχύος, οὔτε μειώσει καθαιρουμένης, ὀλι-
-Z/7/544/4	γωρότερον εἰρῆσθαι καὶ ταῦτα τῷ Ἐρασιστράτῳ νομιστέον. 
-Z/7/544/5	ὡς εἴ γέ τις ἀνέμνησεν αὐτὸν ὧν ἐγὼ νῦν διῆλθον, οὐκ 
-Z/7/544/6	ἂν ἠρνήσατο, τὴν τῶν ἐνεργειῶν εὐτονίαν οὐκ αὐξήσει 
-Z/7/544/7	τοῦ αἵματος, ἀλλὰ ῥώμῃ τῆς δυνάμεως ἕπεσθαι. ποιήσω-
-Z/7/544/8	μεν οὖν ἡμεῖς ἤδη τὸν λόγον αὐτοῦ τελεώτερον οἷς ἐν-
-Z/7/544/9	δεῶς εἶπε προσθέντες τὸ λεῖπον. ἔσται δὲ τοιοῦτος. αὐξα-
-Z/7/544/10	νομένου τοῦ αἵματος ἅμα τῇ δυνάμει, καὶ τὴν εὐτονίαν 
-Z/7/544/11	ἀναγκαῖον αὐξάνεσθαι. καὶ μὴν εἰ καὶ τοῦτο εἴποιμεν, ἀλη-
-Z/7/544/12	θὲς μέν τι λέξομεν, οὐδὲν δὲ ἡμῖν εἰς τὰ προκείμενα πλέον 
-Z/7/544/13	οὐδὲ ἐκ τοῦδε. τὸ μὲν γὰρ, οἷς ἄμφω συνηύξηται, τό θ' αἷμα 
-Z/7/544/14	καὶ ἡ δύναμις, ηὐξῆσθαι καὶ τὴν εὐτονίαν, ἀληθῶς εἰρήσεται, 
-Z/7/544/15	τὸ δ' οἷς ηὔξηται τὰ τῆς ἰσχύος, ηὐξῆσθαι τούτοις ἐξ ἀνάγκης 
-Z/7/544/16	ἀμφότερα ψεῦδος· οὐ γὰρ ἐξ ἀνάγκης ἡ δύναμις τῷ αἵματι 
-Z/7/544/17	αὐξηθέντι συναύξεται, ἐγχωρεῖ δέ ποτε καὶ τὴν δύναμιν μόνον·  
-Z/7/545/1	ὁ γοῦν ὄντως ἀγαθὸς γυμναστὴς, εἰ παραλάβοι τινὰ πολὺ 
-Z/7/545/2	μὲν αἷμα φλεγματικὸν ὑπ' ἀγυμνασίας ἠθροικότα, τῇ δυνάμει 
-Z/7/545/3	δὲ ἀσθενέστερον, ὀλίγον εἶναι ἀποδώσει τοῦτον ἰσχυρότερον, 
-Z/7/545/4	οὐ πολυαιμότερον, ἢ παρέλαβεν. ὥσπερ οὖν οὐκ ἀναγκαῖον, 
-Z/7/545/5	ὅσοι ταῖς ἐνεργείαις εὐτονώτεροι σφῶν αὐτῶν γεγόνασιν, 
-Z/7/545/6	ηὐξῆσθαι τούτοις τοὺς χυμοὺς, οὕτως ἀναγκαῖόν ἐστιν, ὅσοι 
-Z/7/545/7	ταῖς ἐνεργείαις σφῶν αὐτῶν εὐτονώτεροι γεγόνασιν, ἰσχυρο-
-Z/7/545/8	τέραν αὐτοῖς γεγονέναι τὴν δύναμιν. οὐ μόνον δὲ ἀπὸ τῆς 
-Z/7/545/9	εὐτονίας ἀρξάμενος, ἐπὶ τὴν ῥώμην τῆς δυνάμεως ἀκολουθήσεις 
-Z/7/545/10	ἐξ ἀνάγκης, ἀλλὰ καὶ ἀπὸ τῆς δυνάμεως ἐπὶ τὴν εὐτονίαν· 
-Z/7/545/11	ὁ γὰρ ἰσχυρὸς τὴν δύναμιν εὐτονώτερος ἐν ταῖς ἐνεργείαις 
-Z/7/545/12	ἐστίν· ὥστ' ἀλλήλοις ἀντακολουθεῖν εὐτονίαν μὲν ἐν ταῖς 
-Z/7/545/13	ἐνεργείαις ῥώμῃ δυνάμεως, ῥώμην δὲ ἐν τῇ δυνάμει τῇ τῶν 
-Z/7/545/14	ἐνεργειῶν εὐτονίᾳ· ὁπότερον γὰρ ἂν αὐτῶν ὑπάρχειν ὑπό-
-Z/7/545/15	θοιο, πάντως τούτῳ συνυπάρχει καὶ τὸ ἕτερον· οὐ μὴν ἀπό 
-Z/7/545/16	γε τοῦ πλείονος αἵματος ἡ ἀκολούθησις ἀναγκαία. οὔτε γὰρ εἰ 
-Z/7/545/17	πλέον τοῦτο τοῦ πρόσθεν, ἐξ ἀνάγκης εὐτονώτερος ὁ ἄνθρωπος, 
-Z/7/545/18	οὔτε εἰ ἔλαττον, ἀτονώτερος, ὥσπερ οὐδὲ ὅταν ἶσον, ὁμοίως  
-Z/7/546/1	ἔχει δυνάμεως. ὥστ' ἐκ τῶν εἰρημένων δῆλον, ὡς ἡ τῶν 
-Z/7/546/2	ἐνεργειῶν εὐτονία τοῦ μὲν ἐῤῥῶσθαι τὴν δύναμιν ἴδιόν τε 
-Z/7/546/3	ἅμα καὶ ἀχώριστόν ἐστι γνώρισμα, τῆς δὲ αὐξήσεως τοῦ αἵ-
-Z/7/546/4	ματος οὔτε ἴδιον οὔτε ἀχώριστον. ὃ δὲ ἐφεξῆς εἶπεν Ἐρα-
-Z/7/546/5	σίστρατος, ἴδιον μὲν οὐκ ἔστιν, ἀχώριστον δέ ἐστι πληθώρας. 
-Z/7/546/6	ὀνομάζει δὲ αὐτὸ παρεμπίμπλασθαι, σαφέστερον δὲ ὀνομα-
-Z/7/546/7	σθείη τείνεσθαι. καὶ γάρτοι καὶ τῶν γυμναστῶν οἱ ἀκριβέστε-
[0057]  [050]  []  []

-Z/7/546/8	ροι τὸν μέν τινα τῶν κόπων ἑλκώδη, τὸν δὲ τονώδη, τὸν δὲ 
-Z/7/546/9	φλεγμονώδη καλοῦντες, οὐδὲν ἄλλ' ἐνδείκνυνται τοῦ παρεμ-
-Z/7/546/10	πίμπλασθαι τὰ μέλη κατὰ τὸν τονώδη κόπον. τηνικαῦτα 
-Z/7/546/11	γὰρ ἑαυτῶν παρεμπεπλῆσθαι λέγουσιν ὁτιοῦν μόριον, ἐπει-
-Z/7/546/12	δὰν αἰσθάνωνταί τινος ἐν αὐτῷ τάσεως. αἰσθάνονται μὲν 
-Z/7/546/13	οὖν κᾀν τῇ φλεγμονῇ τάσεως, ἀλλ' ἐκείνῃ μὲν ἤτοι διὰ παν-
-Z/7/546/14	τὸς ἢ ὡς τὸ πολὺ σύνεστιν ὁ παρὰ φύσιν σφυγμὸς, ὅν τις 
-Z/7/546/15	ἐναργέστερον ἑρμηνεύων ἐρεῖ πόνον σφυγμώδη· οἷς δ' οὐδὲν 
-Z/7/546/16	ἄλλο πλὴν τοῦ τείνεσθαι συμβέβηκε, τούτοις οὔτε φλεγμαίνει 
-Z/7/546/17	τὸ τεινόμενον μέρος οὔτε ἐξ ἀνάγκης πληθωρικὸν ὑπάρχει, 
-Z/7/546/18	ἀλλὰ δυοῖν θάτερον, ἤτοι κοπῶδες ἢ πληθωρικόν. ἀλλ' εἴπερ  
-Z/7/547/1	κοπῶδές ἐστιν, ἐπὶ πόνοις πλείοσιν οὕτως ἔπαθεν· εἰ δ' 
-Z/7/547/2	ὅλως οὐκ ἐπόνησεν ὁ ἄνθρωπος, οὐ διὰ κόπον κοπῶδες 
-Z/7/547/3	αὐτὸ γίγνεται τὸ μόριον, ἀλλ' ἑτέρως· ὥστ' ἀληθὲς εἰπεῖν, 
-Z/7/547/4	ἐπεὶ τάσεως αἴσθησίς ἐστιν ἄνευ τοῦ γυμνάσασθαι, πάντως 
-Z/7/547/5	εἶναι πληθώραν. γίγνεται δὲ, οὕτως εἰπόντων, ἀχώριστόν 
-Z/7/547/6	τε ἅμα καὶ ἴδιον τὸ σημεῖον, ἀκολουθούντων ἐξ ἀνάγκης ἀλ-
-Z/7/547/7	λήλοις ἑκατέρων· ἥ τε γὰρ ἄνευ τῶν γυμνασίων τάσις ἕπεται 
-Z/7/547/8	πληθώρᾳ· γίγνεται γὰρ αὐτῆς ἀχώριστον σημεῖον, ὡς ὑπὸ 
-Z/7/547/9	αἰτίου τῆς πληθώρας ἀποτελούμενον· ἡ δὲ ἐπὶ τοσοῦτον 
-Z/7/547/10	αὔξησις τοῦ αἵματος, ὡς μηδέπω διατείνειν τὰς φλέβας, οὐ-
-Z/7/547/11	δέπω πληθώρα. τί ποτ' οὖν ἐμνημόνευσεν ὁ Ἐρασίστρατος 
-Z/7/547/12	ἐν τῷ λόγῳ βραχιόνων καὶ κνημῶν καὶ χειρῶν; καὶ γὰρ καὶ 
-Z/7/547/13	ἐν τραχήλῳ καὶ μεταφρένῳ καὶ ὀσφύϊ καὶ κατὰ θώρακα 
-Z/7/547/14	καὶ καθ' ὑπογάστριον ἡ τοιαύτη συνίσταται τάσις. ὥσπερ 
-Z/7/547/15	δὲ τῶν κώλων ὁ Ἐρασίστρατος ἐμνημόνευσεν ἐκ περιττοῦ, 
-Z/7/547/16	κατὰ τὸν αὐτὸν τρόπον καὶ μειζόνως καὶ τῆς ἑλκώδους 
-Z/7/547/17	αἰσθήσεως· οὐ γὰρ πληθώρας αὕτη γνώρισμά ἐστιν, ἀλλ' 
-Z/7/547/18	ἐπὶ δακνώδεσι γίνεται χυμοῖς, οἵαπερ τοῖς ἡλκωμένοις μέ-
-Z/7/547/19	ρεσιν, ἤτοι ψαύοντος αὐτῶν τινος, ἢ ἰχῶρος ἐρεθίζοντος,  
-Z/7/548/1	ἢ φαρμάκου δάκνοντος, ἢ κᾀν ταῖς κινήσεσι μόναις γίγνεται. 
-Z/7/548/2	ὥσπερ γὰρ ἡ τάσις οἰκεία ἐν τῷ πλήθει χυμῶν ἐστι διατεινόν-
-Z/7/548/3	των τὰ περιέχοντα, οὕτως ἡ ἑλκώδης αἴσθησις ἕπεται δακνώ-
-Z/7/548/4	δει ποιότητι· καὶ διὰ τοῦτο συνίσταται πολλοῖς ἐνίοτε καὶ 
-Z/7/548/5	καθ' ὅλον τὸ σῶμα, μὴ ὅτι πληθώραν ἔχουσιν, ἀλλὰ μηδὲ 
-Z/7/548/6	τὸ σύμμετρον αἷμα. 
-Z/7/548/7	  Καὶ εἴπερ ταῦθ' οὕτως ἔχει, καθάπερ οὖν 
-Z/7/548/8	ἔχει, καιρὸς ἤδη διορίσασθαι περί τινος ὧν ἔμπροσθεν ἀνε-
-Z/7/548/9	βαλλόμεθα, ἐπειδὴ ἐσκοπούμεθα μέχρι τοῦ δεῦρο τὰ ὑπ' 
-Z/7/548/10	Ἐρασιστράτου γεγραμμένα σημεῖα. τὸ γάρτοι πλῆθος, εἴτ' 
-Z/7/548/11	οὖν πρὸς τὴν δύναμιν, εἴτε πρὸς τὴν τῶν περιεχόντων χώραν 
-Z/7/548/12	νοοῖτο, βέλτιον μὲν ἦν δήπου διορίσασθαι, πότερον ἐν αἵ-
-Z/7/548/13	ματι μόνῳ, ἢ καὶ τοῖς ἄλλοις ἅπασι χυμοῖς συνίστασθαι πέ-
-Z/7/548/14	φυκε· παραλέλειπται δὲ καὶ τοῦτ' αὐτοῖς ἀδιόριστον. ἐπεὶ 
-Z/7/548/15	τοίνυν οὐ μόνον ταῦτα τὰ παθήματα καταλαμβάνει τοὺς χυ-
-Z/7/548/16	μοὺς, ἔνδειά τε καὶ πλῆθος, ἀλλὰ καὶ ποιότης ἄτοπος, πάν-
-Z/7/548/17	τας ἠρώτησα τοὺς ἰατροὺς, ὅσοι τε πρὸς τὴν δύναμιν νοοῦσι 
-Z/7/548/18	τὸ πλῆθος ὅσοι τε πρὸς τὴν αὔξησιν τῶν ὑγρῶν, πότερον  
-Z/7/549/1	αὐξηθέντος μόνου τοῦ αἵματος τοσοῦτον, ὡς μὴ στέγεσθαι, 
-Z/7/549/2	τείνεσθαι συμβήσεται ταῖς φλεψί· εἰ δ' ἤτοι φλέγμα εἰς ὁτιοῦν 
-Z/7/549/3	ἄλλο μόριον, ἢ καὶ αὐτὰς τὰς φλέβας, ἢ καὶ σὺν τούτῳ τε 
