
[0057]  [036]  []  []

-Z/6/1/t	        {ΓΑΛΗΝΟΥ ΥΓΙΕΙΝΩΝ ΛΟΓΟϹ Α} 
-Z/6/277/14	ἔξω φορᾶϲ. ἔϲτι δὲ δήπου ταῦτα τῶν ὁμιλούντων τῷ δέρματι τά τε 
-Z/6/277/15	ψυχρὰ καὶ τὰ ϲτύφοντα καὶ ὅϲα πρὸϲ τούτοιϲ ἐπιϲπᾶται τοὺϲ 
[0057]  [036]  []  []

-Z/6/278/1	χυμοὺϲ ἢ ἄλλωϲ ὁπωϲοῦν ἐπεγείρει τὴν ἔϲω | κίνηϲιν αὐτῶν, ἐξ ὧν 
-Z/6/278/2	ἐϲτι λύπη καὶ φρίκη καθ' ἡντινοῦν αἰτίαν γινομένη· καὶ γὰρ καὶ 
-Z/6/278/3	διὰ ψυχρὸν αἴτιον καὶ διὰ θερμὸν ἐδείχθη φρίκη τε καὶ ῥῖγοϲ γινό-
-Z/6/278/4	μενον καὶ διὰ τῶν ἐκπληττόντων τε καὶ φοβούντων τὴν ψυχὴν ἤτοι 
-Z/6/278/5	ἀκουϲμάτων ἢ θεαμάτων. ἅπαντ' οὖν τὰ τοιαῦτα φυλακτέον ἐϲτίν, 
-Z/6/278/6	ἐπειδὰν ἅμα τε κοπώδηϲ ὁ αὐτὸϲ ἄνθρωποϲ ᾖ καὶ τὰϲ φλέβαϲ ἔχῃ  
-Z/6/278/7	μεϲτὰϲ ἀπέπτων χυμῶν. οὔτε γὰρ τοὺϲ ἔξω χυμοὺϲ ἀντιϲπᾶν ἔϲω 
-Z/6/278/8	καλὸν οὔτε τοὺϲ ἔνδον ἔξω, ἀλλὰ τοὺϲ μὲν ἔξω διαφορεῖν ἀτρέμα 
-Z/6/278/9	(τὰ γὰρ ἰϲχυρότερον τοῦτο δρῶντα καὶ τῶν ἔνδον ἐπιϲπᾶταί τι), τοὺϲ 
-Z/6/278/10	δ' ἔνδον λεπτύνειν τε καὶ ϲυμπέττειν. εἰ δ' ἤτοι δι' ἐμέτων ἢ διὰ 
-Z/6/278/11	γαϲτρὸϲ ὑπαγωγῆϲ ἐπιχειρήϲειαϲ αὐτοὺϲ ἐκκενῶϲαι ϲφοδρότερον, ἐπι-
-Z/6/278/12	ϲπάϲῃ τινὰϲ ἐκ τῶν ἔξωθεν εἴϲω. τοὺϲ δὲ περὶ τὸν <Φιλότιμον> οὐ 
-Z/6/278/13	χρὴ μέμφεϲθαι τῇ τοιαύτῃ κενώϲει χρωμένουϲ, ὅταν ἐν ταῖϲ πρώταιϲ 
-Z/6/278/14	φλεψὶ πλῆθοϲ ὠμῶν χυμῶν περικέηται χωρὶϲ ἑτέραϲ διαθέϲεωϲ, ἀλλὰ 
-Z/6/278/15	μᾶλλον ἡμᾶϲ αὐτοὺϲ ἐθιϲτέον ἀκριβέϲτερον ἕπεϲθαι παλαιοῖϲ γράμμαϲιν. 
-Z/6/279/1	εἰϲ | αὐτὸ μὲν οὖν τὸ μελίκρατον ὕϲωπον ἐναφεψοῦντεϲ, οὐκ εὐθέωϲ 
-Z/6/279/2	μὲν οὐδ' ἐν τῇ πρώτῃ τῶν ἡμερῶν, ἐν δὲ ταῖϲ ἐχομέναιϲ δώϲομεν, 
-Z/6/279/3	ἐφ' ὧν ἅμα τε τὸ πλῆθόϲ ἐϲτι τῶν ὠμῶν χυμῶν ἔνδον ἥ τε κοπώ-
-Z/6/279/4	δηϲ αἴϲθηϲιϲ ἔξω. τοὺϲ δ' ἐμέτουϲ παραιτηϲόμεθα δεδιότεϲ, ὡϲ εἴρη-
-Z/6/279/5	ται, τῶν ἔξωθέν τι περιττωμάτων εἴϲω παλινδρομῆϲαι. <Πραξαγόραϲ> 
-Z/6/279/6	δὲ καὶ <Φιλότιμοϲ> εὐλόγωϲ ἔμετον ἐπὶ τοιούτῳ μελικράτῳ παραλαμ-
-Z/6/279/7	βάνουϲιν, ὠμοὺϲ χυμοὺϲ θεραπεύοντεϲ ἄνευ κοπώδουϲ διαθέϲεωϲ. 
-Z/6/279/8	  Ἀλλ' ἐπειδὴ καὶ περὶ τούτων αὐτάρκωϲ εἴρηται, καιρὸϲ ἂν 
-Z/6/279/9	εἴη τῆϲ ὑπολοίπου διαθέϲεωϲ ὑπάρξαϲθαι, καθ' ἣν αἱ μὲν φλέβεϲ αἷμα 
-Z/6/279/10	χρηϲτὸν περιέχουϲι ϲύμμετρον τῇ ποϲότητι, τὸ δὲ τῶν ὠμῶν πλῆθοϲ 
-Z/6/279/11	εἰϲ τὴν ἕξιν ἀνελήφθη. γίνεται δὲ ταῦτα κατ' ἐκείναϲ μάλιϲτα τὰϲ 
-Z/6/279/12	περιϲτάϲειϲ τῶν πραγμάτων, ἐν αἷϲ ἤτοι θάλποϲ ἢ γυμνάϲιον ἄμετρον 
-Z/6/279/13	ἐκ τῶν φλεβῶν ἀναρπάζει τοὺϲ ὠμοὺϲ χυμοὺϲ εἰϲ τὰϲ ϲάρκαϲ οὐδε-
-Z/6/279/14	μίαν ἐν τῷ παρόντι πρόϲφατον ἀπεψίαν ἠπεπτηκότων, ὡϲ, εἴ γε καὶ 
-Z/6/279/15	τοῦτο ϲυνέλθοι, ϲύμπαν οὕτωϲ ἐμπληϲθήϲεται τῶν ὠμῶν χυμῶν τὸ 
-Z/6/279/16	ϲῶμα. καὶ λεχθήϲεται μὲν ὀλίγον ὕϲτερον, ὡϲ χρὴ τὴν τοιαύτην ἐπαν-
-Z/6/280/1	ορθοῦϲθαι διάθεϲιν. ἀλλ' ἐπεὶ τὸ ϲύνθετον | ὕϲτερόν τέ ἐϲτι καὶ δεύ-
-Z/6/280/2	τερον τῶν ἁπλῶν, ἄμεινον ἂν εἴη περὶ τῆϲ ὑπολοίπου διαθέϲεωϲ ἁπλῆϲ 
-Z/6/280/3	διελθόνταϲ ἐπὶ τὰϲ ϲυνθέτουϲ αὖθιϲ ἰέναι. καίτοι γε οὐδὲ ταύτην 
-Z/6/280/4	ἀκριβῶϲ ἁπλῆν χρὴ νομίζειν, ἀλλ' ὡϲ ἐν αὐτομάτοιϲ κόποιϲ ἁπλῆν. 
-Z/6/280/5	ὑποκειμένηϲ γὰρ τῆϲ τὸν κόπον ἐργαζομένηϲ διαθέϲεωϲ, ἐπιμίγνυμεν 
-Z/6/280/6	αὐτῇ τὰϲ ἄλλαϲ. ἀλλ' ὅτι καὶ κατὰ τὴν μίξιν ἐνίοτε μὲν ἁπλῆ καὶ μία 
-Z/6/280/7	μίγνυται διάθεϲιϲ, ἐνίοτε δὲ ϲύνθετοϲ, οὕτωϲ ὠνομάϲαμεν ἁπλῆν, ὑπὲρ 
-Z/6/280/8	ἧϲ ὁ λόγοϲ ἐνέϲτηκεν. ἔϲτω δὲ τὸ πλῆθοϲ τῶν ὠμῶν χυμῶν ἐν τοῖϲ 
-Z/6/280/9	ϲτερεοῖϲ τοῦ ζῴου μέρεϲιν, οὐκ ἐν ταῖϲ φλεψίν, ἅμα τῷ καὶ τὴν ἑλ-
-Z/6/280/10	κώδη τοῦ κόπου διάθεϲιν ἐν τοῖϲ αὐτοῖϲ ὑπάρχειν· ἡ γὰρ ἐξ ἀρχῆϲ 
-Z/6/280/11	ὑπόθεϲιϲ τοῦ λόγου τοιαύτη τιϲ ἦν. ὡϲ οὖν ἐφ' οἷϲ κατὰ τὰϲ φλέ- 
-Z/6/280/12	βαϲ ἦν, καὶ μάλιϲτα τὰϲ πρώταϲ, τὸ πλῆθοϲ τῶν ὠμῶν ἐφυλαττόμεθα 
-Z/6/280/13	τὰ θερμαίνοντα, δεδιότεϲ εἰϲ τὴν ἕξιν ἀναληφθῆναι τοὺϲ τοιούτουϲ 
-Z/6/280/14	χυμούϲ, οὕτω νῦν οὐδὲν χρὴ δεδιέναι. δοτέον οὖν αὐτοῖϲ, ὅϲα μέχρι 
-Z/6/281/1	τοῦ δέρματοϲ ἐκτείνει τὴν θερμότητα, καὶ ἀνατριπτέον | ἐπὶ πλέον ἐλαίῳ 
-Z/6/281/2	χαλαϲτικῷ, καὶ μάλιϲτα μετὰ τὸν ὕπνον ἕωθεν ἐξαναϲτάνταϲ· ἡ γὰρ 
-Z/6/281/3	τοιαύτη τρίψιϲ ἅμα τε πέττει τοὺϲ ὠμοὺϲ χυμοὺϲ καὶ τρέφει τὸν ὄγ-
-Z/6/281/4	κον τοῦ ϲώματοϲ. χρὴ δ' ἡϲυχάϲαι μετὰ ταῦτ' ἄχρι πλείονοϲ, εἰ μέλ-
-Z/6/281/5	λοι καλῶϲ γενήϲεϲθαι ταῦτα. πολὺ δ' ἂν ἐνεργέϲτερον ἀνύϲειεν, οὗ 
-Z/6/281/6	χάριν γίνεται, βραχέα τε ϲιτία προϲενηνεγμένου κατὰ τὴν προτεραίαν 
-Z/6/281/7	τοῦ ἀνθρώπου καὶ μηδὲν ἐπὶ τῷ δείπνῳ πίνειν πλὴν οἴνου κιρροῦ 
-Z/6/281/8	καὶ λεπτοῦ. καὶ γυμνάζεϲθαι δ' οὐ ϲυμφέρει ϲυνεχῶϲ καὶ ϲφοδρῶϲ 
-Z/6/281/9	αὐτίκα, μή πῃ λάθωμεν ἀπέπτων ἔτι χυμῶν ἀναγκάζοντεϲ τρέφεϲθαι 
-Z/6/281/10	τὸ ϲῶμα. βέλτιον οὖν ἕωθεν ἐπὶ πλέον ἀνατρῖψαί τε καὶ μετὰ ταῦτα 
-Z/6/281/11	ἡϲυχάϲαι περιπατῆϲαί τε τὰ μέτρια καὶ αὖθιϲ χρήϲαϲθαι τρίψει πολλῇ 
-Z/6/281/12	καὶ λουτρῷ ϲυμμέτρωϲ θερμῷ καὶ τροφαῖϲ εὐχύμοιϲ τε ἅμα καὶ μὴ 
-Z/6/281/13	γλίϲχροιϲ. εἴρηται δ' ἔμπροϲθεν αὐτῶν ἡ ὕλη, πτιϲάνην ἐπαινούντων 
-Z/6/281/14	ἡμῶν εἰϲ τὰ τοιαῦτα καὶ τοὺϲ πετραίουϲ ἰχθύαϲ καὶ τῶν ὀρνίθων τοὺϲ 
-Z/6/281/15	ὀρείουϲ. ἐπιτήδεια δὲ καὶ τὰ λεπτύνοντα τῶν ἐδεϲμάτων, ὑπὲρ ὧν ἓν 
-Z/6/281/16	ἰδίᾳ γέγραπται βιβλίον. 
-Z/6/281/17	  εὐλαβεῖϲθαι δὲ χρὴ μηδέν, εἰ καὶ θερμαίνοι ϲφοδρῶϲ, ἀλλὰ καὶ τὸ 
-Z/6/282/1	διὰ τῆϲ | καλαμίνθηϲ φάρμακον ἀδεῶϲ λαμβάνειν. ἔϲτι δὲ ἡ ϲύνθεϲιϲ 
-Z/6/282/2	αὐτοῦ τοιαύτη. καλαμίνθηϲ καὶ γλήχωνοϲ καὶ πετροϲελίνου καὶ ϲεϲέ-
-Z/6/282/3	λεωϲ ἑκάϲτου δραχμὰϲ δώδεκα, ϲελίνου ϲπέρματοϲ, κορύμβων θύμου 
-Z/6/282/4	ἀνὰ δραχμὰϲ τέτταραϲ ἑκατέρου, καὶ πρὸϲ τούτοιϲ ἔτι λιβυϲτικοῦ μὲν 
-Z/6/282/5	δραχμὰϲ ἑκκαίδεκα, πεπέρεωϲ δὲ ὀκτὼ καὶ τετταράκοντα. πεπέρεωϲ 
-Z/6/282/6	μὲν οὖν ἔϲτω τὸ βαρύϲταθμον ὀνομαζόμενον, ϲέϲελι δὲ τὸ Μαϲϲαλεω-
-Z/6/282/7	τικόν, πετροϲέλινον δὲ τὸ Μακεδονικόν, καὶ τούτου μάλιϲτα τὸ Ἀϲτρεω-
-Z/6/282/8	τικόν, καλαμίνθη δὲ καὶ γλήχων μάλιϲτα μὲν ἐκ Κρήτηϲ, εἰ δὲ μή, ἐκ 
-Z/6/282/9	χωρίων ὑψηλῶν τε καὶ ξηρῶν, ὡϲαύτωϲ δὲ καὶ τὰ θύμα. τὰ μὲν οὖν 
-Z/6/282/10	ϲκληρὰ καὶ ξυλώδη τῶν βοτανῶν ἀπορρίπτειν, λαμβάνειν δ' εἰϲ τὸ  
-Z/6/282/11	φάρμακον τὰ φύλλα, καὶ τούτων μάλιϲτα τὰ λεπτότατά τε καὶ εὐθα-
-Z/6/282/12	λέϲτατα καὶ ἐπ' ἄκραιϲ ταῖϲ βοτάναιϲ, καὶ πρὸϲ αὐτοῖϲ ἄνθη τε 
-Z/6/282/13	καὶ τὰ ϲὺν αὐτοῖϲ λεπτότατα κάρφη. κόπτειν δ' ἅμα ϲύμπαντα καὶ 
-Z/6/282/14	διαττᾶν χρὴ διὰ λεπτοτάτου κοϲκίνου· μάλιϲτα γὰρ εἰϲ ὅλην τοῦ 
-Z/6/282/15	ζῴου τὴν ἕξιν τὰ τοιαῦτα τῶν φαρμάκων ἀναδίδοται, καθάπερ γε 
-Z/6/283/1	τὰ παχύτατα κατὰ τὴν γαϲτέρα μένει, τοῖϲ ϲτενοῖϲ | ϲτόμαϲι τῶν 
-Z/6/283/2	φλεβῶν ἐναρμοϲθῆναι μὴ δυνάμενα. διὰ τοῦτο καὶ τὸ Διοϲπολιτικὸν 
-Z/6/283/3	ὀνομαζόμενον φάρμακον, οὗ κατὰ τὸν ἐνεϲτῶτα λόγον ἔμπροϲθεν 
-Z/6/283/4	ἐμνημονεύϲαμεν, παχυμερέϲτερον εἰώθαμεν ϲκευάζειν, ἐπειδὰν ὑπαχθῆ-
-Z/6/283/5	ναι τὴν γαϲτέρα διὰ τούτου δεήϲῃ. καί τιϲ οὐκ εἰδὼϲ τοῦτο, λεπτό-
-Z/6/283/6	τατόν τε καὶ χνοωδέϲτατον ἐργαϲάμενοϲ αὐτό, τὴν μὲν ὑποχώρηϲιν 
-Z/6/283/7	οὐδέν τι προὔτρεψεν, οὖρα δ' ἐκίνηϲεν οὐκ ὀλίγα· καὶ ἡμῖν ἐκοινοῦτο 
-Z/6/283/8	θαυμάζων τε ἅμα καὶ ζητῶν τοῦ γεγονότοϲ τὴν ἀληθινὴν αἰτίαν. 
-Z/6/283/9	αὐτὸϲ μὲν γὰρ ἔφη νομίζειν ἰδιοϲυγκριϲίαν τινὰ τοῦ ἀνθρώπου (καὶ 
-Z/6/283/10	γὰρ ἐκάλεϲεν οὕτωϲ) αἰτίαν εἶναι τοῦ ϲυμβεβηκότοϲ. ὡϲ δ' ἔμαθεν, 
-Z/6/283/11	ὅτι τὸ τῆϲ ϲυνθέϲεωϲ [εἶδοϲ] αἴτιον [ἴδιον] ὑπῆρχεν, αὖθιϲ ἑτέρωϲ 
-Z/6/283/12	ϲκευάϲαϲ ἔτυχε τοῦ ϲκοποῦ. τούτου μὲν οὖν τοῦ παραγγέλματοϲ ἐπὶ 
-Z/6/283/13	πάϲηϲ ϲυνθέϲεωϲ φαρμάκων ἄμεινον μεμνῆϲθαι. τὸ δὲ προκείμενον 
-Z/6/283/14	ἐν τῷ παρόντι λόγῳ φάρμακον ἀκριβῶϲ ἅπαντα λεπτὰ λαμβανέτω 
-Z/6/283/15	χάριν τοῦ ῥᾳδίωϲ ἀναδίδοϲθαί τε καὶ φέρεϲθαι πάντη. μιγνύϲθω δὲ 
-Z/6/283/16	τοῖϲ οὕτω παρεϲκευαϲμένοιϲ μέλι τὸ κάλλιϲτον, ἀκριβῶϲ ἀπηφριϲμένον. | 
-Z/6/284/1	ἡ δὲ χρῆϲιϲ αὐτοῦ γινέϲθω μετὰ τὴν ἑωθινὴν ἀνάτριψιν πρὸ τῶν γυ-
-Z/6/284/2	μναϲίων τε καὶ λουτρῶν. ἔξεϲτι δὲ καὶ χωρὶϲ τοῦ μῖξαι τὸ μέλι ξη-
-Z/6/284/3	ρὸν τὸ φάρμακον φυλάξαντα χρῆϲθαι παραπληϲίωϲ ἁλϲὶ τοῖϲ εἰϲ τὰ 
-Z/6/284/4	ὄψα παρεϲκευαϲμένοιϲ. ἔξεϲτι δὲ καὶ εἰϲ πτιϲάνην ἐμβάλλειν ἢ ὄξοϲ ἤ 
-Z/6/284/5	τι τοιοῦτον ἀντὶ πεπέρεωϲ. οὐ μόνον δὲ τὸ ξηρὸν ἁλῶν δίκην ἐϲτὶ 
-Z/6/284/6	πολύχρηϲτον, ἀλλὰ καὶ τὸ ϲὺν τῷ μέλιτι. καὶ γὰρ καὶ τοῦτο δυνατὸν 
[0057]  [036]  []  []

-Z/6/284/7	ἀναμιγνύντα τοῖϲ ἐδέϲμαϲιν ἀποπειρᾶϲθαι μετά τινοϲ ἐξ αὐτῶν, ὡϲ 
-Z/6/284/8	ἡδὺ τῷ χρωμένῳ φαίνεϲθαι. μετὰ μέντοι τὴν τροφὴν μηδέποτε λαμ-
-Z/6/284/9	βάνειν μήτε τοῦτο μήτ' ἄλλο τι φάρμακον ἀνάδοϲιν ἰϲχυροτέραν ἐρ- 
-Z/6/284/10	γαζόμενον. οὐ γὰρ ἀναδίδοϲθαι τηνικαῦτα βέλτιον, ἀλλὰ πέττεϲθαι 
-Z/6/284/11	τοῖϲ ληφθεῖϲιν. ἄμεινον οὖν ἐϲτι τοῖϲ ἐπικουρίαϲ τινὸϲ ἔξωθεν εἰϲ 
-Z/6/284/12	πέψιν δεομένοιϲ ἐν τούτῳ τῷ καιρῷ δίδοϲθαι φάρμακον, οὗ τὴν ϲύν-
-Z/6/284/13	θεϲιν ἔμπροϲθεν ἐδήλωϲα. λέγω δὲ τὸ διὰ τριῶν πεπέρεων ἁπλοῦν. 
-Z/6/284/14	καὶ αὐτὸ δὲ τὸ πέπερι μόνον ἐπιπαττόμενον τῷ ποτῷ χρηϲτὸν εἰϲ τὰ 
-Z/6/285/1	παρόντα, καὶ εἴπερ ἄρα μείζων τιϲ εἴη χρεία, καὶ τὸ διὰ | χυλοῦ τῶν 
-Z/6/285/2	κυδωνίων μήλων, οὗ τὴν ϲύνθεϲιν ἅπαϲαν ἐρῶ καὶ τὴν δύναμιν ἀκρι-
-Z/6/285/3	βῶϲ ἐξηγήϲομαι κατὰ τὸν ἑξῆϲ λόγον. εἰϲ δὲ τὸ παρακείμενον νῦν 
-Z/6/285/4	ἁπάντων ἄριϲτον φάρμακον ὧν ἐγὼ γινώϲκω τὸ διὰ τῆϲ καλαμίνθηϲ 
-Z/6/285/5	ἐϲτί. καὶ γὰρ λεπτύνει τὰ παχέα καὶ γλίϲχρα καὶ διαφορεῖ καὶ οὔρη-
-Z/6/285/6	ϲιν κινεῖ καὶ καταμήνια γυναιξίν. ἔϲτι δὲ καὶ ἥδιϲτον ἐν τῇ χρήϲει, 
-Z/6/285/7	καὶ μάλιϲθ' ὅταν λάβῃ πλείονοϲ τοῦ μέλιτοϲ. ἑψεῖϲθαι δ' ἐπὶ πλέον 
-Z/6/285/8	αὐτὸ χρὴ τηνικαῦτα. τοῖϲ δ' ἀπεϲτραμμένοιϲ τὰ γλυκέα καὶ φεύγουϲι 
-Z/6/285/9	τὸ μέλι (καὶ γὰρ καὶ τοιαῦταί τινεϲ εὑρίϲκονται φύϲειϲ) ὀλίγον ἐν τῇ 
-Z/6/285/10	ϲυνθέϲει τὸ μέλι μιγνύϲθω. βέλτιον δὲ καὶ μᾶλλον ἑψεῖϲθαι τούτοιϲ· 
-Z/6/285/11	καὶ γὰρ ἧττον οὕτωϲ ἐϲτὶ γλυκὺ καὶ ἧττον ἀνατρέπει τὸν ϲτόμαχον 
-Z/6/285/12	ἐπὶ τῶν ἀπεϲτραμμένων φύϲει τὸ μέλι. τὰ μὲν δὴ τοιαῦτα πάντα καὶ 
-Z/6/285/13	αὐτόϲ τιϲ ἐπινοείτω πρὸ τῆϲ ἡμετέραϲ ϲυμβουλῆϲ, ἕνα κοινὸν ἐν ἅπαϲι 
-Z/6/285/14	διαφυλάττων τὸν ϲκοπόν, ἥδιϲτον γενέϲθαι τὸ φάρμακον, εἰϲ ὅϲον 
-Z/6/285/15	ἐγχωρεῖ, φυλαττομένηϲ αὐτοῦ τῆϲ εἰϲ τὴν ὠφέλειαν δυνάμεωϲ· οὐ 
-Z/6/286/1	γὰρ δὴ ταύτην γ' ἐκλῦϲαι κελεύω τῆϲ ἡδονῆϲ | ϲτοχαϲάμενον. ὅταν 
-Z/6/286/2	οὖν ἐπὶ δύο που τὰϲ πρώταϲ ἡμέραϲ ἢ τρεῖϲ οὕτωϲ ᾖ παρεϲκευαϲμέ-
-Z/6/286/3	νοϲ ὁ ἄνθρωποϲ, οὐδὲν ἂν εἴη χεῖρον αὐτὸν καὶ γυμνάϲαϲθαι διὰ τῶν 
-Z/6/286/4	ϲυνήθων αὐτῷ, ἀποπειρώμενον εὐχροίαϲ τε καὶ τῶν ἄλλων ϲημείων, 
-Z/6/286/5	ἃ κατὰ τὸν ἔμπροϲθεν εἴρηται λόγον. εἰ μὲν γὰρ ἅπαντά ϲοι χρηϲτὰ 
-Z/6/286/6	φαίνοιτο, τελέωϲ γυμνάζειν αὐτόν· εἰ δὲ μή, προκαταπαύειν τε τοῦ 
-Z/6/286/7	ϲυμμέτρου κἀν τοῖϲ προειρημένοιϲ διαιτήμαϲί τε καὶ φαρμάκοιϲ φυλά-
-Z/6/286/8	ξαντα κατ' ἐκείνην τὴν ἡμέραν αὖθιϲ ἐπιχειρεῖν τῷ γυμναϲίῳ κατὰ 
-Z/6/286/9	τὴν ὑϲτεραίαν ἐπὶ τοῖϲ αὐτοῖϲ ϲημείοιϲ τε καὶ ϲκοποῖϲ, ἵν', ὅταν ἤδη 
-Z/6/286/10	πάντα ἄμεμπτα φαίνηται, πρὸϲ τὴν αὐτὴν δίαιταν ἐπανάγῃϲ αὐτόν, 
-Z/6/286/11	ἣ καὶ πρὶν ἁλῶναι τῷ κοπώδει ϲυμπτώματι ϲυνήθηϲ ἦν. 
-Z/6/286/12	  Ἐπεὶ δὲ καὶ τῷ διὰ τῆϲ ἐλάτηϲ ἀκόπῳ φαρμάκῳ χρῆϲθαι ϲυμ-
-Z/6/286/13	φέρει τοῖϲ κατὰ τὴν ϲάρκα τε καὶ τὸν ὄγκον ἅπαντα τοῦ ζῴου χυ-
-Z/6/286/14	μοὺϲ ἠθροικόϲιν, ἤτοι πεφθῆναι δεομένουϲ ἢ διαφορηθῆναι, οὐδὲν ἂν 
-Z/6/286/15	εἴη χεῖρον εἰπεῖν τι καὶ περὶ τῆϲ ἐκείνου ϲυνθέϲεωϲ. ἔϲτι μὲν οὖν | 
-Z/6/287/1	ὡραιότατον αὐτῆϲ τὸ ϲπέρμα περὶ τὴν ἐπιτολὴν τοῦ ἀρκτούρου, ὅϲτιϲ  
-Z/6/287/2	καιρὸϲ ἐν Ῥώμῃ μὲν ὁ καλούμενοϲ μήν ἐϲτι Ϲεπτέμβριοϲ, ἐν Περγάμῳ 
-Z/6/287/3	δὲ παρ' ἡμῖν Ὑπερβερεταῖοϲ, Ἀθήνηϲι δὲ μυϲτήρια. ἐλαίῳ δ' ἐμβάλ-
-Z/6/287/4	λειν αὐτὸ χρή, καθ' ἣν ἂν ἐθέλῃϲ ὥραν τοῦ ἔτουϲ· οὐδεμία γὰρ ὅϲον 
-Z/6/287/5	ἐπὶ τούτῳ διαφορά. βέλτιον δέ, εἰ καὶ θλάϲαϲ ἐμβάλλοιϲ αὐτό· θᾶτ-
-Z/6/287/6	τον γὰρ ἂν οὕτω τὸ ἔλαιον ἐμπλήϲει τῆϲ οἰκείαϲ ποιότητοϲ καὶ δυ-
-Z/6/287/7	νάμεωϲ. εἴη δ' ἂν ὁ χρόνοϲ οὗτοϲ ἐλάχιϲτοϲ ἡμερῶν τετταράκοντα· 
-Z/6/287/8	πολλάκιϲ δ' ἡμεῖϲ τρεῖϲ καὶ τέτταραϲ καὶ πολὺ πλείουϲ μῆναϲ ἐπετρέ-
-Z/6/287/9	ψαμεν ἐμβραχῆναι, κἄπειθ' οὕτωϲ λαβόντεϲ, εἶτα τὴν ὑγρότητα τοῦ 
-Z/6/287/10	ϲπέρματοϲ ἐκθλίψαντεϲ αὐτὸ μὲν ἀπερρίψαμεν τὸ ϲπέρμα, τὸ δ' ὑγρὸν 
-Z/6/287/11	ὀθονίῳ διηθήϲαμεν. ἔϲτω δὲ τὸ μὲν ἔλαιον ἕν τι τῶν χαλαϲτικῶν, 
-Z/6/287/12	οἷόνπερ ἐν Ἰταλίᾳ τὸ Ϲαβῖνον, ἐμβαλλέϲθω δ' εἰϲ τὰϲ εἴκοϲι καὶ 
-Z/6/287/13	πέντε κοτύλαϲ αὐτοῦ μόδιοϲ Ἰταλικὸϲ τοῦ ϲπέρματοϲ τῆϲ ἐλάτηϲ, 
-Z/6/287/14	οὐϲῶν δὲ καὶ τῶν κοτυλῶν Ἰταλικῶν, ἃϲ δὴ καὶ λίτραϲ ὀνομάζουϲι. 
-Z/6/287/15	βραχέντοϲ δ' ἐν αὐτῷ τοῦ ϲπέρματοϲ, πολλῷ δηλονότι μεῖον γίνεται. 
-Z/6/287/16	ϲύμμετρον δ' οὖν ἐϲτι τῷ καταλειφθέντι κηροῦ μὲν λίτραϲ ἐμβαλεῖν 
-Z/6/288/1	τέϲϲαραϲ, ῥητίνηϲ | δὲ ἐλατίνηϲ τὸ τρίτον τῆϲ λίτραϲ μέροϲ, αἵπερ 
-Z/6/288/2	εἰϲὶν ὁλκῆϲ δραχμαὶ δύο καὶ τριάκοντα. τὸ δ' ἴϲον ἐμβαλλέϲθω καὶ 
-Z/6/288/3	τῆϲ ϲτροβιλίνηϲ ῥητίνηϲ. εἰ δ' αὗται μὴ παρεῖεν, ἀντ' αὐτῶν τῇ τερ-
-Z/6/288/4	μινθίνῃ χρῆϲθαι. ἑψεῖν δ' ἄμεινον ἐπ' ἀγγείου διπλοῦ ἢ πάντωϲ γ' 
-Z/6/288/5	ἐπὶ πυρὸϲ ἀϲθενοῦϲ, οἷόν ἐϲτι τὸ τῶν ἀνθράκων· ἔϲτωϲαν δὲ μηδ' 
-Z/6/288/6	οὗτοι πολλοί. τοῦτο τὸ φάρμακον ἐπιτηδειότατόν ἐϲτιν εἰϲ ἅπανταϲ 
-Z/6/288/7	κόπουϲ αὐτομάτουϲ τε καὶ οὐκ αὐτομάτουϲ. 
-Z/6/288/8	  ἀγαθὸν δὲ καὶ τὸ διὰ τῆϲ αἰγείρου τῶν ἀνθῶν ϲυντιθέμενον. ἔϲτι 
-Z/6/288/9	δὲ καὶ τοῦτο τοιόνδε. τῶν ἀνθῶν τῆϲ αἰγείρου μεμυκότων ἔτι μόδιοϲ 
-Z/6/288/10	Ἰταλικὸϲ ἐμβάλλεται λίτραιϲ ἐλαίου Ϲαβίνου πεντεκαίδεκα ἢ εἴκοϲι. μὴ 
-Z/6/288/11	παρόντοϲ δὲ τοῦ Ϲαβίνου, τῶν ὁμοίων τι παραϲκευαϲτέον ἐλαίων. 
-Z/6/288/12	εἴρηται δ' ἐν τοῖϲ ἔμπροϲθεν, ὡϲ ὅμοια πάντ' ἐϲτὶ τὰ λεπτομερῆ θ' 
-Z/6/288/13	ἅμα καὶ μὴ ϲτύφοντα. κάλλιον δ', εἰ καὶ μετρίωϲ θλαϲθὲν ἐμβληθείη 
-Z/6/288/14	τῷ ἐλαίῳ τὸ ἄνθοϲ. εἰ δὲ καθ' ἑκάϲτην ἡμέραν διακινοῖτο, καὶ μά-
-Z/6/288/15	λιϲθ' ὅταν ἥλιοϲ ᾖ θερμόϲ, ἐν οἰκήματί τε θερμῷ τὴν ἀπόθεϲιν ἴϲχοι, 
-Z/6/289/1	θᾶττόν τε ἂν οὕτω καὶ μᾶλλον ἡ τῆϲ αἰγείρου | ποιότηϲ τε καὶ δύνα-
-Z/6/289/2	μιϲ εἰϲ τοὔλαιον μετέλθοι, ὥϲτε ϲε μετὰ δύο που καὶ τρεῖϲ μῆναϲ δύ-
