
[0057]  [096]  []  []

-Z/18a/346/t1	{ΠΕΡΙ ΤΩΝ ΟΥΧ ΕΩΡΑΜΕΝΩΝ 
-Z/18a/373/9	σιν ἔχειν. δῆλον δὲ ἐξ ὧν ἐπήνεγκεν εἰπών· πολλοὶ γὰρ 
-Z/18a/373/10	ὑπὸ ὀδύνης ἢ καὶ ὑπὸ ἀλλοίης προφάσιος οὐκ ἐξεστεώτων 
-Z/18a/373/11	αὐτέοισι τῶν ἄρθρων, ὅμως οὐ δύνανται εἰς τὰ ὅμοια σχή-
-Z/18a/373/12	ματα καθιστάναι, εἰς οἷάπερ τὸ ὑγιαῖνον σῶμα σχηματίζε-
-Z/18a/373/13	ται. εἰσενεγκεῖν τὰς χεῖρας πρὸς τὰς πλευρὰς, ὡς εἴρηκεν, 
-Z/18a/373/14	ἑτοίμως τις δύναται, βέβαιον γνώρισμά ἐστι τοῦ κατὰ φύ-
-Z/18a/373/15	σιν ἔχειν τὸ ἄρθρον. ἐὰν δὲ ἐμποδίζηται κατά τι, δυνατόν 
-Z/18a/373/16	ἐστι δι' ὀδύνην ἢ σύντασιν μυῶν τοῦτο γίγνεσθαι. 
-Z/18a/373/17	          — — —  
-Z/18a/374/1	            μʹ. 
-Z/18a/374/2	Ἐπάξιον δὲ τὸ μάθημα, ὡς χρὴ ἰητρεύειν τοὺς πυκνὰ ἐκπί-
-Z/18a/374/3	  πτοντας ὤμους. πολλοὶ μὲν γὰρ ἤδη ἀγωνίης ἐκωλύθησαν 
-Z/18a/374/4	  διὰ ταύτην τὴν ξυμφορὰν τἄλλα πάντα ἀξιόχρεοι ὄντες, 
-Z/18a/374/5	  πολλοὶ δὲ ἐν πολεμικοῖσιν ἀχρήϊοι ἐγένοντο καὶ διεφθά-
-Z/18a/374/6	  ρησαν διὰ ταύτην τὴν ξυμφορὰν ἅμα τε ἐπάξιον καὶ διὰ 
-Z/18a/374/7	  τοῦτο ὅτι μηδένα οἶδα ὀρθῶς ἰητρεύοντα, ἀλλὰ τοὺς μὲν 
-Z/18a/374/8	  μηδὲν ἐγχειρέοντας, τοὺς δὲ τἀναντία τοῦ ξυμφέροντος 
-Z/18a/374/9	  φρονέοντάς τε καὶ ποιέοντας. συχνοὶ γὰρ ἤδη ἰητροὶ 
-Z/18a/374/10	  ἔκαυσαν ὤμους ἐκπίπτοντας κατά τε τὴν ἐπωμίδα κατά 
-Z/18a/374/11	  τε τὸ ἔμπροσθεν, ᾗ ἡ κεφαλὴ τοῦ βραχίονος ἐξογκέει, κατά 
-Z/18a/374/12	  τε τὸ ὄπισθεν ὀλίγον τῆς ἐπωμίδος. αὗται οὖν αἱ καύ-
-Z/18a/374/13	  σιες, εἰ μὲν εἰς τὸ ἄνω ἐξέπιπτεν ὁ βραχίων ἢ ἐς τοὔμ-
-Z/18a/374/14	  προσθεν ἢ ἐς τοὔπισθεν ὀρθῶς ἂν ἔκαιον. νῦν δὲ δὴ 
-Z/18a/374/15	  ὅτε ἐς τὸ κάτω ἐκπίπτει, ἐμβάλλουσιν αὗται αἱ καύσιες 
-Z/18a/374/16	  μᾶλλον ἢ κωλύουσιν. ἀποκλείουσι γὰρ τῆς ἄνω εὐρυχωρίης 
-Z/18a/374/17	  τὴν κεφαλὴν τοῦ βραχίονος. χρὴ δὲ ὧδε καίειν ταῦτα  
-Z/18a/375/1	  ἀπολαβόντα τοῖσι δακτύλοισι κατὰ τὴν μασχάλην τὸ δέρμα 
-Z/18a/375/2	  ἀφελκύσαι κατ' αὐτὴν τὴν ἴξιν μάλιστα, καθ' ἣν ἡ κεφαλὴ 
-Z/18a/375/3	  τοῦ βραχίονος ἐκπίπτει. 
-Z/18a/375/4	          — — — 
-Z/18a/375/5	    Καὶ ἐν τούτῳ τῷ λόγῳ τὰ πλεῖστά ἐστι σαφῆ, ὧν οὐ 
-Z/18a/375/6	μνημονεύσομεν, πλὴν ἐν οἷς ἀσάφειά τις περιέχεται. 
-Z/18a/375/7	          — — — 
-Z/18a/375/8	            μαʹ. 
-Z/18a/375/9	Ἔπειτα δὲ οὕτως ἀφειλκυσμένον τὸ δέρμα διακαῦ-
-Z/18a/375/10	  σαι ἐς τὸ πέρην. 
-Z/18a/375/11	          — — — 
-Z/18a/375/12	    Ἀξιοῖ μηδὲν ἄκαυστον καταλιπεῖν τοῦ ἀνατεινομένου 
-Z/18a/375/13	δέρματος, ἀλλὰ διεκβάλλειν τὸ διάπυρον σιδήριον ἐκ τῶν 
-Z/18a/375/14	δεξιῶν ἐπὶ τὰ ἀριστερὰ μέρη τῆς μασχάλης καὶ ἐξ ἐκείνων 
-Z/18a/375/15	ἐπὶ τὰ δεξιά. 
-Z/18a/375/16	          — — —  
-Z/18a/376/1	            μβʹ. 
-Z/18a/376/2	Σιδηρίοισι χρὴ τὰ τοιαῦτα καίειν μὴ παχέσι, μηδὲ λίην 
-Z/18a/376/3	  φαλακροῖσιν, ἀλλὰ προμήκεσι. ταχυπορώτερα γὰρ καὶ 
-Z/18a/376/4	  τῇ χειρὶ ἐπερείδειν. 
-Z/18a/376/5	          — — — 
-Z/18a/376/6	    Φαλακρὰ κέκληκε τὰ περιφέρειαν ἔχοντα κατὰ τὸ πέ-
-Z/18a/376/7	ρας, οἷον οἱ κατὰ τὰς μασχάλας ἔχουσι πυρίνες ἤτοι τὰ 
-Z/18a/376/8	διαπύρινα καλούμενα καὶ αἱ σπαθομίλαι. προμήκη δὲ τὰ 
-Z/18a/376/9	τούτοις ἐναντίως διακείμενα προσηγόρευσεν, ὧν οὐκ ἔστι πε-
-Z/18a/376/10	ριφερὲς τὸ πέρας, ἀλλ' ὀξύτερόν περ ἐμπλήρωμα παραπλή-
-Z/18a/376/11	σιόν πως τοῖς εἰς τὰς παρακεντήσεις ἐπιτηδείοις ὀργάνοις. 
-Z/18a/376/12	          — — — 
-Z/18a/376/13	            μγʹ. 
-Z/18a/376/14	Χρὴ δὲ διαφανέσι καίειν ὡς ὅτι τάχιστα περαιωθῇ κατὰ 
-Z/18a/376/15	  δύναμιν, τὰ γὰρ παχέα βραδέως περαιούμενα πλατυτέρας 
-Z/18a/376/16	  τὰς ἐκπτώσιας τῶν ἐσχαρῶν ποιέεται καὶ κίνδυνος ἂν εἴη 
-Z/18a/376/17	  ξυῤῥαγῆναι τὰς ὠτειλὰς, καὶ κάκιον μὲν οὐδὲν ἂν εἴη, αἴ-
-Z/18a/376/18	  σχιον δὲ καὶ ἀντεχνότερον. ὅταν δὲ διακαύσῃς ἐς τὸ  
-Z/18a/377/1	  πέρην τῶν μὲν πλείστων, ἱκανῶς ἂν ἔχοι ἐν τῷ κάτω μέρει 
-Z/18a/377/2	  τὰς ἐσχάρας ταύτας μόνας θεῖναι. 
-Z/18a/377/3	          — — — 
-Z/18a/377/4	    Ἐκπεπυρῶσθαι βούλεται τὰ κατὰ τὴν μασχάλην σιδή-
-Z/18a/377/5	ρια, τὰ γὰρ ἱκανῶς διάπυρα διαφανῆ κέκληκεν. 
-Z/18a/377/6	          — — — 
-Z/18a/377/7	            μδʹ. 
-Z/18a/377/8	Ἢν δὲ μὴ κίνδυνος φαίνηται εἶναι ξυῤῥαγῆναι τὰς ὠτειλὰς, 
-Z/18a/377/9	  ἀλλὰ πολὺ τὸ διὰ μέσου εἴη, ὑπάλειπτρον χρὴ λεπτὸν 
-Z/18a/377/10	  διέρσαι διὰ τῶν κατηγμάτων, ἔτι ἀναλελαμμένου τοῦ δέρ-
-Z/18a/377/11	  ματος· οὐ γὰρ ἂν ἄλλως δύναιο διέρσαι. ἐπὴν δὲ διέρ-
-Z/18a/377/12	  σῃς, ἀφεῖναι τὸ δέρμα, ἔπειτα μεσηγὺ τῶν ἰσχα-
-Z/18a/377/13	  ρῶν ἄλλην ἐσχάρην ἐμβάλλειν λεπτῷ σιδηρίῳ καὶ διακαῦ-
-Z/18a/377/14	  σαι, ἄχρις ἂν τῷ ὑπαλείπτρῳ ἐγκύρσῃ. ὁκόσον δέ τι 
-Z/18a/377/15	  χρὴ τὸ δέρμα τὸ ἀπὸ τῆς μασχάλης ἀπολαμβάνειν, τοῖσι 
-Z/18a/377/16	  δὲ χρὴ τεκμαίρεσθαι, ἀδένες ὕπεισιν ὑπὸ τῇ μασχάλῃ, 
-Z/18a/377/17	  πολλαχῆ δὲ καὶ ἄλλῃ τοῦ σώματος. 
-Z/18a/377/18	          — — —  
-Z/18a/378/1	    Ὠτειλὰς κέκληκε τὰ ἕλκη παραπλησίως τῷ 
-Z/18a/378/2	ποιητῇ περὶ τοῦ προσφάτου τραύματος εἰπόντι· 
-Z/18a/378/2	 
-Z/18a/378/3	    ὄφρα οἱ αἷμ' ἔτι θερμὸν ἀνήνοθεν ἐξ ὠτειλῆς. 
-Z/18a/378/3	 
-Z/18a/378/4	Ἐὰν οὖν, ὡς εἶπεν, ἀνατείνας τὸ δέρμα διακαύσῃς ἐγκάρσιον 
-Z/18a/378/5	ἐκ δεξιῶν εἰς ἀριστερὰ διερείσας τὸ σίδηρον, ἑτέραν ἐπὶ 
-Z/18a/378/6	ταύτῃ δευτέραν καῦσιν ἀξιοῖ σε ποιήσασθαι, καθέντα τὸ 
-Z/18a/378/7	διάπυρον σίδηρον, οὐκέτι ἐγκάρσιον ἐκ τοῦ θατέρου μέρους 
-Z/18a/378/8	ἐπὶ θάτερον, ἀλλ' οἷον εἰς τὸ βάθος ἄντικρυς ἕως. χρὴ δὲ 
-Z/18a/378/9	δῆλον ὅτι τὸ μεταξὺ τῶν προτέρων τραυμάτων ἀξιόλογον 
-Z/18a/378/10	γίνεσθαι· μικροῦ γὰρ ὄντος αὐτοῦ κίνδυνος ξυῤῥαγῆναι τὰς 
-Z/18a/378/11	ἑλκώσεις καὶ γενέσθαι μεγάλην μίαν, ὑφ' ἧς οὐδὲν μὲν ἀπο-
-Z/18a/378/12	βήσεται χεῖρον, οἵ γε καίομεν ἕνεκα τοῦ ξηρᾶναί τε καὶ σφίγ-
-Z/18a/378/13	ξαι μέρος· οὐ μὴν ἀναγκαῖόν ἐστιν οὐλὴν μεγάλην ἐργα-
-Z/18a/378/14	σάμενον αἴσχιον ἀποδεῖξαι τὸ χωρίον, ἐν ᾧ ἐπὶ σμικραῖς 
-Z/18a/378/15	τρήσεσι τὴν ἴσην ὠφέλειάν ἐστι ποιήσασθαι. 
-Z/18a/378/16	          — — —  
-Z/18a/379/1	            μεʹ. 
-Z/18a/379/2	Ἀλλὰ ἐν ἄλλῳ λόγῳ περὶ ἀδένων οὐλομελίης γεγράψεται, 
-Z/18a/379/3	  ὅτι τέ εἰσι καὶ οἷα ἐν οἵοισι σημαίνουσί τε καὶ δύναν-
-Z/18a/379/4	  ται. τοὺς μὲν οὖν ἀδένας οὐ χρὴ προσεπιλαμβάνειν, οὐδ' 
-Z/18a/379/5	  ὅσα ἐσωτέρω τῶν ἀδένων, μέγας γὰρ ὁ κίνδυνος. 
-Z/18a/379/6	          — — — 
-Z/18a/379/7	    Τὴν ὁλόκληρον φύσιν τῆς τῶν ἀδένων φύσεως οὐλομε-
-Z/18a/379/8	λίην εἴρηκεν, ἣν ἑτέρωθι διδάσκειν ἐπηγγείλατο, οὐ μὴν 
-Z/18a/379/9	διασώζεταί γε τοιοῦτον βιβλίον Ἱπποκράτους περὶ ἀδένων 
-Z/18a/379/10	οὐλομελίης. ἀλλά τις τῶν νεωτέρων Ἱπποκρατείων ἔγραψε 
-Z/18a/379/11	μικρὸν βιβλίδιον ἐπιγράψας Ἱπποκράτους περὶ ἀδένων οὐ-
-Z/18a/379/12	λομελίης, ὃ καὶ τῇ λέξει καὶ τῇ διανοίᾳ λείπεται πάμπολυ 
-Z/18a/379/13	τῶν γνησίων Ἱπποκράτους συγγραμμάτων, οὐ μὴν οὐδὲ ἐμ-
-Z/18a/379/14	νημόνευσέ τις περὶ αὐτοῦ τῶν ἔμπροσθεν ἰατρῶν, ἀλλ' οὐδ' 
-Z/18a/379/15	οἱ τοὺς πίνακας ποιήσαντες ἴσασι τὸ βιβλίον. 
-Z/18a/379/16	          — — —  
-Z/18a/380/1	            μστʹ. 
-Z/18a/380/2	Τοῖσι γὰρ ἐπικαιροτάτοισι τόνοισι γειτονεύονται. ὅσον δὲ 
-Z/18a/380/3	  ἐξωτέρω τῶν ἀδένων ἐπὶ πλεῖστον ἀπολαμβάνειν, ἀσινέα 
[0057]  [096]  []  []

-Z/18a/380/4	  γάρ. γινώσκειν δὲ χρὴ ὅτι εἰ μὲν ἰσχυρῶς τὸν βρα-
-Z/18a/380/5	  χίονα ἀνατείνοις, οὐ δυνήση τοῦ δέρματος ἀπολαβεῖν οὐ-
-Z/18a/380/6	  δὲν τοῦ ὑπὸ τῇ μασχάλῃ, ὅ τι καὶ ἄξιον λόγου κατατεῖναι. 
-Z/18a/380/7	          — — — 
-Z/18a/380/8	    Ὑποκεῖσθαι τῷ ὑπὸ τῇ μασχάλῃ φησὶ τόνους ἐπικαί-
-Z/18a/380/9	ρους οὕτως ὀνομάζων τὰ νεῦρα. γελοίως οὖν ἔνιοι τῶν 
-Z/18a/380/10	νεωτέρων ἰατρῶν οἴονται τόνους τούτους ἐκεῖνα τὰ νεῦρα 
-Z/18a/380/11	μόνον προσαγορεύειν νῦν ὅσα κατὰ τὴν συζυγίαν ἐξ ἐγκε-
-Z/18a/380/12	φάλου πέφυκεν, ἐπειδὴ κατὰ τὸ βιβλίον τῶν ἐπιδημιῶν ἔφη· 
-Z/18a/380/13	δύο δὲ τόνοι ἀπ' ἐγκεφάλου παρὰ τὸ ὀστέον τοῦ μεγάλου 
-Z/18a/380/14	σπονδύλου καὶ τὰ τούτων ἐφεξῆς. τὰ γὰρ ἐπὶ χεῖρας φερό-
-Z/18a/380/15	μενα πρὸς ἁπάντων ὁμολογεῖται τῶν ἀνατομικῶν ἀπὸ τοῦ 
-Z/18a/380/16	κατὰ τὸν τράχηλον ἐκφύεσθαι νωτιαίου, καθ' ἃ 
-Z/18a/380/17	μέρη πλησιάζει τῷ θώρακι καὶ ὡς φαίνεται ταῦτα προσα- 
-Z/18a/381/1	γορεύων τόνους ἔν τε τῇ νῦν εἰρημένῃ ῥήσει καὶ μετ' αὐτὴν 
-Z/18a/381/2	πάλιν ἐφεξῆς δίς. καὶ κατώτερον δὲ πάλιν ἐν τοῖς περὶ 
-Z/18a/381/3	τῆς ῥάχεως λόγοις τόνους ὀνομάζει νεῦρα. 
-Z/18a/381/4	          — — — 
-Z/18a/381/5	            μζʹ. 
-Z/18a/381/6	Σιμοῦται γὰρ ἐν τῇ ἀνατάσει, οὐδ' αὖ τόνους οὐδεμιῇ μη-
-Z/18a/381/7	  χανῇ δεῖ τιτρώσκειν. οὗτοι γὰρ πρόχειροι γίνονται καὶ 
-Z/18a/381/8	  κατατεταμένοι ἐν τούτῳ τῷ σχήματι. εἰ δὲ μικρὸν ἐπά-
-Z/18a/381/9	  ρῃς τὸν βραχίονα, πολὺ μὲν τοῦ δέρματος ἀπολήψῃ, οἱ 
-Z/18a/381/10	  δὲ τόνοι, ὧν δεῖ προμηθέεσθαι, εἴσω καὶ πρόσω τοῦ χει-
-Z/18a/381/11	  ρίσματος γίνονται. 
-Z/18a/381/12	          — — — 
-Z/18a/381/13	    Καταδαπανᾶσθαί φασι τὸ κατὰ τὴν μασχάλην δέρμα 
-Z/18a/381/14	διὰ τῆς ἀνατάσεως ὅλης τῆς χειρὸς, ἐπειδὴ χαλαρὸν ἔμπρο- 
-Z/18a/382/1	σθεν ὂν, ὡς περιττὸν εἶναι δοκεῖν, ἐν τούτῳ τῷ σχήματι 
-Z/18a/382/2	περιγίνεται τοῖς ὑποκειμένοις, ὥστε τὸ περιττεύειν πρότε-
-Z/18a/382/3	ρον φανταζόμενον ἀπόλλυσθαί τε καὶ οἷον ἐκδαπανᾶσθαι κατὰ 
-Z/18a/382/4	τὴν ἀνάτασιν τῆς χειρός. 
-Z/18a/382/5	          — — — 
-Z/18a/382/6	            μηʹ. 
-Z/18a/382/7	Ἆρ' οὖν οὐκ ἐν πάσῃ τῇ τέχνῃ περὶ παντὸς χρὴ ποιέεσθαι 
-Z/18a/382/8	  τὰ δίκαια σχήματα ἐξευρίσκειν ἐφ' ἑκάστοισι; 
-Z/18a/382/9	          — — — 
-Z/18a/382/10	    Τὰ κατὰ δύναμιν ἴσα, τουτέστιν ἐν οἷς φυλάττεται τὸ 
-Z/18a/382/11	κατὰ τὴν ἀξίαν τε καὶ οἰκεῖον ἑκάστῳ πράγματι. νυνὶ γοῦν 
-Z/18a/382/12	ἐστι τὸ μὲν προκείμενον πρᾶγμα καῦσις τοῦ κατὰ τὴν μα-
-Z/18a/382/13	σχάλην δέρματος, ἣν χρὴ ποιήσασθαι, βραχίονα σχηματί-
-Z/18a/382/14	ζοντα προσηκόντως. εἰ μὲν οὖν εἰς τοσοῦτον εἴη καθήμε-
-Z/18a/382/15	νος, ὡς ψαύειν τῶν πλευρῶν, εἴη παντάπασιν ὀλίγον ἐξῃρ-
-Z/18a/382/16	μένος, οὐδὲ θεάσασθαι τὸ βάθος τῆς μασχάλης οἷόν τε, 
-Z/18a/382/17	μή τί γε τοῖς δακτύλοις ἀνατεῖναι τὸ δέρμα καὶ διακαῦσαι, 
-Z/18a/382/18	μέχρι πλεῖστόν τε ἐπαρθέντος τοῦ βραχίονος, οὐδὲν ὅ τι καὶ  
-Z/18a/383/1	ἄξιον λόγου δέρματος ἀνατεῖναι τοῖς δακτύλοις ἐγχωρεῖ. πε-
-Z/18a/383/2	ριτείνεται γὰρ ἐν τῷδε τῷ σχήματι τοῖς ὑποκειμένοις σώ-
-Z/18a/383/3	μασιν, ἅμα δὲ καὶ τὰ νεῦρα πρόχειρα γίγνεται, τοιοῦτον 
-Z/18a/383/4	ἐξαίρειν χρὴ τὸν βραχίονα καὶ ἀπάγειν τῆς μασχάλης, οἷον 
-Z/18a/383/5	ὁρᾶται τὸ χωρίον ἡμῖν παρέξειν καὶ τοὺς δακτύλους εὐμα-
-Z/18a/383/6	ρῶς ὑποβάλλειν, ἀντιτείνειν τε τὸ δέρμα καὶ διακαίειν δύνα-
-Z/18a/383/7	σθαι οἷόν τε γένηται ταῦτα πράττειν, κατὰ τοῦτο τὸ σχῆμα 
-Z/18a/383/8	τὴν χειρουργίαν προσίεσθαι προσήκει, προσώτερον δὲ μη-
-Z/18a/383/9	κέτι ἀνατείνειν. οὐδὲ γὰρ ἄλλου τινὸς ἕνεκεν ἐξῄρομεν τὸν 
-Z/18a/383/10	βραχίονα, πλὴν τὸ δύνασθαι τὸ περὶ τὴν μασχάλην δέρμα 
-Z/18a/383/11	τοῖς δακτύλοις ἀνατείνειν τοσοῦτον, ὡς διακαῦσαι, καθότι 
-Z/18a/383/12	προεῖπεν αὐτὸς, ὡς εἴ γε δυνατὸν ἦν ἐνεργεῖν ἡμᾶς ταῦτα 
-Z/18a/383/13	καθημένους τοῦ βραχίονος σχήματός ἐστι χρεία, χαλαρώτε-
-Z/18a/383/14	ρον ἐργαζομένου τὸ δέρμα· καὶ γὰρ πλεῖστον οὕτως ἀνα-
-Z/18a/383/15	ταθήσεται καὶ τὰ τῆς χειρουργίας ἀκίνδυνα παντοίως ἔσται. 
-Z/18a/383/16	          — — — 
-Z/18a/383/17	            μθʹ. 
-Z/18a/383/18	Ταῦτα μὲν κατὰ τὴν μασχάλην καὶ ἱκαναὶ 
-Z/18a/383/19	  αὗται αἱ καταλήψιες, ἢν ὀρθῶς τεθῶσιν αἱ ἐσχάραι. 
-Z/18a/383/20	          — — —  
-Z/18a/384/1	    Εἴρηνται αἱ καταλήψεις κατὰ τὸ δέρμα. 
-Z/18a/384/2	          — — — 
-Z/18a/384/3	            νʹ. 
-Z/18a/384/4	Κάτωθεν δὲ τῆς μασχάλης δισσὰ μόνα ἐστὶ χωρία, ἵνα 
-Z/18a/384/5	  ἄν τις ἐσχάρας θείη, τιμωρεούσας τῷ παθήματι. 
-Z/18a/384/6	          — — — 
-Z/18a/384/7	    Τὸ ἔκτοσθεν εἴρηκε νῦν οὐ τὴν τόπου διαφορὰν σημαῖ-
-Z/18a/384/8	νον, ἀλλ' ὥσπερ καὶ παρὰ Δημοσθένει καὶ τοῖς ἄλλοις ῥήτορ-
-Z/18a/384/9	σιν ἔξωθέν τι τοῦ πράγματος εἰρῆσθαι λέγεται δηλούντων τὸ 
-Z/18a/384/10	πρᾶγμα. τὸ τοίνυν ὑπὸ τοῦ Ἱπποκράτους λεγόμενόν ἐστι 
-Z/18a/384/11	τοιοῦτον· καὶ χωρὶς δὲ τῆς εἰρημένης εἰς τὴν μασχάλην 
-Z/18a/384/12	καύσεως ἄλλαι δύο καύσεις εἰσὶ βοηθοῦσαι τῷ πάθει. τὸ 
-Z/18a/384/13	γὰρ τιμωρεούσας τῷ παθήματι πρόδηλον ὅτι βοηθούσας 
-Z/18a/384/14	δηλοῖ, καθάπερ καὶ Εὐριπίδης ἐποίησε τὸν Ὀρέστην λέ-
-Z/18a/384/15	γοντα· 
-Z/18a/384/15	 
-Z/18a/384/16	    Ἀνόσια μὲν δρῶν, ἀλλὰ τιμωρῶν τῷ πατρί. 
-Z/18a/384/16	 
-Z/18a/384/17	διαφέρει γὰρ τὸ τιμωρῶν τοῦ τιμωρούμενος, ὃ μετὰ τῆς  
-Z/18a/385/1	καλουμένης αἰτιατικῆς πτώσεως σημαίνει τὸ κολάζον· οὕτως 
-Z/18a/385/2	γοῦν καὶ ἑαυτὸν τιμωρούμενος ἐπιγέγραπται τὸ Μενάνδρου 
-Z/18a/385/3	δρᾶμα. 
-Z/18a/385/4	          — — — 
-Z/18a/385/5	            ναʹ. 
-Z/18a/385/6	Μίαν μὲν ἐν τῷ ἔμπροσθεν μεσηγὺ τῆς κεφαλῆς τοῦ βρα-
-Z/18a/385/7	  χίονος καὶ τοῦ τένοντος τοῦ κατὰ τὴν μασχάλην. 
-Z/18a/385/8	          — — — 
-Z/18a/385/9	    Ἐν τούτῳ τῷ χωρίῳ καὶ ἡμῖν ἑώραται τὸ ἄρθρον 
-Z/18a/385/10	ἐστηριγμένον, ὅπερ ἐστὶ μόριον ἁπάσης τῆς ἔμπροσθεν χώ-
-Z/18a/385/11	ρας· οὔσης γὰρ ὅλης αὐτῆς πλατείας ἓν μέν τι μέρος ἐστὶν 
-Z/18a/385/12	ἀκριβῶς μέσον, ἄλλα δὲ ἑκατέρωθεν δύο, τὸ μὲν ἐκ τῶν ἔν-
-Z/18a/385/13	δοθεν μερῶν, οὗ νῦν ἐμνημόνευσε, τὸ δὲ ἐκ τῶν ἐκτὸς, οὗ 
-Z/18a/385/14	μετὰ ταῦτα μνημονεύει. καὶ θαυμάσαι γε ἔστιν αὐτὸν ὅτι 
-Z/18a/385/15	μηδ' ὅλως ἑωρακὼς εἰς ἄλλο χωρίον ἐκπῖπτον τὸ ἄρθρον ἢ 
-Z/18a/385/16	κατὰ τὴν μασχάλην οὐκ ἤρκεσε τῇ κατ' αὐτὸν καύσει μόνῃ. 
-Z/18a/385/17	προστιθεὶς δὲ δύο ἑτέρας ἐκείνων ἀκριβῶς ἐστοχάσατο τῶν 
-Z/18a/385/18	χωρίων, ἐν οἷς καὶ ἡμεῖς εἴδομεν ἐστηριγμένην τὴν κεφαλὴν  
-Z/18a/386/1	τοῦ βραχίονος. ἐν οἷς τῆς ὠμιαίας φλεβὸς χώρα, καθ' ἣν 
-Z/18a/386/2	οἱ δύο μύες συμβάλλουσιν, ὅ τε ἀπὸ τοῦ στέρνου μέγας καὶ 
-Z/18a/386/3	ὁ δελτοειδὴς ὀνομαζόμενος ἑώραται τετράκις ἡμῖν ὑποδεξαμένη 
-Z/18a/386/4	τὴν ἔκπτωσιν. ἡ δ' ἔξωθεν τῆς μέσης χώρας ἅπαξ, ὑπὲρ 
-Z/18a/386/5	ἧς ἐφεξῆς ἐρεῖ. 
-Z/18a/386/6	          — — — 
-Z/18a/386/7	            νβʹ. 
-Z/18a/386/8	Καὶ ταύτη τὸ μὲν δέρμα τελέως διακαίειν χρὴ, 
-Z/18a/386/9	  βαθύτερον δὲ οὐ χρή. φλέψ τε γὰρ παχείη πλησίη καὶ 
-Z/18a/386/10	  νεῦρα, ὧν οὐδέτερα θερμαντέα. 
-Z/18a/386/11	          — — — 
-Z/18a/386/12	    Τὴν προσαγορευομένην ὠμιαίαν φλέβα λέγει νῦν πα-
-Z/18a/386/13	χεῖαν ἐν ἴσῳ τῷ εὐρεῖαν ἢ μεγάλην. ἐπίκειται δὲ αὐτῇ 
-Z/18a/386/14	συμβολὴ τῶν προειρημένων δύο μυῶν ἔχουσα παρακείμενον 
-Z/18a/386/15	νεῦρον, ἀφ' οὗ πᾶν τὸ πέριξ τῆς φλεβὸς δέρμα ἀπονεμή-
-Z/18a/386/16	σεις λαμβάνει. τὸ μὲν οὖν φυλάττεσθαι ψαύειν τε τοῦ 
-Z/18a/386/17	νεύρου καὶ τῆς φλεβὸς ἐν τῇ τοῦ δέρματος καύσει σαφῶς  
-Z/18a/387/1	ἐδίδαξεν, οὐ μὴν ἐδήλωσέ γε πότερον ἐν τοῖς πρώτοις μέ-
-Z/18a/387/2	ρεσι τῆς φλεβὸς ἢ ἐν τοῖς ἔνδον ἢ κατ' αὐτὴν ἀκριβῶς κε-
-Z/18a/387/3	λεύει καίειν. ἐγχωρεῖ γὰρ τοῦτο ποιῆσαι πρῶτον μὲν ἀνα-
-Z/18a/387/4	τείναντα τὸ δέρμα καθ' ὃν εἴρηται τρόπον ἐπὶ τῆς μασχά-
-Z/18a/387/5	λης, εἶτ' ἐγκάρσιον διακαύσουσα, κἄπειτα τὸ ὑπάλειπτρον 
-Z/18a/387/6	διεκβαλόντα καὶ κατὰ κύκλου τὴν δευτέραν ἐπέρεισιν τοῦ 
-Z/18a/387/7	καυτηρίου ποιησάμενον· ὥσπερ γὰρ ἐν τῇ μασχάλῃ, καίτοι 
-Z/18a/387/8	γε ὑποκειμένων νεύρων μεγίστων καὶ σὺν αὐτοῖς ἀρτηρίας 
-Z/18a/387/9	καὶ φλεβὸς εὐρυτάτης, ὅμως ἐκέλευσε καίειν τὸ δέρμα, τὴν 
-Z/18a/387/10	ἀσφάλειαν τοῖς ὑποκειμένοις παρασκευάζων ἐκ τῆς τοῦ ὑπο-
-Z/18a/387/11	λείπτρου διαρθρώσεως, οὕτω κἀπὶ τῆς νῦν προειρημένης 
-Z/18a/387/12	καύσεως οὐδὲν θαυμαστὸν ἐπ' αὐτοῦ τοῦ κατὰ τῆς φλεβὸς 
-Z/18a/387/13	ἐπικειμένου δέρματος ἀξιοῦν αὐτὸν τίθεσθαι τὰς ἐσχάρας. 
-Z/18a/387/14	ἐκεῖνα μὲν οὖν τὰ νεῦρα τόνους ἐπικαιροτάτους εἶπεν εἰθι-
-Z/18a/387/15	σμένος χρῆσθαι τούτῳ τῷ ὀνόματι κατὰ τῶν μεγάλην δύνα-
-Z/18a/387/16	μιν ἐχόντων, ὥσπερ ἔχουσιν ἐκεῖνοι, κατά γε τὸ πλησίον εἶ-
-Z/18a/387/17	ναι τοῦ νωτιαίου καὶ αὐτοὺς παχυτάτους τὴν οὐσίαν ὑπάρ-
-Z/18a/387/18	χειν, παρὰ δὲ τοῦ τῆς ὠμιαίας φλεβὸς νεῦρον ἁπλῶς εἶπεν,  
-Z/18a/388/1	οὐκέτι προσθεὶς τὸ ἐπίκαιρον. καὶ γὰρ ποῤῥωτάτω καὶ τοῦ 
-Z/18a/388/2	νωτιαίου καὶ μικρὸν τῷ μεγέθει. 
-Z/18a/388/3	          — — — 
-Z/18a/388/4	            νγʹ. 
-Z/18a/388/5	Ὄπισθεν δ' αὖ ἄλλην ἐσχάρην ἐνδέχεται ἐνθεῖναι, ἀνωτέρω 
